Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2009-06-22,Provence,Gozo,3,1,Viva World Cup,Novara,Italy,True
2009-06-24,Sápmi,Gozo,7,2,Viva World Cup,Brescia,Italy,True
2009-06-26,Occitania,Gozo,2,1,Viva World Cup,Brescia,Italy,True
2010-05-31,Gozo,Padania,1,2,Viva World Cup,Xewkija,Malta,False
2010-06-02,Gozo,Occitania,0,5,Viva World Cup,Xewkija,Malta,False
2010-06-04,Gozo,Provence,2,1,Viva World Cup,Xewkija,Malta,False
2012-01-14,Gozo,Raetia,17,1,Friendly,Xewkija,Malta,False
2023-07-09,Jersey,Gozo,1,0,Island Games,Saint Sampson,Guernsey,True
2023-07-10,Gozo,Saint Helena,3,0,Island Games,Saint Sampson,Guernsey,True
2023-07-11,Menorca,Gozo,0,1,Island Games,Saint Martin,Guernsey,True
2023-07-13,Guernsey,Gozo,1,0,Island Games,Saint Martin,Guernsey,False
