Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1980-07-02,Faroe Islands,Greenland,6,0,Friendly,Sauðárkrókur,Iceland,True
1980-07-03,Iceland,Greenland,4,1,Friendly,Húsavík,Iceland,False
1983-06-29,Greenland,Faroe Islands,0,0,Friendly,Nuuk,Greenland,False
1983-07-03,Greenland,Faroe Islands,2,3,Friendly,Nuuk,Greenland,False
1984-08-03,Greenland,Iceland,0,1,Friendly,Fuglafjørður,Faroe Islands,True
1984-08-05,Faroe Islands,Greenland,1,0,Friendly,Klaksvík,Faroe Islands,False
1984-08-07,Faroe Islands,Greenland,4,2,Friendly,Tórshavn,Faroe Islands,False
1989-07-06,Greenland,Shetland,4,1,Island Games,Vágur,Faroe Islands,True
1989-07-09,Faroe Islands,Greenland,3,0,Island Games,Fuglafjørður,Faroe Islands,False
1989-07-11,Åland Islands,Greenland,3,0,Island Games,Sandur,Faroe Islands,True
1989-07-12,Ynys Môn,Greenland,1,0,Island Games,Klaksvík,Faroe Islands,True
1991-06-24,Jersey,Greenland,4,3,Island Games,Åland,Finland,True
1991-06-25,Faroe Islands,Greenland,3,2,Island Games,Åland,Finland,True
1991-06-26,Shetland,Greenland,5,2,Island Games,Åland,Finland,True
1991-06-28,Isle of Wight,Greenland,3,1,Island Games,Åland,Finland,True
1993-07-04,Ynys Môn,Greenland,0,1,Island Games,Isle of Wight,England,True
1993-07-05,Jersey,Greenland,4,2,Island Games,Isle of Wight,England,True
1993-07-06,Greenland,Gibraltar,5,0,Island Games,Isle of Wight,England,True
1993-07-09,Greenland,Åland Islands,1,2,Island Games,Isle of Wight,England,True
1995-07-16,Gibraltar,Greenland,0,1,Island Games,Gibraltar,Gibraltar,False
1995-07-17,Greenland,Ynys Môn,1,2,Island Games,Gibraltar,Gibraltar,True
1995-07-18,Greenland,Isle of Man,4,0,Island Games,Gibraltar,Gibraltar,True
1995-07-20,Greenland,Isle of Wight,1,2,Island Games,Gibraltar,Gibraltar,True
1997-06-30,Jersey,Greenland,2,1,Island Games,St. Peter,Jersey,False
1997-07-01,Guernsey,Greenland,0,0,Island Games,St Helier,Jersey,True
1997-07-02,Gibraltar,Greenland,5,1,Island Games,St. Lawrence,Jersey,True
1997-07-03,Frøya,Greenland,2,1,Island Games,Grouville,Jersey,True
1999-06-27,Greenland,Saare County,4,1,Island Games,Väskinde,Sweden,True
1999-06-28,Frøya,Greenland,1,3,Island Games,Dalhem,Sweden,True
1999-06-29,Isle of Wight,Greenland,7,2,Island Games,Väskinde,Sweden,True
1999-07-01,Greenland,Rhodes,0,2,Island Games,Fårösund,Sweden,True
1999-07-01,Gotland,Greenland,7,2,Island Games,Norrbacka,Sweden,False
2001-06-30,Greenland,Tibet,4,1,Friendly,Copenhagen,Denmark,True
2001-07-08,Isle of Wight,Greenland,0,0,Island Games,Peel,Isle of Man,True
