Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1938-08-17,Saint Kitts and Nevis,Grenada,0,4,Friendly,Basseterre,Saint Kitts and Nevis,False
1938-08-18,Saint Kitts and Nevis,Grenada,2,4,Friendly,Basseterre,Saint Kitts and Nevis,False
1951-03-19,Barbados,Grenada,1,3,Friendly,Bridgetown,Barbados,False
1951-03-21,Barbados,Grenada,3,2,Friendly,Bridgetown,Barbados,False
1961-01-16,Grenada,Saint Vincent and the Grenadines,3,6,Windward Islands Tournament,Castries,Saint Lucia,True
1961-01-17,Saint Lucia,Grenada,0,4,Windward Islands Tournament,Castries,Saint Lucia,False
1961-01-19,Dominica,Grenada,1,8,Windward Islands Tournament,Castries,Saint Lucia,True
1962-11-24,Grenada,Saint Vincent and the Grenadines,2,1,Windward Islands Tournament,St. George's,Grenada,False
1965-11-21,Dominica,Grenada,2,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1966-11-06,Grenada,Saint Lucia,7,1,Windward Islands Tournament,St. George's,Grenada,False
1966-11-08,Grenada,Dominica,3,3,Windward Islands Tournament,St. George's,Grenada,False
1966-11-12,Grenada,Saint Vincent and the Grenadines,1,3,Windward Islands Tournament,St. George's,Grenada,False
1967-11-26,Grenada,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Roseau,Dominica,True
1967-11-30,Dominica,Grenada,2,4,Windward Islands Tournament,Roseau,Dominica,False
1967-12-02,Grenada,Saint Lucia,2,1,Windward Islands Tournament,Roseau,Dominica,True
1968-11-20,Dominica,Grenada,2,6,Windward Islands Tournament,Castries,Saint Lucia,True
1969-11-11,Grenada,Saint Lucia,6,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1969-11-13,Dominica,Grenada,0,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,True
1969-11-15,Saint Vincent and the Grenadines,Grenada,0,0,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1970-11-22,Grenada,Saint Vincent and the Grenadines,5,3,Windward Islands Tournament,St. George's,Grenada,False
1970-11-25,Grenada,Saint Lucia,6,1,Windward Islands Tournament,St. George's,Grenada,False
1970-11-27,Grenada,Dominica,2,1,Windward Islands Tournament,St. George's,Grenada,False
1971-11-27,Grenada,Saint Lucia,5,2,Windward Islands Tournament,Roseau,Dominica,True
1971-11-30,Grenada,Saint Vincent and the Grenadines,1,1,Windward Islands Tournament,Roseau,Dominica,True
1971-12-04,Dominica,Grenada,3,0,Windward Islands Tournament,Roseau,Dominica,False
1972-11-25,Dominica,Grenada,1,2,Windward Islands Tournament,Castries,Saint Lucia,True
1972-11-29,Saint Lucia,Grenada,1,0,Windward Islands Tournament,Castries,Saint Lucia,False
1972-12-01,Grenada,Saint Vincent and the Grenadines,0,0,Windward Islands Tournament,Castries,Saint Lucia,True
1973-11-07,Dominica,Grenada,4,2,Windward Islands Tournament,Roseau,Dominica,False
1973-11-11,Saint Vincent and the Grenadines,Grenada,4,1,Windward Islands Tournament,Kingstown,Saint Vincent and the Grenadines,False
1973-11-15,Saint Lucia,Grenada,1,3,Windward Islands Tournament,Castries,Saint Lucia,False
1973-11-21,Grenada,Dominica,1,1,Windward Islands Tournament,St. George's,Grenada,False
1973-11-29,Grenada,Saint Lucia,2,0,Windward Islands Tournament,St. George's,Grenada,False
1974-12-01,Grenada,Saint Vincent and the Grenadines,1,0,Windward Islands Tournament,Castries,Saint Lucia,True
1974-12-04,Dominica,Grenada,0,0,Windward Islands Tournament,Castries,Saint Lucia,True
1974-12-08,Saint Lucia,Grenada,1,2,Windward Islands Tournament,Castries,Saint Lucia,False
1978-07-30,Grenada,Trinidad and Tobago,1,1,Friendly,St. George's,Grenada,False
1978-11-25,Grenada,Barbados,2,0,Friendly,St. George's,Grenada,False
1978-11-26,Grenada,Barbados,0,0,Friendly,St. George's,Grenada,False
1979-07-22,Grenada,Trinidad and Tobago,0,1,CFU Caribbean Cup qualification,St. George's,Grenada,False
1979-08-04,Trinidad and Tobago,Grenada,2,1,CFU Caribbean Cup qualification,San Fernando,Trinidad and Tobago,False
1980-03-30,Guyana,Grenada,5,2,CONCACAF Championship qualification,Georgetown,Guyana,False
1980-04-13,Grenada,Guyana,2,3,CONCACAF Championship qualification,St. George's,Grenada,False
1981-09-30,Trinidad and Tobago,Grenada,3,1,Friendly,Arima,Trinidad and Tobago,False
1981-10-02,Trinidad and Tobago,Grenada,5,1,Friendly,San Fernando,Trinidad and Tobago,False
1984-12-02,Dominica,Grenada,0,4,Windward Islands Tournament,Castries,Saint Lucia,True
1985-03-03,Grenada,Trinidad and Tobago,1,5,CFU Caribbean Cup qualification,St. George's,Grenada,False
1985-03-24,Saint Vincent and the Grenadines,Grenada,3,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1985-11-17,Grenada,Dominica,0,0,Windward Islands Tournament,St. George's,Grenada,False
1986-02-26,Grenada,Norway,1,2,Friendly,St. George's,Grenada,False
1987-09-04,Guyana,Grenada,1,1,Friendly,Georgetown,Guyana,False
1987-09-06,Guyana,Grenada,3,0,Friendly,Linden,Guyana,False
1989-05-07,Grenada,Saint Kitts and Nevis,2,1,CFU Caribbean Cup qualification,St. George's,Grenada,False
1989-05-21,Aruba,Grenada,0,0,CFU Caribbean Cup qualification,Oranjestad,Aruba,False
1989-06-06,Grenada,Trinidad and Tobago,1,0,CFU Caribbean Cup qualification,St. George's,Grenada,False
1989-06-30,Grenada,French Guiana,0,0,CFU Caribbean Cup qualification,St. George's,Grenada,False
1989-07-02,Grenada,Saint Vincent and the Grenadines,2,0,CFU Caribbean Cup,Bridgetown,Barbados,True
1989-07-06,Curaçao,Grenada,1,1,CFU Caribbean Cup,Bridgetown,Barbados,True
1989-07-09,Grenada,Trinidad and Tobago,1,2,CFU Caribbean Cup,Bridgetown,Barbados,True
1990-04-17,Grenada,Curaçao,1,1,CFU Caribbean Cup qualification,St. George's,Grenada,False
1990-05-15,Grenada,Suriname,3,1,CFU Caribbean Cup qualification,Georgetown,Guyana,True
1990-05-27,Guyana,Grenada,0,0,CFU Caribbean Cup qualification,Georgetown,Guyana,False
1990-07-09,Barbados,Grenada,1,1,Friendly,Bridgetown,Barbados,False
1990-07-10,Barbados,Grenada,4,0,Friendly,Bridgetown,Barbados,False
1992-03-08,Grenada,Curaçao,0,1,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
1993-04-25,Grenada,Dominica,1,1,CFU Caribbean Cup qualification,St. George's,Grenada,False
1993-04-29,Grenada,Saint Lucia,0,1,CFU Caribbean Cup qualification,St. George's,Grenada,False
1994-01-02,Barbados,Grenada,0,0,Friendly,Bridgetown,Barbados,False
1994-01-25,Grenada,Puerto Rico,1,0,CFU Caribbean Cup qualification,Bridgetown,Barbados,True
1994-01-27,Barbados,Grenada,3,2,CFU Caribbean Cup qualification,Bridgetown,Barbados,False
1994-11-15,Grenada,Trinidad and Tobago,1,2,Friendly,St. George's,Grenada,False
1995-03-21,Grenada,Saint Lucia,2,0,CFU Caribbean Cup qualification,St. George's,Grenada,False
1995-04-09,Saint Lucia,Grenada,4,0,CFU Caribbean Cup qualification,Castries,Saint Lucia,False
1995-11-23,Grenada,Barbados,1,0,Windward Islands Tournament,Roseau,Dominica,True
1995-12-03,Grenada,Saint Vincent and the Grenadines,1,0,Windward Islands Tournament,Roseau,Dominica,True
1996-03-23,Curaçao,Grenada,0,1,CFU Caribbean Cup qualification,Willemstad,Curaçao,True
1996-03-29,Guyana,Grenada,1,2,FIFA World Cup qualification,Georgetown,Guyana,False
1996-04-07,Grenada,Guyana,6,0,FIFA World Cup qualification,St. George's,Grenada,False
1996-05-12,Haiti,Grenada,6,1,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1996-05-18,Grenada,Haiti,0,1,FIFA World Cup qualification,St. George's,Grenada,False
1997-04-02,Barbados,Grenada,1,1,CFU Caribbean Cup qualification,Port of Spain,Trinidad and Tobago,True
1997-04-04,Grenada,Guyana,5,1,CFU Caribbean Cup qualification,Palo Seco,Trinidad and Tobago,True
1997-04-06,Trinidad and Tobago,Grenada,2,3,Friendly,Arima,Trinidad and Tobago,False
