Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1934-03-13,Guadeloupe,Martinique,0,6,Friendly,Basse-Terre,Guadeloupe,False
1941-02-22,Guadeloupe,Martinique,1,2,Friendly,Basse-Terre,Guadeloupe,False
1941-09-07,Martinique,Guadeloupe,5,0,Friendly,Fort-de-France,Martinique,False
1948-12-16,Guadeloupe,Haiti,1,0,Friendly,Pointe-à-Pitre,Guadeloupe,False
1948-12-18,Guadeloupe,French Guiana,7,2,Friendly,Pointe-à-Pitre,Guadeloupe,False
1948-12-20,Guadeloupe,Martinique,3,0,Friendly,Pointe-à-Pitre,Guadeloupe,False
1950-12-05,Guadeloupe,Trinidad and Tobago,0,1,Friendly,Basse-Terre,Guadeloupe,False
1951-03-19,Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False
1951-05-17,Guadeloupe,Martinique,1,1,Friendly,Pointe-à-Pitre,Guadeloupe,False
1951-12-13,Guadeloupe,Trinidad and Tobago,0,2,Friendly,Basse-Terre,Guadeloupe,False
1952-03-12,Guadeloupe,Martinique,4,0,Friendly,Basse-Terre,Guadeloupe,False
1952-03-13,Martinique,Guadeloupe,1,2,Friendly,Fort-de-France,Martinique,False
1953-04-16,Martinique,Guadeloupe,4,3,Friendly,Fort-de-France,Martinique,False
1953-05-17,Guadeloupe,Martinique,0,2,Friendly,Pointe-à-Pitre,Guadeloupe,False
1954-03-19,Martinique,Guadeloupe,2,2,Friendly,Fort-de-France,Martinique,False
1954-05-21,Guadeloupe,Martinique,2,4,Friendly,Basse-Terre,Guadeloupe,False
1955-03-01,Martinique,Guadeloupe,4,1,Friendly,Fort-de-France,Martinique,False
1955-05-05,Martinique,Guadeloupe,1,1,Friendly,Fort-de-France,Martinique,False
1956-03-31,Guadeloupe,Curaçao,1,2,Friendly,Fort-de-France,Martinique,True
1956-04-26,Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False
1956-05-20,Guadeloupe,Martinique,2,2,Friendly,Basse-Terre,Guadeloupe,False
1957-04-20,Martinique,Guadeloupe,6,1,Friendly,Fort-de-France,Martinique,False
1957-05-15,Guadeloupe,Martinique,5,2,Friendly,Basse-Terre,Guadeloupe,False
1958-04-14,Martinique,Guadeloupe,1,1,Friendly,Fort-de-France,Martinique,False
1959-03-11,Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False
1959-05-21,Martinique,Guadeloupe,1,2,Friendly,Fort-de-France,Martinique,False
1959-06-06,Guadeloupe,Suriname,3,3,Friendly,Basse-Terre,Guadeloupe,False
1959-06-07,Guadeloupe,Suriname,3,1,Friendly,Basse-Terre,Guadeloupe,False
1960-02-20,Martinique,Guadeloupe,2,2,Friendly,Fort-de-France,Martinique,False
1960-06-16,Martinique,Guadeloupe,1,0,Friendly,Fort-de-France,Martinique,False
1961-04-11,Martinique,Guadeloupe,2,2,Friendly,Fort-de-France,Martinique,False
1962-04-19,Guadeloupe,Martinique,1,0,Friendly,Basse-Terre,Guadeloupe,False
1962-08-31,Suriname,Guadeloupe,3,1,Friendly,Paramaribo,Dutch Guyana,False
1962-10-13,Suriname,Guadeloupe,3,3,Friendly,Paramaribo,Dutch Guyana,False
1962-11-11,Guadeloupe,Martinique,3,1,Friendly,San Juan,Puerto Rico,True
1962-11-24,Puerto Rico,Guadeloupe,0,3,Friendly,San Juan,Puerto Rico,False
1963-04-16,Guadeloupe,Martinique,3,0,Friendly,Basse-Terre,Guadeloupe,False
1963-04-20,Guadeloupe,Puerto Rico,3,0,Friendly,Basse-Terre,Guadeloupe,False
1964-09-19,Martinique,Guadeloupe,1,0,Friendly,Fort-de-France,Martinique,False
1964-09-23,Guadeloupe,Puerto Rico,4,0,Friendly,Fort-de-France,Martinique,True
1966-06-11,Haiti,Guadeloupe,3,0,Friendly,Port-au-Prince,Haiti,False
1966-06-13,Jamaica,Guadeloupe,0,0,Friendly,Port-au-Prince,Haiti,True
1966-06-15,Guadeloupe,Suriname,0,4,Friendly,Port-au-Prince,Haiti,True
1966-06-18,Guadeloupe,Curaçao,0,4,Friendly,Port-au-Prince,Haiti,True
1966-06-20,Trinidad and Tobago,Guadeloupe,1,2,Friendly,Port-au-Prince,Haiti,True
1967-01-21,Martinique,Guadeloupe,2,1,Friendly,Fort-de-France,Martinique,False
1967-11-08,Puerto Rico,Guadeloupe,2,4,Friendly,San Juan,Puerto Rico,False
1967-11-11,Guadeloupe,Martinique,0,1,Friendly,San Juan,Puerto Rico,True
1968-11-11,Guadeloupe,Martinique,3,1,Friendly,Basse-Terre,Guadeloupe,False
1968-11-14,Guadeloupe,Puerto Rico,2,0,Friendly,Basse-Terre,Guadeloupe,False
1971-07-14,Martinique,Guadeloupe,2,1,Friendly,Fort-de-France,Martinique,False
1971-07-21,Guadeloupe,Martinique,1,1,Friendly,Basse-Terre,Guadeloupe,False
1972-02-13,Guadeloupe,Haiti,4,4,Friendly,Basse-Terre,Guadeloupe,False
1973-11-06,Guadeloupe,Martinique,0,2,Friendly,Basse-Terre,Guadeloupe,False
1975-03-13,Guadeloupe,Puerto Rico,2,1,Friendly,Basse-Terre,Guadeloupe,False
1975-03-30,Guadeloupe,Suriname,4,2,Friendly,Basse-Terre,Guadeloupe,False
1975-05-10,Martinique,Guadeloupe,8,2,Friendly,Fort-de-France,Martinique,False
1975-09-26,Haiti,Guadeloupe,3,0,Friendly,Port-au-Prince,Haiti,False
1976-05-02,Guadeloupe,Martinique,0,1,Friendly,Pointe-à-Pitre,Guadeloupe,False
1976-05-11,Martinique,Guadeloupe,3,2,Friendly,Fort-de-France,Martinique,False
1977-03-07,Guadeloupe,Martinique,1,3,Friendly,Capesterre-Belle-Eau,Guadeloupe,False
1977-04-14,Martinique,Guadeloupe,1,0,Friendly,Fort-de-France,Martinique,False
1978-03-26,Martinique,Guadeloupe,1,2,Friendly,Fort-de-France,Martinique,False
1978-07-02,Guadeloupe,Jamaica,1,0,CFU Caribbean Cup qualification,Pointe-à-Pitre,Guadeloupe,False
1978-07-30,Jamaica,Guadeloupe,1,2,CFU Caribbean Cup qualification,Kingston,Jamaica,False
1979-04-15,Guadeloupe,Martinique,0,1,Friendly,Capesterre-Belle-Eau,Guadeloupe,False
1979-10-22,Guadeloupe,Saint Vincent and the Grenadines,1,3,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1979-10-22,Saint Vincent and the Grenadines,Guadeloupe,0,0,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1980-05-09,Martinique,Guadeloupe,1,0,Friendly,Fort-de-France,Martinique,False
1981-06-21,Guadeloupe,Dominica,5,0,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1981-07-05,Dominica,Guadeloupe,2,3,CFU Caribbean Cup qualification,Roseau,Dominica,False
1981-08-02,Guadeloupe,Saint Vincent and the Grenadines,3,0,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1981-08-16,Saint Vincent and the Grenadines,Guadeloupe,3,1,CFU Caribbean Cup qualification,Kingstown,Saint Vincent and the Grenadines,False
1981-10-19,Puerto Rico,Guadeloupe,1,1,CFU Caribbean Cup,San Juan,Puerto Rico,False
1981-10-21,Guadeloupe,Trinidad and Tobago,0,2,CFU Caribbean Cup,San Juan,Puerto Rico,True
1981-10-24,Guadeloupe,Saint Vincent and the Grenadines,1,3,CFU Caribbean Cup,San Juan,Puerto Rico,True
1983-02-20,Guadeloupe,Dominica,1,0,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1983-03-06,Dominica,Guadeloupe,1,2,CFU Caribbean Cup qualification,Roseau,Dominica,False
1983-04-02,Guadeloupe,Antigua and Barbuda,2,3,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1983-05-08,Antigua and Barbuda,Guadeloupe,3,3,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1985-03-03,Antigua and Barbuda,Guadeloupe,0,1,CFU Caribbean Cup qualification,St. John's,Antigua and Barbuda,False
1985-04-03,Guadeloupe,Trinidad and Tobago,1,1,CFU Caribbean Cup qualification,Basse-Terre,Guadeloupe,False
1985-04-27,Suriname,Guadeloupe,0,1,CFU Caribbean Cup qualification,Cayenne,French Guiana,True
1985-06-25,Guadeloupe,Martinique,1,2,CFU Caribbean Cup,Bridgetown,Barbados,True
1985-06-27,Barbados,Guadeloupe,1,1,CFU Caribbean Cup,Bridgetown,Barbados,False
1985-06-30,Guadeloupe,Suriname,2,2,CFU Caribbean Cup,Bridgetown,Barbados,True
1986-03-03,Guadeloupe,Norway,1,2,Friendly,Basse-Terre,Guadeloupe,False
