Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1975-08-02,Guam,Solomon Islands,1,5,South Pacific Games,Tamuning,Guam,False
1975-08-04,Guam,Fiji,0,11,South Pacific Games,Tamuning,Guam,False
1979-08-29,Guam,Vanuatu,0,4,South Pacific Games,Suva,Fiji,True
1979-08-30,Guam,New Caledonia,1,10,South Pacific Games,Suva,Fiji,True
1979-09-05,Guam,Samoa,4,2,South Pacific Games,Nausori,Fiji,True
1979-09-06,Guam,Tuvalu,7,2,South Pacific Games,Nausori,Fiji,True
1991-09-09,Guam,Tahiti,0,15,South Pacific Games,Lae,Papua New Guinea,True
1991-09-12,Fiji,Guam,14,1,South Pacific Games,Lae,Papua New Guinea,True
1991-09-15,Guam,New Caledonia,0,18,South Pacific Games,Lae,Papua New Guinea,True
1991-09-18,Wallis Islands and Futuna,Guam,5,0,South Pacific Games,Lae,Papua New Guinea,True
1993-12-07,Tahiti,Guam,11,0,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-11,Solomon Islands,Guam,12,1,South Pacific Mini Games,Port Vila,Vanuatu,True
1993-12-13,Fiji,Guam,12,0,South Pacific Mini Games,Port Vila,Vanuatu,True
1995-08-16,Guam,Vanuatu,0,6,South Pacific Games,Papeete,Tahiti,True
1995-08-20,Fiji,Guam,8,0,South Pacific Games,Papeete,Tahiti,True
1995-08-22,Guam,Papua New Guinea,0,9,South Pacific Games,Papeete,Tahiti,True
1996-08-05,South Korea,Guam,9,0,AFC Asian Cup qualification,Ho Chi Minh City,Vietnam,True
1996-08-07,Vietnam,Guam,9,0,AFC Asian Cup qualification,Ho Chi Minh City,Vietnam,False
1997-05-11,Guam,Japan,0,12,East Asian Games,Busan,South Korea,True
1997-05-13,Kazakhstan,Guam,20,1,East Asian Games,Busan,South Korea,True
1997-05-15,Guam,China PR,0,7,East Asian Games,Busan,South Korea,True
1997-05-19,Guam,Mongolia,0,4,East Asian Games,Busan,South Korea,True
1998-07-30,Guam,Northern Mariana Islands,2,1,Friendly,Koror,Palau,True
1998-08-01,Palau,Guam,2,15,Friendly,Koror,Palau,False
1998-08-03,Guam,Northern Mariana Islands,0,3,Friendly,Koror,Palau,True
1999-06-05,Guam,Micronesia,3,0,Friendly,Hagätña,Guam,False
1999-06-10,Guam,Micronesia,4,1,Friendly,Hagätña,Guam,False
2000-01-23,Vietnam,Guam,11,0,AFC Asian Cup qualification,Hanoi,Vietnam,False
2000-01-26,China PR,Guam,19,0,AFC Asian Cup qualification,Hanoi,Vietnam,True
2000-01-29,Philippines,Guam,2,0,AFC Asian Cup qualification,Hanoi,Vietnam,True
2000-11-24,Iran,Guam,19,0,FIFA World Cup qualification,Tabriz,Iran,False
2000-11-26,Tajikistan,Guam,16,0,FIFA World Cup qualification,Tabriz,Iran,True
2003-02-24,Mongolia,Guam,2,0,EAFF Championship,So Kon Po,Hong Kong,True
2003-02-26,Guam,Macau,0,2,EAFF Championship,So Kon Po,Hong Kong,True
2003-02-28,Guam,Taiwan,0,7,EAFF Championship,So Kon Po,Hong Kong,True
2003-03-02,Hong Kong,Guam,11,0,EAFF Championship,So Kon Po,Hong Kong,False
2003-04-23,Bhutan,Guam,6,0,AFC Asian Cup qualification,Thimphu,Bhutan,False
2003-04-25,Guam,Mongolia,0,5,AFC Asian Cup qualification,Thimphu,Bhutan,True
2005-03-07,Guam,Hong Kong,0,15,EAFF Championship,Taipei,Taiwan,True
2005-03-09,Mongolia,Guam,4,1,EAFF Championship,Taipei,Taiwan,True
2005-03-11,Guam,North Korea,0,21,EAFF Championship,Taipei,Taiwan,True
2006-04-01,Palestine,Guam,11,0,AFC Challenge Cup,Dhaka,Bangladesh,True
2006-04-03,Bangladesh,Guam,3,0,AFC Challenge Cup,Dhaka,Bangladesh,False
2006-04-06,Cambodia,Guam,3,0,AFC Challenge Cup,Dhaka,Bangladesh,True
2007-03-25,Northern Mariana Islands,Guam,2,3,EAFF Championship,Oleai,Northern Mariana Islands,False
2007-04-01,Guam,Northern Mariana Islands,9,0,EAFF Championship,Hagätña,Guam,False
2007-06-17,Guam,Taiwan,0,10,EAFF Championship,Macau,Macau,True
2007-06-21,Hong Kong,Guam,15,1,EAFF Championship,Macau,Macau,True
2007-06-23,Mongolia,Guam,5,2,EAFF Championship,Macau,Macau,True
2008-04-02,Sri Lanka,Guam,5,1,AFC Challenge Cup qualification,Taipei,Taiwan,True
2008-04-04,Taiwan,Guam,4,1,AFC Challenge Cup qualification,Taipei,Taiwan,False
2008-04-06,Pakistan,Guam,9,2,AFC Challenge Cup qualification,Taipei,Taiwan,True
2008-04-27,Northern Mariana Islands,Guam,2,3,Friendly,Susupe,Northern Mariana Islands,False
2009-03-11,Guam,Mongolia,1,0,EAFF Championship,Yona,Guam,False
2009-03-13,Guam,Northern Mariana Islands,2,1,EAFF Championship,Yona,Guam,False
2009-03-15,Guam,Macau,2,2,EAFF Championship,Yona,Guam,False
2009-08-23,North Korea,Guam,9,2,EAFF Championship,Kaohsiung,Taiwan,True
2009-08-27,Hong Kong,Guam,12,0,EAFF Championship,Kaohsiung,Taiwan,True
2010-06-19,Northern Mariana Islands,Guam,1,1,Friendly,Susupe,Northern Mariana Islands,False
2011-08-27,Solomon Islands,Guam,7,0,Pacific Games,Nouméa,New Caledonia,True
2011-08-30,New Caledonia,Guam,9,0,Pacific Games,Nouméa,New Caledonia,False
2011-09-01,American Samoa,Guam,0,2,Pacific Games,Nouméa,New Caledonia,True
2011-09-03,Guam,Vanuatu,1,4,Pacific Games,Nouméa,New Caledonia,True
2011-09-05,Guam,Tuvalu,1,1,Pacific Games,Nouméa,New Caledonia,True
2012-06-12,Philippines,Guam,3,0,Friendly,Bacolod,Philippines,False
2012-07-18,Guam,Northern Mariana Islands,3,1,EAFF Championship,Yona,Guam,False
2012-07-22,Guam,Macau,3,0,EAFF Championship,Yona,Guam,False
2012-09-25,Philippines,Guam,1,0,Friendly,Manila,Philippines,False
2012-09-29,Macau,Guam,0,3,Friendly,Manila,Philippines,True
2012-11-24,Guam,Northern Mariana Islands,8,0,Friendly,Yona,Guam,False
2012-12-01,Hong Kong,Guam,2,1,EAFF Championship,Kowloon,Hong Kong,False
2012-12-03,North Korea,Guam,5,0,EAFF Championship,Kowloon,Hong Kong,True
2012-12-07,Guam,Australia,0,9,EAFF Championship,So Kon Po,Hong Kong,True
2013-03-02,Myanmar,Guam,5,0,AFC Challenge Cup qualification,Yangon,Myanmar,False
