Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1921-09-18,Guatemala,Costa Rica,0,6,Friendly,Guatemala City,Guatemala,False
1923-01-01,Guatemala,Mexico,2,3,Friendly,Guatemala City,Guatemala,False
1923-01-04,Guatemala,Mexico,3,1,Friendly,Guatemala City,Guatemala,False
1923-01-07,Guatemala,Mexico,1,4,Friendly,Guatemala City,Guatemala,False
1923-12-09,Mexico,Guatemala,2,1,Friendly,Mexico City,Mexico,False
1923-12-12,Mexico,Guatemala,2,0,Friendly,Mexico City,Mexico,False
1923-12-16,Mexico,Guatemala,3,3,Friendly,Mexico City,Mexico,False
1930-03-17,Costa Rica,Guatemala,8,1,Central American and Caribbean Games,Havana,Cuba,True
1930-03-19,El Salvador,Guatemala,8,2,Central American and Caribbean Games,Havana,Cuba,True
1935-03-25,Costa Rica,Guatemala,4,3,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-27,Cuba,Guatemala,2,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-28,Mexico,Guatemala,5,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-31,Honduras,Guatemala,0,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-03,El Salvador,Guatemala,6,1,Central American and Caribbean Games,San Salvador,El Salvador,False
1943-12-05,El Salvador,Guatemala,2,2,CCCF Championship,San Salvador,El Salvador,False
1943-12-07,Costa Rica,Guatemala,2,3,CCCF Championship,San Salvador,El Salvador,True
1943-12-09,Guatemala,Nicaragua,6,2,CCCF Championship,San Salvador,El Salvador,True
1943-12-12,El Salvador,Guatemala,2,1,CCCF Championship,San Salvador,El Salvador,False
1943-12-16,Guatemala,Costa Rica,4,2,CCCF Championship,San Salvador,El Salvador,True
1943-12-19,Nicaragua,Guatemala,1,5,CCCF Championship,San Salvador,El Salvador,True
1946-02-23,El Salvador,Guatemala,1,3,CCCF Championship,San José,Costa Rica,True
1946-02-28,Honduras,Guatemala,5,3,CCCF Championship,San José,Costa Rica,True
1946-03-07,Guatemala,Nicaragua,7,0,CCCF Championship,San José,Costa Rica,True
1946-03-10,Costa Rica,Guatemala,1,4,CCCF Championship,San José,Costa Rica,False
1946-03-13,Panama,Guatemala,3,3,CCCF Championship,San José,Costa Rica,True
1946-12-09,Panama,Guatemala,4,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-12,Curaçao,Guatemala,2,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-15,Colombia,Guatemala,4,2,Central American and Caribbean Games,Barranquilla,Colombia,False
1946-12-16,Costa Rica,Guatemala,6,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-18,Venezuela,Guatemala,3,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-19,Guatemala,Puerto Rico,4,1,Central American and Caribbean Games,Barranquilla,Colombia,True
1948-03-02,Guatemala,El Salvador,3,0,CCCF Championship,Guatemala City,Guatemala,False
1948-03-04,Guatemala,Costa Rica,1,1,CCCF Championship,Guatemala City,Guatemala,False
1948-03-05,Guatemala,Curaçao,2,2,CCCF Championship,Guatemala City,Guatemala,False
1948-03-09,Guatemala,Panama,4,3,CCCF Championship,Guatemala City,Guatemala,False
1948-03-13,Guatemala,El Salvador,1,1,CCCF Championship,Guatemala City,Guatemala,False
1948-03-16,Guatemala,Costa Rica,3,2,CCCF Championship,Guatemala City,Guatemala,False
1948-03-18,Guatemala,Curaçao,2,2,CCCF Championship,Guatemala City,Guatemala,False
1948-03-21,Guatemala,Panama,4,5,CCCF Championship,Guatemala City,Guatemala,False
1950-09-02,El Salvador,Guatemala,2,1,Friendly,Willemstad,Curaçao,True
1950-09-06,El Salvador,Guatemala,2,0,Friendly,Willemstad,Curaçao,True
1953-03-09,Guatemala,Curaçao,1,1,CCCF Championship,San José,Costa Rica,True
1953-03-11,Guatemala,Honduras,1,0,CCCF Championship,San José,Costa Rica,True
1953-03-13,Guatemala,El Salvador,3,2,CCCF Championship,San José,Costa Rica,True
1953-03-17,Panama,Guatemala,2,2,CCCF Championship,San José,Costa Rica,True
1953-03-19,Guatemala,Nicaragua,1,0,CCCF Championship,San José,Costa Rica,True
1953-03-21,Costa Rica,Guatemala,3,0,CCCF Championship,San José,Costa Rica,False
1955-07-24,Costa Rica,Guatemala,9,1,Friendly,San José,Costa Rica,False
1955-07-31,Guatemala,Costa Rica,3,1,Friendly,Guatemala City,Guatemala,False
1955-08-15,Guatemala,El Salvador,2,3,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-18,Guatemala,Curaçao,4,1,CCCF Championship,Tegucigalpa,Honduras,True
1955-08-21,Guatemala,Costa Rica,0,2,CCCF Championship,Tegucigalpa,Honduras,True
1957-02-10,Guatemala,Costa Rica,2,6,FIFA World Cup qualification,Guatemala City,Guatemala,False
1957-02-17,Costa Rica,Guatemala,3,1,FIFA World Cup qualification,San José,Costa Rica,False
1957-03-14,Guatemala,Curaçao,1,3,FIFA World Cup qualification,Guatemala City,Guatemala,False
1960-08-21,Costa Rica,Guatemala,3,2,FIFA World Cup qualification,San José,Costa Rica,False
1960-08-28,Guatemala,Costa Rica,4,4,FIFA World Cup qualification,Guatemala City,Guatemala,False
1960-09-25,Honduras,Guatemala,1,1,FIFA World Cup qualification,Tegucigalpa,Honduras,False
1961-03-09,Guatemala,Haiti,1,3,CCCF Championship,San José,Costa Rica,True
1961-03-12,Cuba,Guatemala,0,2,CCCF Championship,San José,Costa Rica,True
1963-03-02,Guatemala,Honduras,1,2,Friendly,Guatemala City,Guatemala,False
1963-03-10,Guatemala,Honduras,2,1,Friendly,Guatemala City,Guatemala,False
1963-03-23,Guatemala,Panama,2,2,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-27,Guatemala,Nicaragua,3,1,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-29,Guatemala,Honduras,1,2,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-31,El Salvador,Guatemala,1,1,CONCACAF Championship,San Salvador,El Salvador,False
1965-03-10,Guatemala,Paraguay,1,4,Friendly,Guatemala City,Guatemala,False
1965-03-14,Guatemala,Paraguay,0,3,Friendly,Guatemala City,Guatemala,False
1965-03-28,Guatemala,Haiti,3,0,CONCACAF Championship,Guatemala City,Guatemala,False
1965-04-01,Guatemala,Costa Rica,0,0,CONCACAF Championship,Guatemala City,Guatemala,False
1965-04-04,Guatemala,El Salvador,4,1,CONCACAF Championship,Guatemala City,Guatemala,False
1965-04-06,Guatemala,Curaçao,3,2,CONCACAF Championship,Guatemala City,Guatemala,False
1965-04-11,Guatemala,Mexico,1,2,CONCACAF Championship,Guatemala City,Guatemala,False
1966-02-28,Panama,Guatemala,0,1,Friendly,Panama City,Panama,False
1967-01-18,Guatemala,Honduras,3,1,Friendly,Guatemala City,Guatemala,False
1967-01-22,Honduras,Guatemala,1,1,Friendly,Tegucigalpa,Honduras,False
1967-02-12,Guatemala,Panama,3,1,CONCACAF Championship qualification,Guatemala City,Guatemala,False
1967-02-14,Guatemala,Nicaragua,3,1,CONCACAF Championship qualification,Guatemala City,Guatemala,False
1967-03-06,Haiti,Guatemala,1,2,CONCACAF Championship,Tegucigalpa,Honduras,True
1967-03-10,Guatemala,Mexico,1,0,CONCACAF Championship,Tegucigalpa,Honduras,True
1967-03-12,Honduras,Guatemala,0,0,CONCACAF Championship,Tegucigalpa,Honduras,False
1967-03-14,Trinidad and Tobago,Guatemala,0,2,CONCACAF Championship,Tegucigalpa,Honduras,True
1967-03-19,Guatemala,Nicaragua,2,0,CONCACAF Championship,Tegucigalpa,Honduras,True
1967-10-22,Guatemala,El Salvador,1,0,Friendly,Guatemala City,Guatemala,False
1967-11-05,El Salvador,Guatemala,1,3,Friendly,San Salvador,El Salvador,False
1968-05-07,El Salvador,Guatemala,3,0,Friendly,San Salvador,El Salvador,False
1968-08-15,El Salvador,Guatemala,1,0,Friendly,San Salvador,El Salvador,False
1968-11-17,Guatemala,Trinidad and Tobago,4,0,FIFA World Cup qualification,Guatemala City,Guatemala,False
1968-11-20,Guatemala,Trinidad and Tobago,0,0,FIFA World Cup qualification,Guatemala City,Guatemala,False
1968-12-08,Haiti,Guatemala,2,0,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1969-02-23,Guatemala,Haiti,1,1,FIFA World Cup qualification,Guatemala City,Guatemala,False
1969-11-13,Guatemala,Norway,1,3,Friendly,Guatemala City,Guatemala,False
1969-11-27,Guatemala,Trinidad and Tobago,2,0,CONCACAF Championship,San José,Costa Rica,True
1969-11-29,Guatemala,Curaçao,6,1,CONCACAF Championship,San José,Costa Rica,True
1969-12-02,Mexico,Guatemala,0,1,CONCACAF Championship,San José,Costa Rica,True
1969-12-04,Jamaica,Guatemala,0,0,CONCACAF Championship,San José,Costa Rica,True
1969-12-07,Costa Rica,Guatemala,1,1,CONCACAF Championship,San José,Costa Rica,False
1971-09-05,Honduras,Guatemala,1,0,CONCACAF Championship qualification,Tegucigalpa,Honduras,False
1971-09-12,Guatemala,Honduras,1,1,CONCACAF Championship qualification,Guatemala City,Guatemala,False
1972-09-02,Guatemala,Canada,2,2,Friendly,Guatemala City,Guatemala,False
1972-10-15,Guatemala,Costa Rica,0,0,Friendly,Guatemala City,Guatemala,False
1972-11-12,Costa Rica,Guatemala,1,1,Friendly,San José,Costa Rica,False
1972-12-03,Guatemala,El Salvador,1,0,CONCACAF Championship qualification,Guatemala City,Guatemala,False
1972-12-10,El Salvador,Guatemala,0,1,CONCACAF Championship qualification,San Salvador,El Salvador,False
1973-03-04,Peru,Guatemala,5,1,Friendly,Lima,Peru,False
1973-11-30,Guatemala,Mexico,0,0,CONCACAF Championship,Port-au-Prince,Haiti,True
1973-12-05,Guatemala,Curaçao,2,2,CONCACAF Championship,Port-au-Prince,Haiti,True
1973-12-10,Guatemala,Trinidad and Tobago,0,1,CONCACAF Championship,Port-au-Prince,Haiti,True
1973-12-13,Haiti,Guatemala,2,1,CONCACAF Championship,Port-au-Prince,Haiti,False
1973-12-15,Guatemala,Honduras,1,1,CONCACAF Championship,Port-au-Prince,Haiti,True
1975-08-01,Panama,Guatemala,2,0,Friendly,Panama City,Panama,False
1976-06-30,Guatemala,Costa Rica,1,0,Friendly,Guatemala City,Guatemala,False
