Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1962-05-09,Togo,Guinea,2,1,Friendly,Lomé,Togo,False
1962-12-16,Guinea,German DR,2,3,Friendly,Conakry,Guinea,False
1963-07-27,Nigeria,Guinea,2,2,African Cup of Nations qualification,Lagos,Nigeria,False
1963-12-15,Senegal,Guinea,1,1,Friendly,Dakar,Senegal,False
1963-12-31,Cameroon,Guinea,1,5,Friendly,Yaoundé,Cameroon,False
1964-06-20,Congo,Guinea,1,2,Friendly,Brazzaville,Congo,False
1965-02-25,Senegal,Guinea,2,0,African Cup of Nations qualification,Dakar,Senegal,False
1965-03-31,Guinea,Senegal,3,1,African Cup of Nations qualification,Conakry,Guinea,False
1965-05-23,Mali,Guinea,2,1,African Cup of Nations qualification,Bamako,Mali,False
1965-06-06,Guinea,Mali,2,1,African Cup of Nations qualification,Conakry,Guinea,False
1965-08-03,Guinea,Indonesia,3,1,Friendly,Pyongyang,North Korea,True
1965-08-06,Guinea,North Vietnam,1,2,Friendly,Pyongyang,North Korea,True
1965-08-07,North Korea,Guinea,3,0,Friendly,Pyongyang,North Korea,False
1965-08-10,China PR,Guinea,2,0,Friendly,Pyongyang,North Korea,True
1966-03-06,Guinea,Senegal,5,0,Friendly,Conakry,Guinea,False
1966-08-28,Guinea,Cameroon,2,2,Friendly,Conakry,Guinea,False
1966-08-30,Guinea,Mali,5,0,Friendly,Conakry,Guinea,False
1966-11-20,Mali,Guinea,1,0,Friendly,Bamako,Mali,False
1967-01-26,Liberia,Guinea,2,2,African Cup of Nations qualification,Monrovia,Liberia,False
1967-02-25,Guinea,Senegal,3,0,African Cup of Nations qualification,Conakry,Guinea,False
1967-03-19,Senegal,Guinea,4,1,African Cup of Nations qualification,Dakar,Senegal,False
1967-04-02,Guinea,Liberia,3,0,African Cup of Nations qualification,Conakry,Guinea,False
1967-11-22,Senegal,Guinea,2,1,African Cup of Nations qualification,Dakar,Senegal,False
1967-12-02,Sierra Leone,Guinea,2,1,Friendly,Freetown,Sierra Leone,False
1968-02-25,Burkina Faso,Guinea,2,0,Friendly,Ouagadougou,Upper Volta,False
1968-03-07,Guinea,DR Congo,1,0,Friendly,Conakry,Guinea,False
1968-03-31,Guinea,Burkina Faso,3,1,Friendly,Conakry,Guinea,False
1968-04-02,Guinea,Burkina Faso,1,3,Friendly,Conakry,Guinea,False
1968-04-07,Togo,Guinea,1,1,Friendly,Lomé,Togo,False
1968-04-10,Benin,Guinea,2,5,Friendly,Cotonou,Dahomey,False
1968-12-14,Sierra Leone,Guinea,1,1,Friendly,Freetown,Sierra Leone,False
1969-02-02,Guinea,Sierra Leone,1,1,Friendly,Conakry,Guinea,False
1969-05-22,Guinea,Gambia,6,2,Friendly,Conakry,Guinea,False
1969-08-10,Guinea,Togo,4,0,African Cup of Nations qualification,Conakry,Guinea,False
1969-08-24,Togo,Guinea,1,1,African Cup of Nations qualification,Lomé,Togo,False
1969-10-12,Guinea,Senegal,4,3,African Cup of Nations qualification,Conakry,Guinea,False
1969-10-26,Senegal,Guinea,1,1,African Cup of Nations qualification,Dakar,Senegal,False
1969-11-12,Congo,Guinea,1,1,Friendly,Brazzaville,Congo,False
1970-02-07,Egypt,Guinea,4,1,African Cup of Nations,Wad Madani,Sudan,True
1970-02-09,DR Congo,Guinea,2,2,African Cup of Nations,Wad Madani,Sudan,True
1970-02-11,Ghana,Guinea,1,1,African Cup of Nations,Wad Madani,Sudan,True
1970-03-22,Guinea,Ivory Coast,4,2,Friendly,Conakry,Guinea,False
1970-03-26,Guinea,Mali,2,1,Friendly,Conakry,Guinea,False
1970-05-14,Guinea,Senegal,3,1,Friendly,Conakry,Guinea,False
1970-05-17,Guinea,Senegal,4,0,Friendly,Conakry,Guinea,False
1970-07-26,Ivory Coast,Guinea,3,2,Friendly,Abidjan,Ivory Coast,False
1970-11-01,Sierra Leone,Guinea,1,2,Friendly,Freetown,Sierra Leone,False
1970-11-15,Guinea,Senegal,1,0,Friendly,Conakry,Guinea,False
