Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1905-07-21,Guyana,Trinidad and Tobago,1,4,Friendly,Georgetown,British Guiana,False
1921-01-28,Suriname,Guyana,1,2,Friendly,Paramaribo,Dutch Guyana,False
1923-08-27,Suriname,Guyana,2,1,Friendly,Paramaribo,Dutch Guyana,False
1928-03-16,Guyana,Trinidad and Tobago,1,1,Friendly,Georgetown,British Guiana,False
1929-10-26,Trinidad and Tobago,Guyana,0,0,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-02,Trinidad and Tobago,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-03,Trinidad and Tobago,Guyana,3,1,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-11,Trinidad and Tobago,Guyana,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1929-11-12,Trinidad and Tobago,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,False
1931-03-05,Guyana,Trinidad and Tobago,2,1,Friendly,Georgetown,British Guiana,False
1931-03-08,Guyana,Trinidad and Tobago,0,2,Friendly,Georgetown,British Guiana,False
1931-03-10,Guyana,Barbados,9,0,Friendly,Georgetown,British Guiana,False
1931-03-14,Guyana,Barbados,7,0,Friendly,Georgetown,British Guiana,False
1932-04-15,Guyana,Trinidad and Tobago,1,0,Friendly,Bridgetown,Barbados,True
1932-04-19,Barbados,Guyana,0,1,Friendly,Bridgetown,Barbados,False
1932-04-21,Barbados,Guyana,2,2,Friendly,Bridgetown,Barbados,False
1932-04-23,Guyana,Trinidad and Tobago,1,2,Friendly,Bridgetown,Barbados,True
1933-10-24,Trinidad and Tobago,Guyana,2,0,Friendly,Port of Spain,Trinidad and Tobago,False
1933-10-25,Barbados,Guyana,0,2,Friendly,Port of Spain,Trinidad and Tobago,True
1933-10-27,Trinidad and Tobago,Guyana,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1933-11-02,Trinidad and Tobago,Guyana,1,0,Friendly,Port of Spain,Trinidad and Tobago,False
1933-11-03,Barbados,Guyana,2,5,Friendly,Port of Spain,Trinidad and Tobago,True
1937-01-04,Suriname,Guyana,8,0,Friendly,Paramaribo,Dutch Guyana,False
1937-01-05,Guyana,Trinidad and Tobago,0,3,Friendly,Paramaribo,Dutch Guyana,True
1937-01-11,Guyana,Trinidad and Tobago,2,3,Friendly,Paramaribo,Dutch Guyana,True
1938-03-28,Guyana,Trinidad and Tobago,1,1,Friendly,Georgetown,British Guiana,False
1938-04-01,Guyana,Trinidad and Tobago,0,3,Friendly,Georgetown,British Guiana,False
1938-04-07,Guyana,Trinidad and Tobago,0,2,Friendly,Georgetown,British Guiana,False
1943-11-14,Guyana,Suriname,2,0,Friendly,Georgetown,British Guiana,False
1943-11-21,Guyana,Suriname,0,1,Friendly,Georgetown,British Guiana,False
1943-11-22,Guyana,Suriname,0,4,Friendly,Georgetown,British Guiana,False
1944-10-04,Trinidad and Tobago,Guyana,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1944-10-07,Barbados,Guyana,0,3,Friendly,Port of Spain,Trinidad and Tobago,True
1944-10-11,Barbados,Guyana,0,1,Friendly,Port of Spain,Trinidad and Tobago,True
1944-10-13,Trinidad and Tobago,Guyana,3,0,Friendly,Port of Spain,Trinidad and Tobago,False
1944-10-16,Trinidad and Tobago,Guyana,3,0,Friendly,Port of Spain,Trinidad and Tobago,False
1945-08-26,Suriname,Guyana,3,1,Friendly,Paramaribo,Dutch Guyana,False
1945-08-31,Suriname,Guyana,4,1,Friendly,Paramaribo,Dutch Guyana,False
1945-09-02,Suriname,Guyana,6,0,Friendly,Paramaribo,Dutch Guyana,False
1946-10-21,Guyana,Suriname,0,3,Friendly,Georgetown,British Guiana,False
1946-10-24,Guyana,Suriname,0,1,Friendly,Georgetown,British Guiana,False
1946-10-29,Guyana,Suriname,3,1,Friendly,Georgetown,British Guiana,False
1947-09-01,Suriname,Guyana,4,0,Friendly,Paramaribo,Dutch Guyana,False
1947-09-05,Suriname,Guyana,0,0,Friendly,Paramaribo,Dutch Guyana,False
1947-09-07,Suriname,Guyana,1,0,Friendly,Paramaribo,Dutch Guyana,False
1947-11-05,Trinidad and Tobago,Guyana,1,2,Friendly,Port of Spain,Trinidad and Tobago,False
1947-11-06,Guyana,Jamaica,2,0,Friendly,Port of Spain,Trinidad and Tobago,True
1947-11-10,Guyana,Jamaica,0,0,Friendly,Port of Spain,Trinidad and Tobago,True
1947-11-14,Trinidad and Tobago,Guyana,2,0,Friendly,Port of Spain,Trinidad and Tobago,False
1948-10-01,Suriname,Guyana,3,0,Friendly,Cayenne,French Guiana,True
1948-10-10,French Guiana,Guyana,3,2,Friendly,Cayenne,French Guiana,False
1950-03-22,Guyana,Trinidad and Tobago,0,1,Friendly,Georgetown,British Guiana,False
1950-03-24,Guyana,Trinidad and Tobago,1,4,Friendly,Georgetown,British Guiana,False
1950-03-27,Guyana,Trinidad and Tobago,1,0,Friendly,Georgetown,British Guiana,False
1950-03-29,Guyana,Trinidad and Tobago,1,2,Friendly,Georgetown,British Guiana,False
1950-08-27,Suriname,Guyana,0,1,Friendly,Paramaribo,Dutch Guyana,False
1950-08-31,Suriname,Guyana,3,0,Friendly,Paramaribo,Dutch Guyana,False
1950-09-03,Suriname,Guyana,4,1,Friendly,Paramaribo,Dutch Guyana,False
1951-08-31,Suriname,Guyana,6,1,Friendly,Paramaribo,Dutch Guyana,False
1951-09-02,Suriname,Guyana,5,0,Friendly,Paramaribo,Dutch Guyana,False
1951-09-09,Suriname,Guyana,4,0,Friendly,Paramaribo,Dutch Guyana,False
1952-02-17,Guyana,Suriname,0,9,Friendly,Oranjestad,Aruba,True
1956-09-25,Guyana,Suriname,1,1,Friendly,Georgetown,British Guiana,False
1956-09-28,Guyana,Suriname,2,1,Friendly,Georgetown,British Guiana,False
1956-09-30,Guyana,Suriname,1,2,Friendly,Georgetown,British Guiana,False
1959-03-01,Guyana,Jamaica,2,2,Friendly,Port of Spain,Trinidad and Tobago,True
1959-03-05,Trinidad and Tobago,Guyana,2,1,Friendly,San Fernando,Trinidad and Tobago,False
