Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1925-03-22,Haiti,Jamaica,1,2,Friendly,Port-au-Prince,Haiti,False
1925-03-26,Haiti,Jamaica,0,3,Friendly,Port-au-Prince,Haiti,False
1925-03-29,Haiti,Jamaica,0,1,Friendly,Port-au-Prince,Haiti,False
1926-01-24,Haiti,Curaçao,1,1,Friendly,Port-au-Prince,Haiti,False
1926-01-31,Haiti,Curaçao,0,1,Friendly,Port-au-Prince,Haiti,False
1926-02-07,Haiti,Curaçao,2,1,Friendly,Port-au-Prince,Haiti,False
1926-02-14,Haiti,Curaçao,2,2,Friendly,Port-au-Prince,Haiti,False
1926-11-20,Jamaica,Haiti,6,0,Friendly,Kingston,Jamaica,False
1932-03-13,Haiti,Jamaica,4,1,Friendly,Port-au-Prince,Haiti,False
1932-03-20,Haiti,Jamaica,0,1,Friendly,Port-au-Prince,Haiti,False
1934-01-28,Haiti,Cuba,1,3,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1934-02-01,Haiti,Cuba,1,1,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1934-02-04,Haiti,Cuba,0,6,FIFA World Cup qualification,Port-au-Prince,Haiti,False
1938-03-13,Haiti,Jamaica,5,2,Friendly,Port-au-Prince,Haiti,False
1938-03-17,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False
1938-03-20,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False
1939-03-15,Haiti,Panama,1,0,Friendly,Port-au-Prince,Haiti,False
1939-03-19,Haiti,Panama,1,1,Friendly,Port-au-Prince,Haiti,False
1939-03-24,Haiti,Panama,3,0,Friendly,Port-au-Prince,Haiti,False
1944-04-02,Curaçao,Haiti,5,0,Friendly,Willemstad,Curaçao,False
1944-04-05,Haiti,Venezuela,0,2,Friendly,Willemstad,Curaçao,True
1944-04-08,Aruba,Haiti,1,1,Friendly,Willemstad,Curaçao,True
1948-10-11,Jamaica,Haiti,1,0,Friendly,Kingston,Jamaica,False
1948-10-13,Jamaica,Haiti,1,2,Friendly,Kingston,Jamaica,False
1948-10-16,Jamaica,Haiti,3,0,Friendly,Kingston,Jamaica,False
1948-10-23,Trinidad and Tobago,Haiti,0,0,Friendly,Port of Spain,Trinidad and Tobago,False
1948-10-27,Trinidad and Tobago,Haiti,4,0,Friendly,Port of Spain,Trinidad and Tobago,False
1948-10-30,Trinidad and Tobago,Haiti,4,0,Friendly,Port of Spain,Trinidad and Tobago,False
1948-12-16,Guadeloupe,Haiti,1,0,Friendly,Pointe-à-Pitre,Guadeloupe,False
1949-04-20,Haiti,Trinidad and Tobago,2,2,Friendly,Port-au-Prince,Haiti,False
1949-04-23,Haiti,Trinidad and Tobago,2,3,Friendly,Port-au-Prince,Haiti,False
1949-04-25,Haiti,Trinidad and Tobago,5,0,Friendly,Port-au-Prince,Haiti,False
1949-12-19,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False
1949-12-20,Haiti,Cuba,3,0,Friendly,Port-au-Prince,Haiti,False
1950-10-14,Jamaica,Haiti,2,1,Friendly,Kingston,Jamaica,False
1951-12-26,Jamaica,Haiti,2,2,Friendly,Kingston,Jamaica,False
1951-12-27,Jamaica,Haiti,0,1,Friendly,Kingston,Jamaica,False
1951-12-29,Jamaica,Haiti,2,1,Friendly,Kingston,Jamaica,False
1952-07-19,Haiti,Jamaica,4,1,Friendly,Port-au-Prince,Haiti,False
1952-07-20,Haiti,Jamaica,3,3,Friendly,Port-au-Prince,Haiti,False
