Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1997-06-29,Ynys Môn,Hitra,8,0,Island Games,St. Peter,Jersey,True
1997-07-01,Hitra,Isle of Wight,0,4,Island Games,Grouville,Jersey,True
1997-07-03,Shetland,Hitra,2,1,Island Games,St. Lawrence,Jersey,True
1997-07-03,Frøya,Hitra,4,1,Island Games,Grouville,Jersey,True
1999-06-27,Gotland,Hitra,12,1,Island Games,Gutavallen,Sweden,False
1999-06-28,Hitra,Isle of Man,0,13,Island Games,Fardhem,Sweden,True
1999-06-29,Shetland,Hitra,4,1,Island Games,Fårösund,Sweden,True
1999-07-01,Hitra,Saare County,2,1,Island Games,Dalhem,Sweden,True
2015-06-28,Falkland Islands,Hitra,2,1,Island Games,St. John,Jersey,True
2015-06-29,Hitra,Shetland,1,4,Island Games,St. Brelade,Jersey,True
2015-06-30,Isle of Wight,Hitra,3,1,Island Games,St. Lawrence,Jersey,True
2015-07-02,Hitra,Alderney,5,1,Island Games,St. Ouen,Jersey,True
2017-06-25,Isle of Man,Hitra,5,0,Island Games,Fårösund,Sweden,True
2017-06-26,Hitra,Ynys Môn,1,5,Island Games,Väskinde,Sweden,True
2017-06-27,Hitra,Falkland Islands,2,1,Island Games,Fardhem,Sweden,True
2017-06-29,Hitra,Western Isles,1,1,Island Games,Stenkyrka,Sweden,True
2019-06-16,Alderney,Hitra,2,4,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-17,Isle of Man,Hitra,7,1,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-20,Jersey,Hitra,3,1,Inter Games Football Tournament,Anglesey,Wales,True
