Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-04-05,Hong Kong,South Korea,4,0,Friendly,So Kon Po,Hong Kong,False
1954-05-02,South Korea,Hong Kong,3,3,Asian Games,Manila,Philippines,True
1954-05-06,Hong Kong,Afghanistan,4,2,Asian Games,Manila,Philippines,True
1954-06-02,Hong Kong,Taiwan,2,2,Friendly,Victoria,Hong Kong,False
1956-09-01,Hong Kong,Israel,2,3,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-06,Hong Kong,South Korea,2,2,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-09,Hong Kong,Vietnam Republic,2,2,AFC Asian Cup,So Kon Po,Hong Kong,False
1956-09-17,Hong Kong,South Korea,2,4,Friendly,So Kon Po,Hong Kong,False
1958-02-18,Hong Kong,South Korea,3,2,Friendly,So Kon Po,Hong Kong,False
1958-02-25,Hong Kong,South Korea,1,1,Friendly,So Kon Po,Hong Kong,False
1958-05-14,Hong Kong,Taiwan,2,1,Friendly,Victoria,Hong Kong,False
1958-05-25,Hong Kong,Philippines,4,1,Asian Games,Tokyo,Japan,True
1958-05-28,Japan,Hong Kong,0,2,Asian Games,Tokyo,Japan,False
1958-05-30,Hong Kong,India,2,5,Asian Games,Tokyo,Japan,True
1958-06-04,Hong Kong,Malaysia,2,2,Friendly,Victoria,Hong Kong,False
1958-12-25,Hong Kong,Japan,5,2,Friendly,So Kon Po,Hong Kong,False
1959-03-29,Philippines,Hong Kong,0,7,AFC Asian Cup qualification,Manila,Philippines,False
1959-08-22,Hong Kong,Taiwan,1,3,Friendly,Victoria,Hong Kong,False
1959-09-10,Hong Kong,South Korea,2,3,Friendly,George Town,Malaya,True
1961-08-06,Hong Kong,Thailand,2,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-12-02,Hong Kong,Yugoslavia,1,2,Friendly,So Kon Po,Hong Kong,False
1962-06-09,Singapore,Hong Kong,2,6,Friendly,Kallang,Singapore,False
1963-11-20,Hong Kong,Singapore,3,4,Friendly,So Kon Po,Hong Kong,False
1963-12-07,Hong Kong,Thailand,3,3,AFC Asian Cup qualification,Saigon,Vietnam Republic,True
1963-12-11,Vietnam Republic,Hong Kong,1,4,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1963-12-14,Hong Kong,Malaysia,4,3,AFC Asian Cup qualification,Saigon,Vietnam Republic,True
