Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1902-10-12,Austria,Hungary,5,0,Friendly,Vienna,Austria,False
1903-04-05,Hungary,Czechoslovakia,2,1,Friendly,Budapest,Hungary,False
1903-06-11,Hungary,Austria,3,2,Friendly,Budapest,Hungary,False
1903-10-11,Austria,Hungary,4,2,Friendly,Vienna,Austria,False
1904-06-02,Hungary,Austria,3,0,Friendly,Budapest,Hungary,False
1904-10-09,Austria,Hungary,5,4,Friendly,Vienna,Austria,False
1905-04-09,Hungary,Austria,0,0,Friendly,Budapest,Hungary,False
1906-04-01,Hungary,Czechoslovakia,1,1,Friendly,Budapest,Hungary,False
1906-10-07,Czechoslovakia,Hungary,4,4,Friendly,Prague,Bohemia,False
1906-11-04,Hungary,Austria,3,1,Friendly,Budapest,Hungary,False
1907-04-07,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False
1907-05-05,Austria,Hungary,3,1,Friendly,Vienna,Austria,False
1907-10-06,Czechoslovakia,Hungary,5,3,Friendly,Prague,Bohemia,False
1907-11-03,Hungary,Austria,4,1,Friendly,Budapest,Hungary,False
1908-04-05,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False
1908-05-03,Austria,Hungary,4,0,Friendly,Vienna,Austria,False
1908-06-10,Hungary,England,0,7,Friendly,Budapest,Hungary,False
1908-11-01,Hungary,Austria,5,3,Friendly,Budapest,Hungary,False
1909-04-04,Hungary,Germany,3,3,Friendly,Budapest,Hungary,False
1909-05-02,Austria,Hungary,3,4,Friendly,Vienna,Austria,False
1909-05-29,Hungary,England,2,4,Friendly,Budapest,Hungary,False
1909-05-30,Hungary,Austria,1,1,Friendly,Budapest,Hungary,False
1909-05-31,Hungary,England,2,8,Friendly,Budapest,Hungary,False
1909-11-07,Hungary,Austria,2,2,Friendly,Budapest,Hungary,False
1910-05-01,Austria,Hungary,2,1,Friendly,Vienna,Austria,False
1910-05-26,Hungary,Italy,6,1,Friendly,Budapest,Hungary,False
1910-11-06,Hungary,Austria,3,0,Friendly,Budapest,Hungary,False
1911-01-01,France,Hungary,0,3,Friendly,Maisons-Alfort,France,False
1911-01-06,Italy,Hungary,0,1,Friendly,Milan,Italy,False
1911-01-08,Switzerland,Hungary,2,0,Friendly,Zürich,Switzerland,False
1911-05-07,Austria,Hungary,3,1,Friendly,Vienna,Austria,False
1911-10-29,Hungary,Switzerland,9,0,Friendly,Budapest,Hungary,False
1911-11-05,Hungary,Austria,2,0,Friendly,Budapest,Hungary,False
1911-12-17,Germany,Hungary,1,4,Friendly,Munich,Germany,False
1912-04-14,Hungary,Germany,4,4,Friendly,Budapest,Hungary,False
1912-05-05,Austria,Hungary,1,1,Friendly,Vienna,Austria,False
1912-06-20,Sweden,Hungary,2,2,Friendly,Gothenburg,Sweden,False
1912-06-23,Norway,Hungary,0,6,Friendly,Kristiania,Norway,False
1912-07-03,Hungary,Germany,3,1,Olympic Games,Stockholm,Sweden,True
1912-07-05,Hungary,Austria,3,0,Olympic Games,Stockholm,Sweden,True
1912-07-12,Russia,Hungary,0,9,Friendly,Moscow,Russia,False
1912-07-14,Russia,Hungary,0,12,Friendly,Moscow,Russia,False
1912-11-03,Hungary,Austria,4,0,Friendly,Budapest,Hungary,False
1913-04-27,Austria,Hungary,1,4,Friendly,Vienna,Austria,False
1913-05-18,Hungary,Sweden,2,0,Friendly,Budapest,Hungary,False
1913-10-26,Hungary,Austria,4,3,Friendly,Budapest,Hungary,False
1914-05-03,Austria,Hungary,2,0,Friendly,Vienna,Austria,False
1914-05-31,Hungary,France,5,1,Friendly,Budapest,Hungary,False
1914-06-21,Sweden,Hungary,1,1,Friendly,Solna,Sweden,False
1914-10-04,Hungary,Austria,2,2,Friendly,Budapest,Hungary,False
1914-11-08,Austria,Hungary,1,2,Friendly,Vienna,Austria,False
1915-05-02,Hungary,Austria,2,5,Friendly,Budapest,Hungary,False
1915-05-30,Austria,Hungary,1,2,Friendly,Vienna,Austria,False
1915-10-03,Austria,Hungary,4,2,Friendly,Vienna,Austria,False
1915-11-07,Hungary,Austria,6,2,Friendly,Budapest,Hungary,False
1916-05-07,Austria,Hungary,3,1,Friendly,Vienna,Austria,False
1916-06-04,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False
1916-10-01,Hungary,Austria,2,3,Friendly,Budapest,Hungary,False
1916-11-05,Austria,Hungary,3,3,Friendly,Vienna,Austria,False
1917-05-06,Austria,Hungary,1,1,Friendly,Vienna,Austria,False
1917-06-03,Hungary,Austria,6,2,Friendly,Budapest,Hungary,False
1917-07-15,Austria,Hungary,1,4,Friendly,Vienna,Austria,False
1917-10-07,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False
1917-11-04,Austria,Hungary,1,2,Friendly,Vienna,Austria,False
1918-04-14,Hungary,Austria,2,0,Friendly,Budapest,Hungary,False
1918-05-12,Hungary,Switzerland,2,1,Friendly,Budapest,Hungary,False
1918-06-02,Austria,Hungary,0,2,Friendly,Vienna,Austria,False
1918-10-06,Austria,Hungary,0,3,Friendly,Vienna,Austria,False
1919-04-06,Hungary,Austria,2,1,Friendly,Budapest,Hungary,False
1919-10-05,Austria,Hungary,2,0,Friendly,Vienna,Austria,False
1919-11-09,Hungary,Austria,3,2,Friendly,Budapest,Hungary,False
1920-05-02,Austria,Hungary,2,2,Friendly,Vienna,Austria,False
1920-10-24,Germany,Hungary,1,0,Friendly,Berlin,Germany,False
1920-11-07,Hungary,Austria,1,2,Friendly,Budapest,Hungary,False
1921-04-24,Austria,Hungary,4,1,Friendly,Vienna,Austria,False
1921-06-05,Hungary,Germany,3,0,Friendly,Budapest,Hungary,False
1921-11-06,Hungary,Sweden,4,2,Friendly,Budapest,Hungary,False
1921-12-18,Hungary,Poland,1,0,Friendly,Budapest,Hungary,False
1922-04-30,Hungary,Austria,1,1,Friendly,Budapest,Hungary,False
1922-05-14,Poland,Hungary,0,3,Friendly,Kraków,Poland,False
1922-06-15,Hungary,Switzerland,1,1,Friendly,Budapest,Hungary,False
1922-07-02,Germany,Hungary,0,0,Friendly,Bochum,Germany,False
1922-07-09,Sweden,Hungary,1,1,Friendly,Stockholm,Sweden,False
1922-07-13,Finland,Hungary,1,5,Friendly,Helsinki,Finland,False
