Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1946-07-17,Iceland,Denmark,0,3,Friendly,Reykjavík,Iceland,False
1947-07-24,Iceland,Norway,2,4,Friendly,Reykjavík,Iceland,False
1948-07-02,Iceland,Finland,2,0,Friendly,Reykjavík,Iceland,False
1949-08-07,Denmark,Iceland,5,1,Friendly,Aarhus,Denmark,False
1951-06-29,Iceland,Sweden,4,3,Friendly,Reykjavík,Iceland,False
1951-07-26,Norway,Iceland,3,1,Friendly,Trondheim,Norway,False
1953-08-09,Denmark,Iceland,4,0,Friendly,Copenhagen,Denmark,False
1953-08-13,Norway,Iceland,3,1,Friendly,Bergen,Norway,False
1954-07-04,Iceland,Norway,1,0,Friendly,Reykjavík,Iceland,False
1954-08-24,Sweden,Iceland,3,2,Friendly,Kalmar,Sweden,False
1955-07-03,Iceland,Denmark,0,4,Friendly,Reykjavík,Iceland,False
1955-08-25,Iceland,United States,3,2,Friendly,Reykjavík,Iceland,False
1956-06-29,Finland,Iceland,2,1,Friendly,Helsinki,Finland,False
1957-06-02,France,Iceland,8,0,FIFA World Cup qualification,Nantes,France,False
1957-06-05,Belgium,Iceland,8,3,FIFA World Cup qualification,Brussels,Belgium,False
1957-07-08,Iceland,Norway,0,3,Friendly,Reykjavík,Iceland,False
1957-07-10,Iceland,Denmark,2,6,Friendly,Reykjavík,Iceland,False
1957-09-01,Iceland,France,1,5,FIFA World Cup qualification,Reykjavík,Iceland,False
1957-09-04,Iceland,Belgium,2,5,FIFA World Cup qualification,Reykjavík,Iceland,False
1960-06-09,Norway,Iceland,4,0,Friendly,Oslo,Norway,False
1960-08-03,Iceland,Germany,0,5,Friendly,Reykjavík,Iceland,False
1962-07-09,Iceland,Norway,1,3,Friendly,Reykjavík,Iceland,False
1962-08-12,Republic of Ireland,Iceland,4,2,UEFA Euro qualification,Dublin,Republic of Ireland,False
1962-09-02,Iceland,Republic of Ireland,1,1,UEFA Euro qualification,Reykjavík,Iceland,False
1964-08-10,Iceland,Bermuda,4,3,Friendly,Reykjavík,Iceland,False
1964-08-23,Iceland,Finland,0,2,Friendly,Reykjavík,Iceland,False
1965-07-05,Iceland,Denmark,1,3,Friendly,Reykjavík,Iceland,False
1967-08-23,Denmark,Iceland,14,2,Friendly,Copenhagen,Denmark,False
1968-07-18,Iceland,Norway,0,4,Friendly,Reykjavík,Iceland,False
1969-06-23,Iceland,Bermuda,2,1,Friendly,Reykjavík,Iceland,False
1969-07-21,Norway,Iceland,2,1,Friendly,Trondheim,Norway,False
1969-07-24,Finland,Iceland,3,1,Friendly,Helsinki,Finland,False
1969-11-11,Bermuda,Iceland,3,2,Friendly,Hamilton,Bermuda,False
1970-07-07,Iceland,Denmark,0,0,Friendly,Reykjavík,Iceland,False
1970-07-20,Iceland,Norway,2,0,Friendly,Reykjavík,Iceland,False
1971-05-26,Norway,Iceland,3,1,Friendly,Bergen,Norway,False
1971-08-13,Iceland,Japan,0,2,Friendly,Reykjavík,Iceland,False
1972-05-18,Belgium,Iceland,4,0,FIFA World Cup qualification,Liège,Belgium,False
1972-05-22,Belgium,Iceland,4,0,FIFA World Cup qualification,Bruges,Belgium,False
1972-07-03,Iceland,Denmark,2,5,Friendly,Reykjavík,Iceland,False
1972-07-12,Iceland,Faroe Islands,3,0,Friendly,Reykjavík,Iceland,False
1972-08-03,Norway,Iceland,4,1,FIFA World Cup qualification,Stavanger,Norway,False
1973-06-08,Faroe Islands,Iceland,0,4,Friendly,Klaksvík,Faroe Islands,False
1973-07-11,Sweden,Iceland,1,0,Friendly,Uddevalla,Sweden,False
1973-07-17,Iceland,German DR,1,2,Friendly,Reykjavík,Iceland,False
1973-07-19,Iceland,German DR,0,2,Friendly,Reykjavík,Iceland,False
1973-08-02,Iceland,Norway,0,4,FIFA World Cup qualification,Reykjavík,Iceland,False
1973-08-22,Netherlands,Iceland,5,0,FIFA World Cup qualification,Amsterdam,Netherlands,False
1973-08-29,Netherlands,Iceland,8,1,FIFA World Cup qualification,Deventer,Netherlands,False
1974-07-03,Faroe Islands,Iceland,2,3,Friendly,Tórshavn,Faroe Islands,False
1974-08-19,Iceland,Finland,2,2,Friendly,Reykjavík,Iceland,False
1974-09-08,Iceland,Belgium,0,2,UEFA Euro qualification,Reykjavík,Iceland,False
1974-10-09,Denmark,Iceland,2,1,Friendly,Aalborg,Denmark,False
1974-10-12,German DR,Iceland,1,1,UEFA Euro qualification,Magdeburg,German DR,False
1975-05-25,Iceland,France,0,0,UEFA Euro qualification,Reykjavík,Iceland,False
1975-06-05,Iceland,German DR,2,1,UEFA Euro qualification,Reykjavík,Iceland,False
1975-06-23,Iceland,Faroe Islands,6,0,Friendly,Reykjavík,Iceland,False
1975-09-03,France,Iceland,3,0,UEFA Euro qualification,Nantes,France,False
1975-09-06,Belgium,Iceland,1,0,UEFA Euro qualification,Liège,Belgium,False
1976-05-19,Norway,Iceland,0,1,Friendly,Oslo,Norway,False
1976-06-16,Faroe Islands,Iceland,1,6,Friendly,Tórshavn,Faroe Islands,False
1976-07-14,Finland,Iceland,1,0,Friendly,Helsinki,Finland,False
1976-08-21,Iceland,Luxembourg,3,1,Friendly,Reykjavík,Iceland,False
1976-09-05,Iceland,Belgium,0,1,FIFA World Cup qualification,Reykjavík,Iceland,False
1976-09-08,Iceland,Netherlands,0,1,FIFA World Cup qualification,Reykjavík,Iceland,False
1977-06-11,Iceland,Northern Ireland,1,0,FIFA World Cup qualification,Reykjavík,Iceland,False
1977-06-30,Iceland,Norway,2,1,Friendly,Reykjavík,Iceland,False
1977-07-20,Iceland,Sweden,0,1,Friendly,Reykjavík,Iceland,False
1977-08-31,Netherlands,Iceland,4,1,FIFA World Cup qualification,Nijmegen,Netherlands,False
1977-09-03,Belgium,Iceland,4,0,FIFA World Cup qualification,Brussels,Belgium,False
1977-09-21,Northern Ireland,Iceland,2,0,FIFA World Cup qualification,Belfast,Northern Ireland,False
1978-06-28,Iceland,Denmark,0,0,Friendly,Reykjavík,Iceland,False
1978-09-03,Iceland,United States,0,0,Friendly,Reykjavík,Iceland,False
1978-09-06,Iceland,Poland,0,2,UEFA Euro qualification,Reykjavík,Iceland,False
1978-09-20,Netherlands,Iceland,3,0,UEFA Euro qualification,Nijmegen,Netherlands,False
1978-10-04,German DR,Iceland,3,1,UEFA Euro qualification,Halle,German DR,False
1979-05-22,Switzerland,Iceland,2,0,UEFA Euro qualification,Bern,Switzerland,False
1979-05-26,Iceland,Germany,1,3,Friendly,Reykjavík,Iceland,False
1979-06-09,Iceland,Switzerland,1,2,UEFA Euro qualification,Reykjavík,Iceland,False
1979-09-05,Iceland,Netherlands,0,4,UEFA Euro qualification,Reykjavík,Iceland,False
1979-09-12,Iceland,German DR,0,3,UEFA Euro qualification,Reykjavík,Iceland,False
1979-10-10,Poland,Iceland,2,0,UEFA Euro qualification,Kraków,Poland,False
1980-06-02,Iceland,Wales,0,4,FIFA World Cup qualification,Reykjavík,Iceland,False
1980-06-25,Iceland,Finland,1,1,Friendly,Reykjavík,Iceland,False
1980-06-30,Iceland,Faroe Islands,2,1,Friendly,Akureyri,Iceland,False
1980-07-03,Iceland,Greenland,4,1,Friendly,Húsavík,Iceland,False
1980-07-14,Norway,Iceland,3,1,Friendly,Oslo,Norway,False
1980-07-17,Sweden,Iceland,1,1,Friendly,Halmstad,Sweden,False
1980-09-03,Iceland,Russia,1,2,FIFA World Cup qualification,Reykjavík,Iceland,False
1980-09-24,Turkey,Iceland,1,3,FIFA World Cup qualification,İzmir,Turkey,False
1980-10-15,Russia,Iceland,5,0,FIFA World Cup qualification,Moscow,Soviet Union,True
1981-05-27,Czechoslovakia,Iceland,6,1,FIFA World Cup qualification,Bratislava,Czechoslovakia,False
1981-08-22,Iceland,Nigeria,3,0,Friendly,Reykjavík,Iceland,False
1981-08-26,Denmark,Iceland,3,0,Friendly,Copenhagen,Denmark,False
1981-09-09,Iceland,Turkey,2,0,FIFA World Cup qualification,Reykjavík,Iceland,False
1981-09-23,Iceland,Czechoslovakia,1,1,FIFA World Cup qualification,Reykjavík,Iceland,False
1981-10-14,Wales,Iceland,2,2,FIFA World Cup qualification,Swansea,Wales,False
1982-03-14,Kuwait,Iceland,0,0,Friendly,Kuwait City,Kuwait,False
1982-06-02,Iceland,England,1,1,Friendly,Reykjavík,Iceland,False
1982-06-05,Malta,Iceland,2,1,UEFA Euro qualification,Messina,Italy,True
1982-07-11,Finland,Iceland,3,2,Friendly,Helsinki,Finland,False
1982-08-01,Faroe Islands,Iceland,1,4,Friendly,Tórshavn,Faroe Islands,False
1982-08-02,Faroe Islands,Iceland,0,4,Friendly,Gøta,Faroe Islands,False
1982-09-01,Iceland,Netherlands,1,1,UEFA Euro qualification,Reykjavík,Iceland,False
1982-09-08,Iceland,German DR,0,1,Friendly,Reykjavík,Iceland,False
1982-10-13,Republic of Ireland,Iceland,2,0,UEFA Euro qualification,Dublin,Republic of Ireland,False
1982-10-27,Spain,Iceland,1,0,UEFA Euro qualification,Málaga,Spain,False
1983-05-29,Iceland,Spain,0,1,UEFA Euro qualification,Reykjavík,Iceland,False
1983-06-05,Iceland,Malta,1,0,UEFA Euro qualification,Reykjavík,Iceland,False
1983-08-08,Iceland,Faroe Islands,6,0,Friendly,Njarðvík,Iceland,False
1983-08-17,Iceland,Sweden,0,4,Friendly,Reykjavík,Iceland,False
1983-09-07,Netherlands,Iceland,3,0,UEFA Euro qualification,Groningen,Netherlands,False
1983-09-21,Iceland,Republic of Ireland,0,3,UEFA Euro qualification,Reykjavík,Iceland,False
1984-06-20,Iceland,Norway,0,1,Friendly,Reykjavík,Iceland,False
1984-08-01,Faroe Islands,Iceland,0,0,Friendly,Tórshavn,Faroe Islands,False
1984-08-03,Greenland,Iceland,0,1,Friendly,Fuglafjørður,Faroe Islands,True
1984-09-12,Iceland,Wales,1,0,FIFA World Cup qualification,Reykjavík,Iceland,False
1984-09-25,Saudi Arabia,Iceland,1,2,Friendly,Khobar,Saudi Arabia,False
1984-10-17,Scotland,Iceland,3,0,FIFA World Cup qualification,Glasgow,Scotland,False
1984-11-14,Wales,Iceland,2,1,FIFA World Cup qualification,Cardiff,Wales,False
1985-03-31,Kuwait,Iceland,1,1,Friendly,Kuwait City,Kuwait,False
1985-04-24,Luxembourg,Iceland,0,0,Friendly,Ettelbruck,Luxembourg,False
1985-05-28,Iceland,Scotland,0,1,FIFA World Cup qualification,Reykjavík,Iceland,False
1985-06-12,Iceland,Spain,1,2,FIFA World Cup qualification,Reykjavík,Iceland,False
1985-07-10,Iceland,Faroe Islands,9,0,Friendly,Keflavík,Iceland,False
1985-07-12,Iceland,Faroe Islands,1,0,Friendly,Akranes,Iceland,False
1985-09-25,Spain,Iceland,2,1,FIFA World Cup qualification,Seville,Spain,False
1986-03-11,Bahrain,Iceland,2,1,Friendly,Manama,Bahrain,False
1986-03-15,Bahrain,Iceland,0,2,Friendly,Manama,Bahrain,False
1986-03-19,Kuwait,Iceland,1,0,Friendly,Kuwait City,Kuwait,False
1986-05-25,Iceland,Republic of Ireland,1,2,Friendly,Reykjavík,Iceland,False
1986-05-29,Iceland,Czechoslovakia,1,2,Friendly,Reykjavík,Iceland,False
1986-09-10,Iceland,France,0,0,UEFA Euro qualification,Reykjavík,Iceland,False
1986-09-24,Iceland,Russia,1,1,UEFA Euro qualification,Reykjavík,Iceland,False
1986-10-29,German DR,Iceland,2,0,UEFA Euro qualification,Karl-Marx-Stadt,German DR,False
