Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1938-09-03,Australia,India,5,3,Friendly,Sydney,Australia,False
1938-09-10,Australia,India,4,4,Friendly,Brisbane,Australia,False
1938-09-17,Australia,India,1,4,Friendly,Newcastle,Australia,False
1938-09-24,Australia,India,5,4,Friendly,Sydney,Australia,False
1938-10-01,Australia,India,3,1,Friendly,Melbourne,Australia,False
1941-08-10,Afghanistan,India,1,3,Friendly,Kabul,Afghanistan,False
1941-08-23,India,Iran,0,1,Friendly,Kabul,Afghanistan,True
1951-03-05,India,Indonesia,3,0,Asian Games,New Delhi,India,False
1951-03-07,India,Afghanistan,3,0,Asian Games,New Delhi,India,False
1951-03-10,India,Iran,1,0,Asian Games,New Delhi,India,False
1952-03-14,Myanmar,India,0,4,Friendly,Colombo,Ceylon,True
1952-03-23,India,Pakistan,0,0,Friendly,Colombo,Ceylon,True
1952-03-24,Sri Lanka,India,1,2,Friendly,Colombo,Ceylon,False
1953-10-27,Sri Lanka,India,0,2,Friendly,Yangon,Burma,True
1953-10-31,Myanmar,India,2,4,Friendly,Yangon,Burma,False
1954-05-03,India,Japan,3,2,Asian Games,Manila,Philippines,True
1954-05-05,India,Indonesia,0,4,Asian Games,Manila,Philippines,True
1954-12-19,India,Myanmar,2,1,Friendly,Calcutta,India,False
1954-12-21,India,Sri Lanka,1,1,Friendly,Calcutta,India,False
1955-09-16,Russia,India,11,1,Friendly,Moscow,Soviet Union,False
1955-12-18,Sri Lanka,India,3,4,Friendly,Dhaka,Pakistan,True
1955-12-22,Myanmar,India,1,2,Friendly,Dhaka,Pakistan,True
1956-06-17,India,China PR,0,1,Friendly,New Delhi,India,False
1956-12-12,Australia,India,1,7,Friendly,Sydney,Australia,False
1956-12-29,India,Yugoslavia,0,3,Friendly,Calcutta,India,False
1957-02-09,Singapore,India,2,3,Friendly,Kallang,Singapore,False
1957-02-16,Malaysia,India,2,3,Friendly,Kuala Lumpur,Malaya,False
1958-05-26,Myanmar,India,2,3,Asian Games,Tokyo,Japan,True
1958-05-28,India,Indonesia,1,2,Asian Games,Tokyo,Japan,True
1958-05-30,Hong Kong,India,2,5,Asian Games,Tokyo,Japan,True
1958-05-31,India,South Korea,1,3,Asian Games,Tokyo,Japan,True
1958-06-01,Indonesia,India,4,1,Asian Games,Tokyo,Japan,True
1959-08-31,India,Singapore,2,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1959-09-04,Malaysia,India,1,1,Merdeka Tournament,Kuala Lumpur,Malaya,False
1959-09-06,India,Vietnam Republic,2,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1959-09-08,India,South Korea,1,1,Friendly,George Town,Malaya,True
1959-09-10,India,Vietnam Republic,1,5,Friendly,Kallang,Singapore,True
1959-09-11,Singapore,India,2,3,Friendly,Kallang,Singapore,False
1959-12-06,India,Pakistan,1,0,AFC Asian Cup qualification,Ernakulam,India,False
1959-12-08,India,Israel,1,3,AFC Asian Cup qualification,Ernakulam,India,False
1960-05-05,Singapore,India,3,0,Friendly,Kallang,Singapore,False
1960-05-06,Malaysia,India,0,0,Friendly,Kuala Lumpur,Malaya,False
1960-08-21,India,Tunisia,2,2,Friendly,Rome,Italy,True
1961-08-03,India,Vietnam Republic,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-06,India,Japan,1,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1961-08-09,Malaysia,India,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-08-17,India,Vietnam Republic,1,3,Friendly,Kallang,Singapore,True
1962-08-26,India,South Korea,0,2,Asian Games,Jakarta,Indonesia,True
1962-08-28,Thailand,India,1,4,Asian Games,Jakarta,Indonesia,True
1962-08-29,India,Japan,2,0,Asian Games,Jakarta,Indonesia,True
1962-09-01,Vietnam Republic,India,2,3,Asian Games,Jakarta,Indonesia,True
1962-09-04,India,South Korea,2,1,Asian Games,Jakarta,Indonesia,True
1964-05-27,India,South Korea,2,0,AFC Asian Cup,Haifa,Israel,True
1964-05-29,Israel,India,2,0,AFC Asian Cup,Jaffa,Israel,False
1964-06-02,Hong Kong,India,1,3,AFC Asian Cup,Jaffa,Israel,True
1964-08-24,Malaysia,India,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-08-27,Cambodia,India,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-08-29,India,Thailand,2,1,Merdeka Tournament,Ipoh,Malaysia,True
1964-09-06,Myanmar,India,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-08,India,Taiwan,6,4,Friendly,Kuala Lumpur,Malaysia,True
1965-08-15,India,Japan,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-19,Hong Kong,India,2,2,Merdeka Tournament,Ipoh,Malaysia,True
1965-08-21,Malaysia,India,0,3,Merdeka Tournament,Ipoh,Malaysia,False
1965-08-23,India,South Korea,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-25,India,Vietnam Republic,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-27,Myanmar,India,1,1,Merdeka Tournament,Ipoh,Malaysia,True
1965-08-31,Singapore,India,1,2,Friendly,Kallang,Singapore,False
1966-08-14,Hong Kong,India,0,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-17,India,Japan,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-22,India,Singapore,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-23,India,Taiwan,1,0,Merdeka Tournament,Ipoh,Malaysia,True
1966-08-26,India,Vietnam Republic,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-08-28,India,South Korea,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1966-12-10,Japan,India,2,1,Asian Games,Bangkok,Thailand,True
1966-12-12,Malaysia,India,1,2,Asian Games,Bangkok,Thailand,True
1966-12-13,India,Iran,1,4,Asian Games,Bangkok,Thailand,True
1967-08-12,India,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-13,India,Western Australia,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-16,Hong Kong,India,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-19,Malaysia,India,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1967-08-20,India,Vietnam Republic,0,1,Merdeka Tournament,Ipoh,Malaysia,True
1967-08-22,India,Taiwan,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-08-26,India,Indonesia,0,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1967-11-12,Myanmar,India,2,0,AFC Asian Cup qualification,Yangon,Burma,False
1967-11-15,India,Pakistan,1,1,AFC Asian Cup qualification,Yangon,Burma,True
1968-08-11,Malaysia,India,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1968-08-12,India,Vietnam Republic,3,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-15,Hong Kong,India,1,1,Merdeka Tournament,Ipoh,Malaysia,True
1968-08-17,Myanmar,India,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-19,India,Thailand,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-24,India,South Korea,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1968-08-29,India,Indonesia,1,3,Friendly,Kallang,Singapore,True
1968-08-30,India,Vietnam Republic,0,2,Friendly,Kallang,Singapore,True
1969-10-31,India,Western Australia,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-02,Myanmar,India,6,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-04,India,Singapore,3,0,Merdeka Tournament,Ipoh,Malaysia,True
1969-11-07,India,Thailand,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-08,India,Western Australia,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1969-11-11,Singapore,India,7,3,Friendly,Kallang,Singapore,False
1970-07-30,India,Taiwan,0,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-01,Malaysia,India,1,3,Merdeka Tournament,Ipoh,Malaysia,False
1970-08-03,Myanmar,India,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-05,India,Western Australia,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-09,India,Vietnam Republic,2,1,Merdeka Tournament,Ipoh,Malaysia,True
1970-08-13,India,South Korea,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-15,Hong Kong,India,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1970-08-19,Singapore,India,3,8,Friendly,Kallang,Singapore,False
1970-12-10,Thailand,India,2,2,Asian Games,Bangkok,Thailand,False
1970-12-11,India,Vietnam Republic,2,0,Asian Games,Bangkok,Thailand,True
1970-12-15,India,Indonesia,3,0,Asian Games,Bangkok,Thailand,True
1970-12-17,Japan,India,1,0,Asian Games,Bangkok,Thailand,True
1970-12-18,Myanmar,India,2,0,Asian Games,Bangkok,Thailand,True
1970-12-19,Japan,India,0,1,Asian Games,Bangkok,Thailand,True
1971-06-06,India,Thailand,0,1,Indonesia Tournament,Jakarta,Indonesia,True
1971-06-08,India,South Korea,2,3,Indonesia Tournament,Jakarta,Indonesia,True
1971-08-05,India,Philippines,5,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-07,India,Indonesia,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-10,India,Singapore,2,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-13,Hong Kong,India,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-15,Myanmar,India,9,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-23,India,Indonesia,2,1,Friendly,Kallang,Singapore,True
1971-08-26,India,Malaysia,6,0,Friendly,Kallang,Singapore,True
1971-08-28,India,Vietnam Republic,0,0,Friendly,Kallang,Singapore,True
1971-09-18,Russia,India,5,0,Friendly,Moscow,Soviet Union,False
1973-07-27,India,Vietnam Republic,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-07-29,India,Thailand,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-03,Malaysia,India,4,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1973-08-05,India,Cambodia,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-05,India,South Korea,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-09,India,Vietnam Republic,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1973-08-15,Singapore,India,4,5,Friendly,Kallang,Singapore,False
1974-07-24,India,Thailand,4,2,Merdeka Tournament,Ipoh,Malaysia,True
1974-07-25,Malaysia,India,4,1,Merdeka Tournament,Ipoh,Malaysia,False
1974-07-29,Hong Kong,India,2,2,Merdeka Tournament,Ipoh,Malaysia,True
1974-08-01,India,Indonesia,0,0,Merdeka Tournament,Ipoh,Malaysia,True
1974-09-02,India,Iraq,0,3,Asian Games,Tehran,Iran,True
1974-09-04,China PR,India,7,1,Asian Games,Tehran,Iran,True
1974-09-06,India,North Korea,1,4,Asian Games,Tehran,Iran,True
1976-07-21,India,Pakistan,1,1,Friendly,Kabul,Afghanistan,True
1976-07-24,Afghanistan,India,1,1,Friendly,Kabul,Afghanistan,False
1976-08-08,India,Japan,1,5,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1976-08-10,Malaysia,India,5,1,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1976-08-10,India,South Korea,0,8,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1976-08-14,India,Thailand,2,6,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1976-08-14,Indonesia,India,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1976-08-19,Myanmar,India,2,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1976-09-13,South Korea,India,4,0,Korea Cup,Seoul,South Korea,False
1976-09-15,India,Singapore,1,2,Korea Cup,Seoul,South Korea,True
1976-09-19,India,Malaysia,0,4,Korea Cup,Seoul,South Korea,True
1977-07-24,Afghanistan,India,0,3,Friendly,Kabul,Afghanistan,False
1977-09-01,India,Thailand,0,4,Korea Cup,Seoul,South Korea,True
1977-09-05,South Korea,India,3,0,Korea Cup,Busan,South Korea,False
1977-10-03,Zambia,India,3,1,Friendly,Lusaka,Zambia,False
1977-10-09,Zambia,India,3,1,Friendly,Ndola,Zambia,False
1977-10-31,Thailand,India,1,1,King's Cup,Bangkok,Thailand,False
1977-11-04,India,Singapore,2,1,King's Cup,Bangkok,Thailand,True
1977-11-10,India,Malaysia,0,3,King's Cup,Bangkok,Thailand,True
1978-12-10,India,Malaysia,0,1,Asian Games,Bangkok,Thailand,True
1978-12-14,Bangladesh,India,0,3,Asian Games,Bangkok,Thailand,True
1978-12-17,India,Kuwait,1,6,Asian Games,Bangkok,Thailand,True
1978-12-18,India,North Korea,1,3,Asian Games,Bangkok,Thailand,True
1978-12-19,India,Iraq,0,3,Asian Games,Bangkok,Thailand,True
1979-10-21,United Arab Emirates,India,0,0,Friendly,Abu Dhabi,United Arab Emirates,False
1981-09-01,India,New Zealand,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-03,India,Japan,2,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-05,India,United Arab Emirates,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-11,India,Indonesia,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1981-09-15,Malaysia,India,2,2,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1981-10-26,United Arab Emirates,India,2,0,Friendly,Abu Dhabi,United Arab Emirates,False
1981-10-28,United Arab Emirates,India,3,1,Friendly,Sharjah,United Arab Emirates,False
1982-02-16,India,China PR,1,1,Nehru Cup,Calcutta,India,False
1982-02-18,India,South Korea,2,2,Nehru Cup,Calcutta,India,False
1982-02-25,India,Uruguay,1,3,Nehru Cup,Calcutta,India,False
1982-04-07,India,Thailand,1,1,Friendly,Kathmandu,Nepal,True
1982-06-09,South Korea,India,1,0,Korea Cup,Busan,South Korea,False
1982-06-13,Bahrain,India,0,0,Korea Cup,Incheon,South Korea,True
1982-08-06,India,Thailand,0,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1982-08-09,Ghana,India,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1982-08-12,Singapore,India,3,0,Merdeka Tournament,George Town,Malaysia,True
1982-11-20,India,Bangladesh,2,0,Asian Games,New Delhi,India,False
1982-11-22,India,Malaysia,1,0,Asian Games,New Delhi,India,False
1982-11-24,India,China PR,2,2,Asian Games,New Delhi,India,False
1982-11-27,India,Saudi Arabia,0,1,Asian Games,New Delhi,India,False
1984-01-11,India,Poland,1,2,Nehru Cup,Calcutta,India,False
1984-01-14,India,Argentina,0,1,Nehru Cup,Calcutta,India,False
1984-01-25,India,China PR,0,3,Nehru Cup,Calcutta,India,False
1984-06-09,Trinidad and Tobago,India,1,2,Friendly,Port of Spain,Trinidad and Tobago,False
1984-06-11,Trinidad and Tobago,India,3,0,Friendly,San Fernando,Trinidad and Tobago,False
1984-06-15,Suriname,India,6,2,Friendly,Paramaribo,Suriname,False
1984-06-17,Suriname,India,4,1,Friendly,Paramaribo,Suriname,False
1984-06-18,Guyana,India,3,0,Friendly,Georgetown,Guyana,False
1984-06-21,China PR,India,2,0,Great Wall Cup,Beijing,China PR,False
1984-06-22,Trinidad and Tobago,India,3,0,Friendly,Arima,Trinidad and Tobago,False
1984-10-12,India,Yemen,4,0,AFC Asian Cup qualification,Calcutta,India,False
1984-10-14,India,Malaysia,2,1,AFC Asian Cup qualification,Calcutta,India,False
1984-10-17,India,Pakistan,2,0,AFC Asian Cup qualification,Calcutta,India,False
1984-10-19,India,South Korea,0,1,AFC Asian Cup qualification,Calcutta,India,False
1984-12-02,Singapore,India,2,0,AFC Asian Cup,Kallang,Singapore,False
1984-12-04,United Arab Emirates,India,2,0,AFC Asian Cup,Kallang,Singapore,True
1984-12-07,Iran,India,0,0,AFC Asian Cup,Kallang,Singapore,True
1984-12-09,India,China PR,0,3,AFC Asian Cup,Kallang,Singapore,True
1985-01-31,India,Morocco,0,1,Nehru Cup,Ernakulam,India,False
1985-03-21,Indonesia,India,2,1,FIFA World Cup qualification,Jakarta,Indonesia,False
1985-03-26,Thailand,India,0,0,FIFA World Cup qualification,Bangkok,Thailand,False
1985-03-30,Bangladesh,India,1,2,FIFA World Cup qualification,Dhaka,Bangladesh,False
1985-04-06,India,Indonesia,1,1,FIFA World Cup qualification,Calcutta,India,False
1985-04-09,India,Thailand,1,1,FIFA World Cup qualification,Calcutta,India,False
1985-04-12,India,Bangladesh,2,1,FIFA World Cup qualification,Calcutta,India,False
1985-12-21,India,Nepal,2,0,South Asian Games,Dhaka,Bangladesh,True
1985-12-23,India,Bhutan,3,0,South Asian Games,Dhaka,Bangladesh,True
1985-12-25,Bangladesh,India,1,1,South Asian Games,Dhaka,Bangladesh,False
1986-01-25,India,China PR,0,0,Nehru Cup,Trivandrum,India,False
1986-01-30,India,Peru,0,1,Nehru Cup,Trivandrum,India,False
1986-06-30,Myanmar,India,3,1,Friendly,Yangon,Burma,False
1986-07-24,Malaysia,India,3,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1986-07-30,India,Thailand,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1986-09-20,South Korea,India,3,0,Asian Games,Busan,South Korea,False
1986-09-22,China PR,India,2,1,Asian Games,Busan,South Korea,True
1986-09-26,Bahrain,India,3,0,Asian Games,Busan,South Korea,True
1987-01-14,India,China PR,1,1,Nehru Cup,Kozhikode,India,False
1987-11-21,India,Pakistan,0,0,South Asian Games,Calcutta,India,False
1987-11-23,India,Maldives,5,0,South Asian Games,Calcutta,India,False
1987-11-26,India,Nepal,1,0,South Asian Games,Calcutta,India,False
1988-02-06,Bangladesh,India,0,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-09,Thailand,India,1,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-11,Yemen,India,1,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1988-02-13,United Arab Emirates,India,3,0,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,False
1988-02-16,China PR,India,1,1,AFC Asian Cup qualification,Abu Dhabi,United Arab Emirates,True
1989-01-27,India,North Korea,1,2,Nehru Cup,Margao,India,False
1989-09-25,India,Sri Lanka,2,1,South Asian Games,Islamabad,Pakistan,True
1989-10-23,Bangladesh,India,1,1,South Asian Games,Islamabad,Pakistan,True
1989-10-26,India,Nepal,2,1,South Asian Games,Islamabad,Pakistan,True
1991-01-17,India,Hungary,1,2,Nehru Cup,Trivandrum,India,False
1991-01-20,India,Zambia,1,0,Nehru Cup,Trivandrum,India,False
1991-01-24,India,Russia,1,3,Nehru Cup,Trivandrum,India,False
1991-12-22,Pakistan,India,0,0,South Asian Games,Colombo,Sri Lanka,True
1991-12-26,Bangladesh,India,2,1,South Asian Games,Colombo,Sri Lanka,True
1992-05-15,India,Iran,0,3,AFC Asian Cup qualification,Calcutta,India,False
1993-01-20,India,Finland,0,0,Nehru Cup,Madras,India,False
1993-01-24,India,Cameroon,1,1,Nehru Cup,Madras,India,False
1993-01-26,India,Finland,0,2,Nehru Cup,Madras,India,False
1993-01-30,India,Cameroon,2,2,Nehru Cup,Madras,India,False
1993-05-07,Lebanon,India,2,2,FIFA World Cup qualification,Beirut,Lebanon,False
1993-05-11,India,Hong Kong,1,2,FIFA World Cup qualification,Beirut,Lebanon,True
1993-05-13,India,South Korea,0,3,FIFA World Cup qualification,Beirut,Lebanon,True
1993-05-15,Bahrain,India,2,1,FIFA World Cup qualification,Beirut,Lebanon,True
1993-06-07,India,Bahrain,0,3,FIFA World Cup qualification,Seoul,South Korea,True
1993-06-09,South Korea,India,7,0,FIFA World Cup qualification,Seoul,South Korea,False
1993-06-11,India,Lebanon,1,2,FIFA World Cup qualification,Seoul,South Korea,True
1993-06-13,Hong Kong,India,1,3,FIFA World Cup qualification,Seoul,South Korea,True
1993-12-22,India,Sri Lanka,2,0,South Asian Games,Dhaka,Bangladesh,True
1993-12-24,India,Pakistan,2,2,South Asian Games,Dhaka,Bangladesh,True
1993-12-26,Nepal,India,2,2,South Asian Games,Dhaka,Bangladesh,True
