Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1934-05-13,Japan,Indonesia,1,7,Friendly,Manila,Philippines,True
1934-05-13,Japan,Indonesia,1,7,Far Eastern Championship Games,Manila,Philippines,True
1934-05-14,China PR,Indonesia,2,0,Friendly,Manila,Philippines,True
1934-05-14,China PR,Indonesia,2,0,Far Eastern Championship Games,Manila,Philippines,True
1934-05-19,Philippines,Indonesia,3,2,Friendly,Manila,Philippines,False
1934-05-19,Philippines,Indonesia,3,2,Far Eastern Championship Games,Manila,Philippines,False
1938-06-05,Hungary,Indonesia,6,0,FIFA World Cup,Reims,France,True
1938-06-26,Netherlands,Indonesia,9,2,Friendly,Amsterdam,Netherlands,False
1951-03-05,India,Indonesia,3,0,Asian Games,New Delhi,India,False
1953-04-30,Indonesia,South Korea,1,3,Friendly,So Kon Po,Hong Kong,True
1954-05-01,Japan,Indonesia,3,5,Asian Games,Manila,Philippines,True
1954-05-05,India,Indonesia,0,4,Asian Games,Manila,Philippines,True
1954-05-07,Taiwan,Indonesia,4,2,Asian Games,Manila,Philippines,True
1954-05-08,Indonesia,Myanmar,4,5,Asian Games,Manila,Philippines,True
1956-09-09,Yugoslavia,Indonesia,4,2,Friendly,Belgrade,Yugoslavia,False
1956-09-12,Croatia,Indonesia,5,2,Friendly,Zagreb,Yugoslavia,False
1956-09-20,German DR,Indonesia,3,1,Friendly,Karl-Marx-Stadt,German DR,False
1956-11-16,Indonesia,United States,7,5,Friendly,Jakarta,Indonesia,False
1956-12-23,Indonesia,Yugoslavia,1,5,Friendly,Jakarta,Indonesia,False
1957-05-12,Indonesia,China PR,2,0,FIFA World Cup qualification,Jakarta,Indonesia,False
1957-06-02,China PR,Indonesia,4,3,FIFA World Cup qualification,Beijing,China PR,False
1957-06-23,China PR,Indonesia,0,0,FIFA World Cup qualification,Yangon,Burma,True
1957-08-31,Indonesia,Thailand,4,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-05,Indonesia,Vietnam Republic,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-07,Malaysia,Indonesia,4,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1958-05-09,Philippines,Indonesia,1,2,Friendly,Manila,Philippines,False
1958-05-13,Philippines,Indonesia,0,3,Friendly,Manila,Philippines,False
1958-05-25,Indonesia,Myanmar,4,2,Asian Games,Tokyo,Japan,True
1958-05-28,India,Indonesia,1,2,Asian Games,Tokyo,Japan,True
1958-05-30,Indonesia,Philippines,5,2,Asian Games,Tokyo,Japan,True
1958-05-31,Taiwan,Indonesia,1,0,Asian Games,Tokyo,Japan,True
1958-06-01,Indonesia,India,4,1,Asian Games,Tokyo,Japan,True
1958-07-02,Singapore,Indonesia,0,5,Friendly,Kallang,Singapore,False
