Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1941-08-23,India,Iran,0,1,Friendly,Kabul,Afghanistan,True
1947-10-26,Iran,Turkey,1,3,Friendly,Tehran,Iran,False
1948-10-28,Iran,Turkey,1,1,Friendly,Tehran,Iran,False
1950-05-28,Turkey,Iran,6,1,Friendly,Istanbul,Turkey,False
1950-10-26,Iran,Afghanistan,4,0,Friendly,Tehran,Iran,False
1951-03-05,Iran,Myanmar,2,0,Asian Games,New Delhi,India,True
1951-03-07,Iran,Japan,0,0,Asian Games,New Delhi,India,True
1951-03-08,Iran,Japan,3,2,Asian Games,New Delhi,India,True
1951-03-10,India,Iran,1,0,Asian Games,New Delhi,India,False
1958-05-26,Israel,Iran,4,0,Asian Games,Tokyo,Japan,True
1958-05-28,Iran,South Korea,0,5,Asian Games,Tokyo,Japan,True
1959-12-05,Iran,Israel,3,0,AFC Asian Cup qualification,Ernakulam,India,True
1959-12-12,Israel,Iran,1,1,AFC Asian Cup qualification,Ernakulam,India,True
1965-05-22,Iran,Turkey,1,2,Friendly,Tehran,Iran,False
1965-05-24,Iran,Turkey,2,1,Friendly,Tehran,Iran,False
1965-07-23,Iran,Pakistan,4,1,Friendly,Tehran,Iran,False
1965-07-25,Iran,Turkey,0,0,Friendly,Tehran,Iran,False
1966-03-16,Iran,Turkey,0,0,Friendly,Tehran,Iran,False
1966-12-10,Iran,Malaysia,2,0,Asian Games,Bangkok,Thailand,True
1966-12-11,Iran,Japan,1,3,Asian Games,Bangkok,Thailand,True
1966-12-13,India,Iran,1,4,Asian Games,Bangkok,Thailand,True
1966-12-16,Iran,Indonesia,1,0,Asian Games,Bangkok,Thailand,True
1966-12-17,Myanmar,Iran,1,0,Asian Games,Bangkok,Thailand,True
1966-12-18,Japan,Iran,0,1,Asian Games,Bangkok,Thailand,True
1966-12-20,Iran,Myanmar,0,1,Asian Games,Bangkok,Thailand,True
1967-11-26,Iran,Turkey,0,1,Friendly,Dhaka,Pakistan,True
1968-05-10,Iran,Hong Kong,2,0,AFC Asian Cup,Tehran,Iran,False
1968-05-13,Iran,Taiwan,4,0,AFC Asian Cup,Tehran,Iran,False
1968-05-16,Iran,Myanmar,3,1,AFC Asian Cup,Tehran,Iran,False
1968-05-19,Iran,Israel,2,1,AFC Asian Cup,Tehran,Iran,False
1969-03-07,Iran,Iraq,2,1,Friendly,Tehran,Iran,False
1969-03-12,Iran,Pakistan,9,1,Friendly,Tehran,Iran,False
1969-09-13,Iran,Pakistan,4,2,Friendly,Ankara,Turkey,True
1969-09-17,Turkey,Iran,4,0,Friendly,Ankara,Turkey,False
1970-09-06,Iran,Pakistan,7,0,Friendly,Tehran,Iran,False
1970-09-11,Iran,Turkey,1,1,Friendly,Tehran,Iran,False
1970-11-04,Iran,Australia,1,2,Friendly,Tehran,Iran,False
1970-12-10,Indonesia,Iran,2,2,Asian Games,Bangkok,Thailand,True
1970-12-11,Iran,South Korea,0,1,Asian Games,Bangkok,Thailand,True
1971-09-10,South Korea,Iran,2,0,Friendly,Seoul,South Korea,False
1971-09-12,South Korea,Iran,0,2,Friendly,Seoul,South Korea,False
1972-05-07,Iran,Cambodia,2,0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-09,Iran,Iraq,3,0,AFC Asian Cup,Bangkok,Thailand,True
1972-05-13,Thailand,Iran,2,3,AFC Asian Cup,Bangkok,Thailand,False
1972-05-16,Iran,Cambodia,2,1,AFC Asian Cup,Bangkok,Thailand,True
1972-05-19,Iran,South Korea,2,1,AFC Asian Cup,Bangkok,Thailand,True
1972-06-11,Iran,Republic of Ireland,1,2,Brazil Independence Cup,Recife,Brazil,True
1972-06-14,Iran,Portugal,0,3,Brazil Independence Cup,Recife,Brazil,True
1972-06-21,Ecuador,Iran,1,1,Brazil Independence Cup,Recife,Brazil,True
1972-06-25,Chile,Iran,2,1,Brazil Independence Cup,Recife,Brazil,True
1973-05-04,Iran,North Korea,0,0,FIFA World Cup qualification,Tehran,Iran,False
1973-05-06,Iran,Kuwait,2,1,FIFA World Cup qualification,Tehran,Iran,False
1973-05-08,Iran,Syria,1,0,FIFA World Cup qualification,Tehran,Iran,False
1973-05-11,Iran,North Korea,2,1,FIFA World Cup qualification,Tehran,Iran,False
1973-05-13,Iran,Kuwait,2,0,FIFA World Cup qualification,Tehran,Iran,False
1973-05-15,Iran,Syria,0,1,FIFA World Cup qualification,Tehran,Iran,False
1973-08-12,New Zealand,Iran,0,0,Friendly,Auckland,New Zealand,False
1973-08-18,Australia,Iran,3,0,FIFA World Cup qualification,Sydney,Australia,False
1973-08-24,Iran,Australia,2,0,FIFA World Cup qualification,Tehran,Iran,False
1974-01-17,Pakistan,Iran,1,2,Friendly,Karachi,Pakistan,False
1974-01-20,Iran,Turkey,0,1,Friendly,Karachi,Pakistan,True
1974-09-03,Iran,Pakistan,7,0,Asian Games,Tehran,Iran,False
1974-09-05,Iran,Myanmar,2,1,Asian Games,Tehran,Iran,False
1974-09-07,Iran,Bahrain,6,0,Asian Games,Tehran,Iran,False
1974-09-09,Iran,Malaysia,1,0,Asian Games,Tehran,Iran,False
1974-09-11,Iran,South Korea,2,0,Asian Games,Tehran,Iran,False
1974-09-13,Iran,Iraq,1,0,Asian Games,Tehran,Iran,False
1974-09-15,Iran,Israel,1,0,Asian Games,Tehran,Iran,False
1974-12-20,Iran,Czechoslovakia,0,1,Friendly,Tehran,Iran,False
1975-08-10,Iran,Hungary,1,2,Friendly,Tehran,Iran,False
1976-06-04,Iran,Iraq,2,0,AFC Asian Cup,Tehran,Iran,False
1976-06-08,Iran,Yemen DPR,8,0,AFC Asian Cup,Tehran,Iran,False
1976-06-11,Iran,China PR,2,0,AFC Asian Cup,Tehran,Iran,False
1976-06-13,Iran,Kuwait,1,0,AFC Asian Cup,Tehran,Iran,False
1976-07-02,Iran,Romania,2,2,Friendly,Tehran,Iran,False
1977-01-07,Saudi Arabia,Iran,0,3,FIFA World Cup qualification,Riyadh,Saudi Arabia,False
1977-01-28,Syria,Iran,0,1,FIFA World Cup qualification,Damascus,Syria,False
1977-03-15,Iran,Hungary,0,2,Friendly,Tehran,Iran,False
1977-03-22,Argentina,Iran,1,1,Real Madrid 75th Anniversary Cup,Madrid,Spain,True
1977-04-22,Iran,Saudi Arabia,2,0,FIFA World Cup qualification,Shiraz,Iran,False
