Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2008-07-07,Sápmi,Iraqi Kurdistan,2,2,Viva World Cup,Gällivare,Sweden,False
2008-07-09,Provence,Iraqi Kurdistan,0,3,Viva World Cup,Malmberget,Sweden,True
2008-07-10,Padania,Iraqi Kurdistan,2,1,Viva World Cup,Gällivare,Sweden,True
2008-07-11,Iraqi Kurdistan,Arameans Suryoye,0,0,Viva World Cup,Gällivare,Sweden,True
2008-07-13,Sápmi,Iraqi Kurdistan,3,1,Viva World Cup,Malmberget,Sweden,False
2009-06-23,Occitania,Iraqi Kurdistan,0,4,Viva World Cup,Varese,Italy,True
2009-06-24,Padania,Iraqi Kurdistan,2,1,Viva World Cup,Brescia,Italy,False
2009-06-25,Provence,Iraqi Kurdistan,0,6,Viva World Cup,Varese,Italy,True
2009-06-27,Padania,Iraqi Kurdistan,2,0,Viva World Cup,Verona,Italy,False
2010-05-31,Iraqi Kurdistan,Two Sicilies,4,1,Viva World Cup,Sannat,Malta,True
2010-06-02,Iraqi Kurdistan,Provence,3,2,Viva World Cup,Sannat,Malta,True
2010-06-04,Iraqi Kurdistan,Occitania,2,1,Viva World Cup,Sannat,Malta,True
2010-06-05,Iraqi Kurdistan,Padania,0,1,Viva World Cup,Xewkija,Malta,True
2012-06-04,Iraqi Kurdistan,Western Sahara,6,0,Viva World Cup,Erbil,Iraq,False
2012-06-06,Iraqi Kurdistan,Occitania,1,0,Viva World Cup,Sulaymaniyah,Iraq,False
2012-06-08,Iraqi Kurdistan,Provence,2,1,Viva World Cup,Duhok,Iraq,False
2012-06-09,Iraqi Kurdistan,Northern Cyprus,2,1,Viva World Cup,Erbil,Iraq,False
2014-06-01,Iraqi Kurdistan,Arameans Suryoye,1,2,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-03,Tamil Eelam,Iraqi Kurdistan,0,9,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-04,Ellan Vannin,Iraqi Kurdistan,1,1,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-05,Occitania,Iraqi Kurdistan,2,2,CONIFA World Football Cup,Östersund,Sweden,True
2014-06-07,Padania,Iraqi Kurdistan,1,1,CONIFA World Football Cup,Östersund,Sweden,True
2016-05-29,Iraqi Kurdistan,Székely Land,3,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-05-31,United Koreans in Japan,Iraqi Kurdistan,0,3,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-02,Iraqi Kurdistan,Padania,2,2,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-03,Iraqi Kurdistan,Western Armenia,0,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-04,United Koreans in Japan,Iraqi Kurdistan,1,1,CONIFA World Football Cup,Sukhumi,Georgia,True
