Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1993-07-04,Isle of Wight,Isle of Man,1,0,Island Games,Isle of Wight,England,False
1993-07-05,Isle of Man,Åland Islands,2,0,Island Games,Isle of Wight,England,True
1993-07-06,Shetland,Isle of Man,1,5,Island Games,Isle of Wight,England,True
1993-07-09,Jersey,Isle of Man,5,1,Island Games,Isle of Wight,England,True
1995-07-16,Isle of Man,Ynys Môn,0,2,Island Games,Gibraltar,Gibraltar,True
1995-07-17,Gibraltar,Isle of Man,2,1,Island Games,Gibraltar,Gibraltar,False
1995-07-18,Greenland,Isle of Man,4,0,Island Games,Gibraltar,Gibraltar,True
1995-07-21,Åland Islands,Isle of Man,4,1,Island Games,Gibraltar,Gibraltar,True
1999-06-27,Isle of Man,Shetland,2,1,Island Games,Dalhem,Sweden,True
1999-06-28,Hitra,Isle of Man,0,13,Island Games,Fardhem,Sweden,True
1999-06-29,Gotland,Isle of Man,4,4,Island Games,Visby,Sweden,False
1999-07-01,Isle of Man,Jersey,1,0,Island Games,Visby,Sweden,True
1999-07-02,Ynys Môn,Isle of Man,1,0,Island Games,Visby,Sweden,True
2001-07-08,Isle of Man,Falkland Islands,9,0,Island Games,Douglas,Isle of Man,False
2001-07-10,Isle of Man,Guernsey,2,3,Island Games,Douglas,Isle of Man,False
2001-07-12,Isle of Man,Rhodes,1,3,Island Games,Ramsey,Isle of Man,False
2001-07-13,Isle of Man,Shetland,2,2,Island Games,Castletown,Isle of Man,False
2003-06-30,Isle of Man,Saare County,4,0,Island Games,Saint Sampson,Guernsey,True
2003-07-01,Ynys Môn,Isle of Man,1,2,Island Games,Saint Sampson,Guernsey,True
2003-07-03,Isle of Man,Jersey,2,1,Island Games,Saint Sampson,Guernsey,True
2003-07-04,Guernsey,Isle of Man,3,1,Island Games,St. Peter Port,Guernsey,False
2005-07-11,Isle of Man,Saare County,2,2,Island Games,Shetland,Scotland,True
2005-07-12,Åland Islands,Isle of Man,0,1,Island Games,Shetland,Scotland,True
2005-07-13,Falkland Islands,Isle of Man,0,9,Island Games,Shetland,Scotland,True
2005-07-14,Shetland,Isle of Man,0,1,Island Games,Shetland,Scotland,False
2005-07-15,Western Isles,Isle of Man,4,0,Island Games,Shetland,Scotland,True
2009-06-28,Falkland Islands,Isle of Man,1,2,Island Games,Eckerö,Sweden,True
2009-06-29,Isle of Man,Western Isles,5,0,Island Games,Finström,Sweden,True
2009-06-30,Isle of Man,Gotland,4,2,Island Games,Finström,Sweden,True
2009-07-02,Åland Islands,Isle of Man,2,1,Island Games,Jomala,Sweden,False
2009-07-03,Isle of Man,Guernsey,0,5,Island Games,Eckerö,Sweden,True
2011-06-26,Gotland,Isle of Man,2,4,Island Games,Cowes,England,True
2011-06-27,Isle of Man,Falkland Islands,6,0,Island Games,Rookley,England,True
2011-06-28,Guernsey,Isle of Man,2,1,Island Games,East Cowes,England,True
2011-06-30,Isle of Man,Menorca,2,2,Island Games,Cowes,England,True
2015-06-28,Western Isles,Isle of Man,0,9,Island Games,St. Lawrence,Jersey,True
2015-06-29,Isle of Man,Alderney,7,0,Island Games,St. Ouen,Jersey,True
2015-06-30,Jersey,Isle of Man,1,2,Island Games,St. John,Jersey,False
2015-07-02,Shetland,Isle of Man,1,3,Island Games,St Helier,Jersey,True
2015-07-03,Guernsey,Isle of Man,3,0,Island Games,St Helier,Jersey,True
2017-06-25,Isle of Man,Hitra,5,0,Island Games,Fårösund,Sweden,True
2017-06-26,Falkland Islands,Isle of Man,2,5,Island Games,Säve,Sweden,True
2017-06-27,Isle of Man,Ynys Môn,4,0,Island Games,Stenkyrka,Sweden,True
2017-06-29,Guernsey,Isle of Man,3,4,Island Games,Fardhem,Sweden,True
2017-06-30,Greenland,Isle of Man,0,6,Island Games,Visby,Sweden,True
2019-06-17,Isle of Man,Hitra,7,1,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-18,Isle of Man,Alderney,6,1,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-20,Isle of Man,Guernsey,2,3,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-21,Shetland,Isle of Man,0,5,Inter Games Football Tournament,Anglesey,Wales,True
2023-07-09,Isle of Man,Falkland Islands,3,0,Island Games,Saint Martin,Guernsey,True
2023-07-10,Shetland,Isle of Man,3,2,Island Games,Saint Sampson,Guernsey,True
2023-07-11,Isle of Man,Ynys Môn,1,2,Island Games,Saint Martin,Guernsey,True
2023-07-13,Orkney,Isle of Man,0,1,Island Games,Saint Sampson,Guernsey,True
