Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1991-06-24,Åland Islands,Isle of Wight,1,0,Island Games,Åland,Finland,False
1991-06-25,Ynys Môn,Isle of Wight,5,1,Island Games,Åland,Finland,True
1991-06-26,Isle of Wight,Guernsey,1,1,Island Games,Åland,Finland,True
1991-06-28,Isle of Wight,Greenland,3,1,Island Games,Åland,Finland,True
1993-07-04,Isle of Wight,Isle of Man,1,0,Island Games,Isle of Wight,England,False
1993-07-05,Isle of Wight,Shetland,2,0,Island Games,Isle of Wight,England,False
1993-07-06,Isle of Wight,Åland Islands,0,2,Island Games,Isle of Wight,England,False
1993-07-08,Isle of Wight,Ynys Môn,1,1,Island Games,Isle of Wight,England,False
1995-07-16,Jersey,Isle of Wight,2,0,Island Games,Gibraltar,Gibraltar,True
1995-07-17,Åland Islands,Isle of Wight,0,5,Island Games,Gibraltar,Gibraltar,True
1995-07-18,Isle of Wight,Guernsey,1,1,Island Games,Gibraltar,Gibraltar,True
1995-07-20,Greenland,Isle of Wight,1,2,Island Games,Gibraltar,Gibraltar,True
1995-07-22,Gibraltar,Isle of Wight,0,1,Island Games,Gibraltar,Gibraltar,False
1997-06-29,Shetland,Isle of Wight,0,0,Island Games,St. Peter,Jersey,True
1997-07-01,Hitra,Isle of Wight,0,4,Island Games,Grouville,Jersey,True
1997-07-03,Ynys Môn,Isle of Wight,0,0,Island Games,St. Peter,Jersey,True
1997-07-03,Isle of Wight,Guernsey,3,1,Island Games,St. Peter,Jersey,True
1999-06-27,Isle of Wight,Frøya,6,2,Island Games,Fardhem,Sweden,True
1999-06-28,Saare County,Isle of Wight,1,6,Island Games,Fårösund,Sweden,True
1999-06-29,Isle of Wight,Greenland,7,2,Island Games,Väskinde,Sweden,True
1999-07-01,Isle of Wight,Ynys Môn,1,3,Island Games,Visby,Sweden,True
1999-07-02,Isle of Wight,Jersey,2,0,Island Games,Visby,Sweden,True
2001-07-08,Isle of Wight,Greenland,0,0,Island Games,Peel,Isle of Man,True
2001-07-10,Rhodes,Isle of Wight,1,4,Island Games,Douglas,Isle of Man,True
2001-07-12,Isle of Wight,Guernsey,2,3,Island Games,Port Erin,Isle of Man,True
2001-07-13,Isle of Wight,Jersey,0,2,Island Games,Douglas,Isle of Man,True
2003-06-29,Isle of Wight,Greenland,1,2,Island Games,Saint Martin,Guernsey,True
2003-06-30,Sark,Isle of Wight,0,20,Island Games,Saint Martin,Guernsey,True
2003-07-01,Isle of Wight,Gibraltar,2,1,Island Games,Saint Martin,Guernsey,True
2003-07-03,Guernsey,Isle of Wight,3,1,Island Games,Saint Sampson,Guernsey,False
2003-07-04,Jersey,Isle of Wight,3,0,Island Games,Saint Martin,Guernsey,True
2009-06-28,Rhodes,Isle of Wight,2,0,Island Games,Sund,Sweden,True
2009-06-29,Isle of Wight,Saare County,5,1,Island Games,Hammarland,Sweden,True
2009-06-30,Jersey,Isle of Wight,4,1,Island Games,Hammarland,Sweden,True
2009-07-03,Gibraltar,Isle of Wight,3,0,Island Games,Jomala,Sweden,True
2011-06-26,Isle of Wight,Ynys Môn,4,0,Island Games,Newport,England,False
2011-06-27,Isle of Wight,Alderney,4,0,Island Games,Cowes,England,False
2011-06-28,Isle of Wight,Gibraltar,3,2,Island Games,East Cowes,England,False
2011-06-30,Isle of Wight,Jersey,1,0,Island Games,Cowes,England,False
2011-07-01,Isle of Wight,Guernsey,4,2,Island Games,Newport,England,False
2015-06-28,Shetland,Isle of Wight,0,0,Island Games,St. Lawrence,Jersey,True
2015-06-29,Isle of Wight,Falkland Islands,3,0,Island Games,St. Ouen,Jersey,True
2015-06-30,Isle of Wight,Hitra,3,1,Island Games,St. Lawrence,Jersey,True
2015-07-02,Isle of Wight,Greenland,1,2,Island Games,St. Clement,Jersey,True
2023-07-09,Åland Islands,Isle of Wight,0,2,Island Games,Saint Sampson,Guernsey,True
2023-07-10,Western Isles,Isle of Wight,0,1,Island Games,Saint Martin,Guernsey,True
2023-07-11,Guernsey,Isle of Wight,1,2,Island Games,Saint Sampson,Guernsey,False
2023-07-13,Isle of Wight,Jersey,2,3,Island Games,Saint Sampson,Guernsey,True
