Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1910-05-15,Italy,France,6,2,Friendly,Milan,Italy,False
1910-05-26,Hungary,Italy,6,1,Friendly,Budapest,Hungary,False
1911-01-06,Italy,Hungary,0,1,Friendly,Milan,Italy,False
1911-04-09,France,Italy,2,2,Friendly,Saint-Ouen,France,False
1911-05-07,Italy,Switzerland,2,2,Friendly,Milan,Italy,False
1911-05-21,Switzerland,Italy,3,0,Friendly,La Chaux-de-Fonds,Switzerland,False
1912-03-17,Italy,France,3,4,Friendly,Turin,Italy,False
1912-06-29,Finland,Italy,3,2,Olympic Games,Stockholm,Sweden,True
1912-07-01,Sweden,Italy,0,1,Olympic Games,Stockholm,Sweden,False
1912-07-03,Austria,Italy,5,1,Olympic Games,Stockholm,Sweden,True
1912-12-22,Italy,Austria,1,3,Friendly,Genoa,Italy,False
1913-01-12,France,Italy,1,0,Friendly,Saint-Ouen,France,False
1913-05-01,Italy,Belgium,1,0,Friendly,Turin,Italy,False
1913-06-15,Austria,Italy,2,0,Friendly,Vienna,Austria,False
1914-01-11,Italy,Austria,0,0,Friendly,Milan,Italy,False
1914-03-29,Italy,France,2,0,Friendly,Turin,Italy,False
1914-04-05,Italy,Switzerland,1,1,Friendly,Genoa,Italy,False
1914-05-17,Switzerland,Italy,0,1,Friendly,Bern,Switzerland,False
1915-01-31,Italy,Switzerland,3,1,Friendly,Turin,Italy,False
1919-06-25,Italy,Greece,9,0,Inter-Allied Games,Paris,France,True
1919-06-26,Italy,Romania,7,1,Inter-Allied Games,Paris,France,True
1919-06-28,France,Italy,2,0,Inter-Allied Games,Paris,France,False
1920-01-18,Italy,France,9,4,Friendly,Milan,Italy,False
1920-03-28,Switzerland,Italy,3,0,Friendly,Bern,Switzerland,False
1920-05-13,Italy,Netherlands,1,1,Friendly,Genoa,Italy,False
1920-08-28,Italy,Egypt,2,1,Olympic Games,Ghent,Belgium,True
1920-08-29,France,Italy,3,1,Olympic Games,Antwerp,Belgium,True
1920-08-31,Italy,Norway,2,1,Olympic Games,Antwerp,Belgium,True
1920-09-02,Spain,Italy,2,0,Olympic Games,Antwerp,Belgium,True
1921-02-20,France,Italy,1,2,Friendly,Marseille,France,False
1921-03-06,Italy,Switzerland,2,1,Friendly,Milan,Italy,False
1921-05-05,Belgium,Italy,2,3,Friendly,Antwerp,Belgium,False
1921-05-08,Netherlands,Italy,2,2,Friendly,Amsterdam,Netherlands,False
1921-11-06,Switzerland,Italy,1,1,Friendly,Geneva,Switzerland,False
1922-01-15,Italy,Austria,3,3,Friendly,Milan,Italy,False
1922-02-26,Italy,Czechoslovakia,1,1,Friendly,Turin,Italy,False
1922-05-21,Italy,Belgium,4,2,Friendly,Milan,Italy,False
1922-12-03,Italy,Switzerland,2,2,Friendly,Bologna,Italy,False
1923-01-01,Italy,Germany,3,1,Friendly,Milan,Italy,False
1923-03-04,Italy,Hungary,0,0,Friendly,Genoa,Italy,False
1923-04-15,Austria,Italy,0,0,Friendly,Vienna,Austria,False
1923-05-27,Czechoslovakia,Italy,5,1,Friendly,Prague,Czechoslovakia,False
1924-01-20,Italy,Austria,0,4,Friendly,Genoa,Italy,False
1924-03-09,Italy,Spain,0,0,Friendly,Milan,Italy,False
1924-04-06,Hungary,Italy,7,1,Friendly,Budapest,Hungary,False
1924-05-25,Italy,Spain,1,0,Olympic Games,Colombes,France,True
1924-05-29,Italy,Luxembourg,2,0,Olympic Games,Paris,France,True
1924-06-02,Switzerland,Italy,2,1,Olympic Games,Paris,France,True
1924-11-16,Italy,Sweden,2,2,Friendly,Milan,Italy,False
1924-11-23,Germany,Italy,0,1,Friendly,Duisburg,Germany,False
1925-03-22,Italy,France,7,0,Friendly,Turin,Italy,False
1925-06-14,Spain,Italy,1,0,Friendly,Valencia,Spain,False
1925-06-18,Portugal,Italy,1,0,Friendly,Lisbon,Portugal,False
1925-11-04,Italy,Yugoslavia,2,1,Friendly,Padua,Italy,False
1925-11-08,Hungary,Italy,1,1,Friendly,Budapest,Hungary,False
1926-01-17,Italy,Czechoslovakia,3,1,Friendly,Turin,Italy,False
1926-03-21,Italy,Republic of Ireland,3,0,Friendly,Turin,Italy,False
1926-04-18,Switzerland,Italy,1,1,Friendly,Zürich,Switzerland,False
1926-05-09,Italy,Switzerland,3,2,Friendly,Milan,Italy,False
1926-07-18,Sweden,Italy,5,3,Friendly,Stockholm,Sweden,False
1926-10-28,Czechoslovakia,Italy,3,1,Friendly,Prague,Czechoslovakia,False
1927-01-30,Switzerland,Italy,1,5,Friendly,Geneva,Switzerland,False
1927-02-20,Italy,Czechoslovakia,2,2,Friendly,Milan,Italy,False
1927-04-17,Italy,Portugal,3,1,Friendly,Turin,Italy,False
1927-04-24,France,Italy,3,3,Friendly,Colombes,France,False
1927-05-29,Italy,Spain,2,0,Friendly,Bologna,Italy,False
1927-10-23,Czechoslovakia,Italy,2,2,Central European International Cup,Prague,Czechoslovakia,False
1927-11-06,Italy,Austria,0,1,Central European International Cup,Bologna,Italy,False
1928-01-01,Italy,Switzerland,3,2,Central European International Cup,Genoa,Italy,False
1928-03-25,Italy,Hungary,4,3,Central European International Cup,Rome,Italy,False
1928-04-15,Portugal,Italy,4,1,Friendly,Porto,Portugal,False
1928-04-22,Spain,Italy,1,1,Friendly,Gijón,Spain,False
1928-05-29,Italy,France,4,3,Olympic Games,Amsterdam,Netherlands,True
1928-06-01,Italy,Spain,1,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-04,Italy,Spain,7,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-07,Uruguay,Italy,3,2,Olympic Games,Amsterdam,Netherlands,True
1928-06-09,Italy,Egypt,11,3,Olympic Games,Amsterdam,Netherlands,True
1928-10-14,Switzerland,Italy,2,3,Central European International Cup,Zürich,Switzerland,False
1928-11-11,Italy,Austria,2,2,Friendly,Rome,Italy,False
1928-12-02,Italy,Netherlands,3,2,Friendly,Milan,Italy,False
1929-03-03,Italy,Czechoslovakia,4,2,Central European International Cup,Bologna,Italy,False
1929-04-07,Austria,Italy,3,0,Central European International Cup,Vienna,Austria,False
1929-04-28,Italy,Germany,1,2,Friendly,Turin,Italy,False
1929-12-01,Italy,Portugal,6,1,Friendly,Milan,Italy,False
1930-02-09,Italy,Switzerland,4,2,Friendly,Rome,Italy,False
1930-03-02,Germany,Italy,0,2,Friendly,Frankfurt am Main,Germany,False
1930-04-06,Netherlands,Italy,1,1,Friendly,Amsterdam,Netherlands,False
1930-05-11,Hungary,Italy,0,5,Central European International Cup,Budapest,Hungary,False
1930-06-22,Italy,Spain,2,3,Friendly,Bologna,Italy,False
1931-01-25,Italy,France,5,0,Friendly,Bologna,Italy,False
1931-02-22,Italy,Austria,2,1,Central European International Cup,Milan,Italy,False
1931-03-29,Switzerland,Italy,1,1,Central European International Cup,Bern,Switzerland,False
1931-04-12,Portugal,Italy,0,2,Friendly,Porto,Portugal,False
1931-04-19,Spain,Italy,0,0,Friendly,Bilbao,Spain,False
1931-05-20,Italy,Scotland,3,0,Friendly,Rome,Italy,False
1931-11-15,Italy,Czechoslovakia,2,2,Central European International Cup,Rome,Italy,False
1931-12-13,Italy,Hungary,3,2,Central European International Cup,Turin,Italy,False
1932-02-14,Italy,Switzerland,3,0,Central European International Cup,Naples,Italy,False
1932-03-20,Austria,Italy,2,1,Central European International Cup,Vienna,Austria,False
1932-04-10,France,Italy,1,2,Friendly,Colombes,France,False
1932-05-08,Hungary,Italy,1,1,Central European International Cup,Budapest,Hungary,False
1932-10-28,Czechoslovakia,Italy,2,1,Central European International Cup,Prague,Czechoslovakia,False
1932-11-27,Italy,Hungary,4,2,Friendly,Milan,Italy,False
1933-01-01,Italy,Germany,3,1,Friendly,Bologna,Italy,False
1933-02-12,Belgium,Italy,2,3,Friendly,Brussels,Belgium,False
1933-04-02,Switzerland,Italy,0,3,Central European International Cup,Geneva,Switzerland,False
1933-05-07,Italy,Czechoslovakia,2,0,Central European International Cup,Florence,Italy,False
1933-05-13,Italy,England,1,1,Friendly,Rome,Italy,False
1933-10-22,Hungary,Italy,0,1,Central European International Cup,Budapest,Hungary,False
1933-12-03,Italy,Switzerland,5,2,Central European International Cup,Florence,Italy,False
1934-02-11,Italy,Austria,2,4,Central European International Cup,Turin,Italy,False
1934-03-25,Italy,Greece,4,0,FIFA World Cup qualification,Milan,Italy,False
1934-05-27,Italy,United States,7,1,FIFA World Cup,Rome,Italy,False
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Florence,Italy,False
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Florence,Italy,False
1934-06-03,Italy,Austria,1,0,FIFA World Cup,Milan,Italy,False
1934-06-10,Italy,Czechoslovakia,2,1,FIFA World Cup,Rome,Italy,False
1934-11-14,England,Italy,3,2,Friendly,London,England,False
1934-12-09,Italy,Hungary,4,2,Friendly,Milan,Italy,False
1935-02-17,Italy,France,2,1,Friendly,Rome,Italy,False
1935-03-24,Austria,Italy,0,2,Central European International Cup,Vienna,Austria,False
1935-10-27,Czechoslovakia,Italy,2,1,Central European International Cup,Prague,Czechoslovakia,False
1935-11-24,Italy,Hungary,2,2,Central European International Cup,Milan,Italy,False
1936-04-05,Switzerland,Italy,1,2,Friendly,Zürich,Switzerland,False
1936-05-17,Italy,Austria,2,2,Friendly,Rome,Italy,False
1936-05-31,Hungary,Italy,1,2,Friendly,Budapest,Hungary,False
1936-10-25,Italy,Switzerland,4,2,Central European International Cup,Milan,Italy,False
1936-11-15,Germany,Italy,2,2,Friendly,Berlin,Germany,False
1936-12-13,Italy,Czechoslovakia,2,0,Friendly,Genoa,Italy,False
1937-04-25,Italy,Hungary,2,0,Central European International Cup,Turin,Italy,False
1937-05-23,Czechoslovakia,Italy,0,1,Central European International Cup,Prague,Czechoslovakia,False
1937-05-27,Norway,Italy,1,3,Friendly,Oslo,Norway,False
1937-10-31,Switzerland,Italy,2,2,Central European International Cup,Geneva,Switzerland,False
1937-12-05,France,Italy,0,0,Friendly,Paris,France,False
1938-05-15,Italy,Belgium,6,1,Friendly,Milan,Italy,False
1938-05-22,Italy,Yugoslavia,4,0,Friendly,Genoa,Italy,False
1938-06-05,Italy,Norway,2,1,FIFA World Cup,Marseille,France,True
1938-06-12,France,Italy,1,3,FIFA World Cup,Colombes,France,False
1938-06-16,Brazil,Italy,1,2,FIFA World Cup,Marseille,France,True
1938-06-19,Hungary,Italy,2,4,FIFA World Cup,Colombes,France,True
1938-11-20,Italy,Switzerland,2,0,Friendly,Bologna,Italy,False
1938-12-04,Italy,France,1,0,Friendly,Naples,Italy,False
1939-03-26,Italy,Germany,3,2,Friendly,Florence,Italy,False
1939-05-13,Italy,England,2,2,Friendly,Milan,Italy,False
1939-06-04,Yugoslavia,Italy,1,2,Friendly,Belgrade,Yugoslavia,False
1939-06-08,Hungary,Italy,1,3,Friendly,Budapest,Hungary,False
1939-06-11,Romania,Italy,0,1,Friendly,Bucharest,Romania,False
1939-07-20,Finland,Italy,2,3,Friendly,Helsinki,Finland,False
1939-11-12,Switzerland,Italy,3,1,Friendly,Zürich,Switzerland,False
1939-11-26,Germany,Italy,5,2,Friendly,Berlin,Germany,False
1940-03-03,Italy,Switzerland,1,1,Friendly,Turin,Italy,False
1940-04-14,Italy,Romania,2,1,Friendly,Rome,Italy,False
1940-05-05,Italy,Germany,3,2,Friendly,Milan,Italy,False
1940-12-01,Italy,Hungary,1,1,Friendly,Genoa,Italy,False
1942-04-05,Italy,Croatia,4,0,Friendly,Genoa,Italy,False
1942-04-19,Italy,Spain,4,0,Friendly,Milan,Italy,False
1945-11-11,Switzerland,Italy,4,4,Friendly,Zürich,Switzerland,False
1946-12-01,Italy,Austria,3,2,Friendly,Milan,Italy,False
1947-04-27,Italy,Switzerland,5,2,Friendly,Florence,Italy,False
1947-05-11,Italy,Hungary,3,2,Friendly,Turin,Italy,False
1947-11-09,Austria,Italy,5,1,Friendly,Vienna,Austria,False
1947-12-14,Italy,Czechoslovakia,3,1,Friendly,Bari,Italy,False
1948-04-04,France,Italy,1,3,Friendly,Colombes,France,False
1948-05-16,Italy,England,0,4,Friendly,Turin,Italy,False
1949-02-27,Italy,Portugal,4,1,Friendly,Genoa,Italy,False
1949-03-27,Spain,Italy,1,3,Friendly,Madrid,Spain,False
1949-05-22,Italy,Austria,3,1,Central European International Cup,Florence,Italy,False
1949-06-12,Hungary,Italy,1,1,Central European International Cup,Budapest,Hungary,False
1949-11-30,England,Italy,2,0,Friendly,London,England,False
1950-03-05,Italy,Belgium,3,1,Friendly,Bologna,Italy,False
1950-04-02,Austria,Italy,1,0,Central European International Cup,Vienna,Austria,False
1950-06-25,Italy,Sweden,2,3,FIFA World Cup,São Paulo,Brazil,True
1950-07-02,Italy,Paraguay,2,0,FIFA World Cup,São Paulo,Brazil,True
