Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1960-04-14,Ivory Coast,Benin,3,2,Friendly,Antananarivo,Madagascar,True
1960-04-14,Ivory Coast,Benin,3,2,African Friendship Games,Tananarive,Madagascar,True
1960-04-15,Congo,Ivory Coast,3,2,Friendly,Antananarivo,Madagascar,True
1960-04-15,Congo,Ivory Coast,3,2,African Friendship Games,Tananarive,Madagascar,True
1961-12-25,Ivory Coast,Burkina Faso,2,1,African Friendship Games,Abidjan,Ivory Coast,False
1961-12-26,Ivory Coast,Liberia,5,0,African Friendship Games,Abidjan,Ivory Coast,False
1961-12-27,Ivory Coast,Central African Republic,1,0,African Friendship Games,Abidjan,Ivory Coast,False
1961-12-29,Ivory Coast,Senegal,1,1,African Friendship Games,Abidjan,Ivory Coast,False
1962-02-04,Mali,Ivory Coast,4,0,Friendly,Bamako,Mali,False
1962-02-06,Mali,Ivory Coast,0,2,Friendly,Bamako,Mali,False
1962-11-30,Senegal,Ivory Coast,1,1,Friendly,Dakar,Senegal,False
1963-03-10,Ivory Coast,Tunisia,3,0,Friendly,Abidjan,Ivory Coast,False
1963-04-12,Congo,Ivory Coast,3,2,African Friendship Games,Dakar,Senegal,True
1963-04-13,Tunisia,Ivory Coast,3,1,African Friendship Games,Dakar,Senegal,True
1963-04-14,Ivory Coast,Mauritania,2,0,African Friendship Games,Dakar,Senegal,True
1963-04-15,Ivory Coast,DR Congo,1,0,African Friendship Games,Dakar,Senegal,True
1964-03-15,Ivory Coast,Mali,1,1,Friendly,Abidjan,Ivory Coast,False
1965-01-17,Ivory Coast,DR Congo,2,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1965-05-29,Liberia,Ivory Coast,0,1,African Cup of Nations qualification,Monrovia,Liberia,False
1965-07-19,Ivory Coast,Algeria,1,0,All-African Games,Brazzaville,Congo,True
1965-07-20,Ivory Coast,Madagascar,5,0,All-African Games,Brazzaville,Congo,True
1965-07-21,Ivory Coast,DR Congo,1,1,All-African Games,Brazzaville,Congo,True
1965-07-23,Congo,Ivory Coast,1,0,All-African Games,Brazzaville,Congo,False
1965-07-25,Ivory Coast,Algeria,2,0,All-African Games,Brazzaville,Congo,True
1965-09-05,DR Congo,Ivory Coast,4,2,African Cup of Nations qualification,Brazzaville,Congo,True
1965-09-21,Ivory Coast,Liberia,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1965-11-14,DR Congo,Ivory Coast,0,3,African Cup of Nations,Sfax,Tunisia,True
1965-11-19,Ghana,Ivory Coast,4,1,African Cup of Nations,Bizerte,Tunisia,True
1965-11-21,Ivory Coast,Senegal,1,0,African Cup of Nations,Tunis,Tunisia,True
1965-11-23,Congo,Ivory Coast,0,1,Friendly,Brazzaville,Congo,False
1965-11-25,Ivory Coast,Mali,1,3,Friendly,Brazzaville,Congo,True
1966-08-16,Togo,Ivory Coast,1,2,Friendly,Lomé,Togo,False
1966-11-01,Ivory Coast,Ghana,1,1,Friendly,Abidjan,Ivory Coast,False
1967-02-19,Ghana,Ivory Coast,2,2,Friendly,Accra,Ghana,False
1967-03-05,Ivory Coast,Liberia,1,1,Friendly,Abidjan,Ivory Coast,False
1967-03-12,Nigeria,Ivory Coast,0,0,African Cup of Nations qualification,Lagos,Nigeria,False
1967-03-28,Gabon,Ivory Coast,0,3,Friendly,Libreville,Gabon,False
1967-04-30,Ivory Coast,Togo,3,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1967-05-07,Ivory Coast,Nigeria,2,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1967-08-16,Togo,Ivory Coast,0,2,African Cup of Nations qualification,Lomé,Togo,False
1967-11-26,Burkina Faso,Ivory Coast,3,2,Friendly,Ouagadougou,Upper Volta,False
1968-01-12,Algeria,Ivory Coast,0,3,African Cup of Nations,Addis Ababa,Ethiopia,True
1968-01-14,Ethiopia,Ivory Coast,1,0,African Cup of Nations,Addis Ababa,Ethiopia,False
1968-01-16,Ivory Coast,Uganda,2,1,African Cup of Nations,Addis Ababa,Ethiopia,True
1968-01-19,Ghana,Ivory Coast,4,3,African Cup of Nations,Asmara,Ethiopia,True
1968-01-21,Ethiopia,Ivory Coast,0,1,African Cup of Nations,Addis Ababa,Ethiopia,False
1968-05-19,Ghana,Ivory Coast,2,1,Friendly,Accra,Ghana,False
1969-08-15,Congo,Ivory Coast,1,1,Friendly,Brazzaville,Congo,False
1969-10-12,Mali,Ivory Coast,0,0,African Cup of Nations qualification,Bamako,Mali,False
1969-10-26,Ivory Coast,Mali,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1969-11-09,Ivory Coast,Morocco,1,0,Friendly,Abidjan,Ivory Coast,False
1970-02-06,Cameroon,Ivory Coast,3,2,African Cup of Nations,Khartoum,Sudan,True
1970-02-08,Sudan,Ivory Coast,0,1,African Cup of Nations,Khartoum,Sudan,False
1970-02-10,Ethiopia,Ivory Coast,1,6,African Cup of Nations,Khartoum,Sudan,True
1970-02-14,Ghana,Ivory Coast,2,1,African Cup of Nations,Khartoum,Sudan,True
1970-02-16,Egypt,Ivory Coast,3,1,African Cup of Nations,Khartoum,Sudan,True
1970-03-22,Guinea,Ivory Coast,4,2,Friendly,Conakry,Guinea,False
1970-04-15,Ghana,Ivory Coast,3,0,Friendly,Accra,Ghana,False
1970-04-19,Ghana,Ivory Coast,1,1,Friendly,Accra,Ghana,False
1970-07-26,Ivory Coast,Guinea,3,2,Friendly,Abidjan,Ivory Coast,False
1970-10-18,Ivory Coast,Senegal,0,1,Friendly,Abidjan,Ivory Coast,False
1970-11-08,Gabon,Ivory Coast,1,2,African Cup of Nations qualification,Libreville,Gabon,False
1970-11-22,Ivory Coast,Gabon,1,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1971-05-02,Ivory Coast,Ghana,2,6,Friendly,Abidjan,Ivory Coast,False
1971-10-13,Ivory Coast,Congo,3,2,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1971-10-27,Congo,Ivory Coast,2,0,African Cup of Nations qualification,Brazzaville,Congo,False
1972-04-19,Ghana,Ivory Coast,1,2,Friendly,Accra,Ghana,False
1972-10-15,Sierra Leone,Ivory Coast,0,1,FIFA World Cup qualification,Freetown,Sierra Leone,False
1972-10-29,Ivory Coast,Sierra Leone,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
1973-02-11,Tunisia,Ivory Coast,1,1,FIFA World Cup qualification,Tunis,Tunisia,False
1973-02-25,Ivory Coast,Tunisia,2,1,FIFA World Cup qualification,Abidjan,Ivory Coast,False
1973-04-08,Central African Republic,Ivory Coast,4,2,African Cup of Nations qualification,Bangui,Central African Republic,False
1973-05-20,Ivory Coast,Morocco,1,1,FIFA World Cup qualification,Abidjan,Ivory Coast,False
1973-06-03,Morocco,Ivory Coast,4,1,FIFA World Cup qualification,Tétouan,Morocco,False
1973-07-15,Ghana,Ivory Coast,0,3,African Cup of Nations qualification,Accra,Ghana,False
1973-07-29,Ivory Coast,Central African Republic,5,1,African Cup of Nations qualification,Lagos,Nigeria,True
1973-07-29,Ivory Coast,Ghana,1,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1974-03-02,Ivory Coast,Zambia,0,1,African Cup of Nations,El Mahalla El Kubra,Egypt,True
1974-03-04,Ivory Coast,Uganda,2,2,African Cup of Nations,El Mahalla El Kubra,Egypt,True
1974-03-06,Egypt,Ivory Coast,2,0,African Cup of Nations,Cairo,Egypt,False
1974-07-06,Malawi,Ivory Coast,5,1,Friendly,Lilongwe,Malawi,False
1974-07-14,Nigeria,Ivory Coast,2,0,Friendly,Lagos,Nigeria,False
1974-09-11,Ivory Coast,Ghana,1,1,Friendly,Abidjan,Ivory Coast,False
1975-03-30,Congo,Ivory Coast,1,0,African Cup of Nations qualification,Brazzaville,Congo,False
1975-04-13,Ivory Coast,Congo,2,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1975-04-26,Senegal,Ivory Coast,1,0,Friendly,Dakar,Senegal,False
1975-04-27,Ivory Coast,Togo,0,3,Friendly,Dakar,Senegal,True
1975-08-06,Ghana,Ivory Coast,3,1,Friendly,Accra,Ghana,False
1975-08-10,Ghana,Ivory Coast,0,0,Friendly,Accra,Ghana,False
1975-09-07,Ivory Coast,Nigeria,1,1,Friendly,Abidjan,Ivory Coast,False
1976-03-21,Ivory Coast,Senegal,4,1,Friendly,Abidjan,Ivory Coast,False
1976-03-28,Gabon,Ivory Coast,0,3,Friendly,Libreville,Gabon,False
1976-04-19,Ivory Coast,Gabon,1,3,Friendly,Abidjan,Ivory Coast,False
1976-09-04,Burkina Faso,Ivory Coast,1,1,FIFA World Cup qualification,Ouagadougou,Upper Volta,True
1976-09-09,Ivory Coast,Ghana,3,1,Friendly,Abidjan,Ivory Coast,False
1976-09-26,Ivory Coast,Burkina Faso,2,0,FIFA World Cup qualification,Abidjan,Ivory Coast,False
1977-02-13,Ivory Coast,Congo,3,2,FIFA World Cup qualification,Bouaké,Ivory Coast,False
1977-02-27,Congo,Ivory Coast,1,3,FIFA World Cup qualification,Brazzaville,Congo,False
1977-03-20,Burkina Faso,Ivory Coast,0,1,African Cup of Nations qualification,Ouagadougou,Upper Volta,False
1977-03-27,Ivory Coast,Burkina Faso,4,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1977-07-10,Nigeria,Ivory Coast,4,0,FIFA World Cup qualification,Lagos,Nigeria,False
1977-07-25,Ivory Coast,Nigeria,2,2,FIFA World Cup qualification,Bouaké,Ivory Coast,False
1978-02-19,Ghana,Ivory Coast,3,1,Friendly,Accra,Ghana,False
1979-01-27,Ivory Coast,Togo,0,1,Friendly,Monrovia,Liberia,True
1979-01-29,Gambia,Ivory Coast,2,1,Friendly,Monrovia,Liberia,True
1979-04-08,Gabon,Ivory Coast,2,1,Friendly,Libreville,Gabon,False
1979-04-15,Benin,Ivory Coast,1,0,African Cup of Nations qualification,Cotonou,Benin,False
1979-04-29,Ivory Coast,Benin,4,1,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1979-06-29,Sudan,Ivory Coast,2,0,African Cup of Nations qualification,Khartoum,Sudan,False
1979-07-06,Ivory Coast,Sudan,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1979-10-21,Ivory Coast,Togo,3,0,Friendly,Abidjan,Ivory Coast,False
1979-10-26,Ivory Coast,Benin,3,1,Friendly,Abidjan,Ivory Coast,False
1979-10-28,Ivory Coast,Togo,0,1,Friendly,Abidjan,Ivory Coast,False
1980-01-19,Congo,Ivory Coast,2,0,Friendly,Brazzaville,Congo,False
1980-01-20,Congo,Ivory Coast,0,2,Friendly,Brazzaville,Congo,False
