Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1925-03-22,Haiti,Jamaica,1,2,Friendly,Port-au-Prince,Haiti,False
1925-03-26,Haiti,Jamaica,0,3,Friendly,Port-au-Prince,Haiti,False
1925-03-29,Haiti,Jamaica,0,1,Friendly,Port-au-Prince,Haiti,False
1926-03-03,Jamaica,Curaçao,2,0,Friendly,Kingston,Jamaica,False
1926-11-20,Jamaica,Haiti,6,0,Friendly,Kingston,Jamaica,False
1930-03-16,Cuba,Jamaica,3,1,Central American and Caribbean Games,Havana,Cuba,False
1930-03-18,Honduras,Jamaica,5,4,Central American and Caribbean Games,Havana,Cuba,True
1932-03-13,Haiti,Jamaica,4,1,Friendly,Port-au-Prince,Haiti,False
1932-03-20,Haiti,Jamaica,0,1,Friendly,Port-au-Prince,Haiti,False
1935-12-28,Jamaica,Trinidad and Tobago,2,3,Friendly,Kingston,Jamaica,False
1936-01-04,Jamaica,Trinidad and Tobago,0,1,Friendly,Kingston,Jamaica,False
1936-01-11,Jamaica,Trinidad and Tobago,1,2,Friendly,Kingston,Jamaica,False
1938-03-13,Haiti,Jamaica,5,2,Friendly,Port-au-Prince,Haiti,False
1938-03-17,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False
1938-03-20,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False
1947-02-12,Jamaica,Trinidad and Tobago,0,0,Friendly,Kingston,Jamaica,False
1947-02-15,Jamaica,Trinidad and Tobago,2,1,Friendly,Kingston,Jamaica,False
1947-02-19,Jamaica,Trinidad and Tobago,1,0,Friendly,Kingston,Jamaica,False
1947-02-22,Jamaica,Trinidad and Tobago,1,2,Friendly,Kingston,Jamaica,False
1947-02-26,Jamaica,Trinidad and Tobago,0,6,Friendly,Kingston,Jamaica,False
1947-11-06,Guyana,Jamaica,2,0,Friendly,Port of Spain,Trinidad and Tobago,True
1947-11-08,Trinidad and Tobago,Jamaica,6,0,Friendly,Port of Spain,Trinidad and Tobago,False
1947-11-10,Guyana,Jamaica,0,0,Friendly,Port of Spain,Trinidad and Tobago,True
1947-11-12,Trinidad and Tobago,Jamaica,1,0,Friendly,San Fernando,Trinidad and Tobago,False
1948-06-09,Jamaica,Cuba,3,0,Friendly,Kingston,Jamaica,False
1948-06-12,Jamaica,Cuba,1,1,Friendly,Kingston,Jamaica,False
1948-10-11,Jamaica,Haiti,1,0,Friendly,Kingston,Jamaica,False
1948-10-13,Jamaica,Haiti,1,2,Friendly,Kingston,Jamaica,False
1948-10-16,Jamaica,Haiti,3,0,Friendly,Kingston,Jamaica,False
1949-05-02,Jamaica,Trinidad and Tobago,3,1,Friendly,Kingston,Jamaica,False
1949-05-04,Jamaica,Trinidad and Tobago,2,1,Friendly,Kingston,Jamaica,False
1949-05-07,Jamaica,Trinidad and Tobago,1,2,Friendly,Kingston,Jamaica,False
1949-12-18,Cuba,Jamaica,2,5,Friendly,Port-au-Prince,Haiti,True
1949-12-19,Haiti,Jamaica,2,0,Friendly,Port-au-Prince,Haiti,False
1950-10-14,Jamaica,Haiti,2,1,Friendly,Kingston,Jamaica,False
1951-05-25,Barbados,Jamaica,3,0,Friendly,Bridgetown,Barbados,False
1951-05-26,Barbados,Jamaica,0,1,Friendly,Bridgetown,Barbados,False
1951-05-28,Barbados,Jamaica,5,2,Friendly,Bridgetown,Barbados,False
1951-12-26,Jamaica,Haiti,2,2,Friendly,Kingston,Jamaica,False
1951-12-27,Jamaica,Haiti,0,1,Friendly,Kingston,Jamaica,False
