Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1917-05-07,Japan,Philippines,2,15,Friendly,Tokyo,Japan,False
1917-05-09,Japan,China PR,0,5,Far Eastern Championship Games,Tokyo,Japan,False
1917-05-10,Japan,Philippines,2,15,Far Eastern Championship Games,Tokyo,Japan,False
1921-05-30,Japan,Philippines,0,3,Friendly,Shanghai,China PR,True
1921-05-30,Philippines,Japan,3,1,Far Eastern Championship Games,Shanghai,China PR,True
1921-06-01,China PR,Japan,4,0,Far Eastern Championship Games,Shanghai,China PR,False
1921-06-03,China PR,Japan,3,0,Open International Championship,Shanghai,China PR,False
1923-05-23,Japan,Philippines,1,2,Far Eastern Championship Games,Osaka,Japan,False
1923-05-24,Japan,China PR,1,5,Friendly,Osaka,Japan,False
1923-05-24,Japan,China PR,1,5,Far Eastern Championship Games,Osaka,Japan,False
1925-05-18,Philippines,Japan,4,0,Far Eastern Championship Games,Manila,Philippines,False
1925-05-20,China PR,Japan,2,0,Friendly,Manila,Philippines,True
1925-05-20,Japan,China PR,0,2,Far Eastern Championship Games,Manila,Philippines,True
1927-08-27,China PR,Japan,5,1,Friendly,Shanghai,China PR,False
1927-08-27,China PR,Japan,5,1,Far Eastern Championship Games,Shanghai,China PR,False
1927-08-29,Japan,Philippines,2,1,Friendly,Shanghai,China PR,True
1927-08-29,Japan,Philippines,2,1,Far Eastern Championship Games,Shanghai,China PR,True
1930-05-25,Japan,Philippines,7,2,Far Eastern Championship Games,Tokyo,Japan,False
1930-05-29,Japan,China PR,3,3,Friendly,Tokyo,Japan,False
1930-05-30,Japan,China PR,3,3,Far Eastern Championship Games,Tokyo,Japan,False
1934-05-13,Japan,Indonesia,1,7,Friendly,Manila,Philippines,True
1934-05-13,Japan,Indonesia,1,7,Far Eastern Championship Games,Manila,Philippines,True
1934-05-15,Philippines,Japan,3,4,Far Eastern Championship Games,Manila,Philippines,False
1934-05-20,China PR,Japan,4,3,Friendly,Manila,Philippines,True
1934-05-20,China PR,Japan,4,3,Far Eastern Championship Games,Manila,Philippines,True
1939-09-02,China PR,Japan,0,3,Friendly,Xinjing,Manchuria,True
1939-09-03,Manchukuo,Japan,0,6,Friendly,Xinjing,Manchuria,False
1940-06-07,Japan,Manchukuo,7,0,Friendly,Tokyo,Japan,False
1940-06-09,Japan,China PR,6,0,Friendly,Tokyo,Japan,False
1940-06-16,Japan,Philippines,1,0,Friendly,Nishinomiya,Japan,False
1942-08-08,China PR,Japan,1,6,Friendly,Xinjing,Manchuria,True
1942-08-09,Manchukuo,Japan,0,3,Friendly,Xinjing,Manchuria,False
1942-08-10,Japan,Mongolia,12,0,Friendly,Xinjing,Manchuria,True
1951-03-07,Iran,Japan,0,0,Asian Games,New Delhi,India,True
1951-03-08,Iran,Japan,3,2,Asian Games,New Delhi,India,True
1951-03-09,Japan,Afghanistan,2,0,Asian Games,New Delhi,India,True
1954-03-07,Japan,South Korea,1,5,FIFA World Cup qualification,Tokyo,Japan,False
1954-03-14,Japan,South Korea,2,2,FIFA World Cup qualification,Tokyo,Japan,False
1954-05-01,Japan,Indonesia,3,5,Asian Games,Manila,Philippines,True
1954-05-03,India,Japan,3,2,Asian Games,Manila,Philippines,True
1955-01-11,Myanmar,Japan,0,1,Friendly,Yangon,Burma,False
1955-10-09,Japan,Myanmar,0,0,Friendly,Tokyo,Japan,False
1958-05-26,Japan,Philippines,0,1,Asian Games,Tokyo,Japan,False
1958-05-28,Japan,Hong Kong,0,2,Asian Games,Tokyo,Japan,False
1958-12-25,Hong Kong,Japan,5,2,Friendly,So Kon Po,Hong Kong,False
1958-12-28,Malaysia,Japan,6,2,Friendly,Kuala Lumpur,Malaya,False
1959-01-04,Malaysia,Japan,1,3,Friendly,George Town,Malaya,True
