Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1905-04-27,Jersey,Guernsey,0,1,Muratti Vase,Jersey,Jersey,False
1906-03-29,Jersey,Guernsey,1,2,Muratti Vase,Jersey,Jersey,False
1907-03-21,Alderney,Jersey,1,2,Muratti Vase,Guernsey,Guernsey,True
1907-04-04,Jersey,Guernsey,2,3,Muratti Vase,Jersey,Jersey,False
1908-04-09,Guernsey,Jersey,0,4,Muratti Vase,Guernsey,Guernsey,False
1909-03-18,Guernsey,Jersey,3,0,Muratti Vase,Guernsey,Guernsey,False
1910-04-07,Jersey,Alderney,7,1,Muratti Vase,Jersey,Jersey,False
1910-04-21,Guernsey,Jersey,2,3,Muratti Vase,Guernsey,Guernsey,False
1911-04-27,Jersey,Guernsey,4,1,Muratti Vase,Jersey,Jersey,False
1912-04-18,Jersey,Guernsey,3,3,Muratti Vase,Jersey,Jersey,False
1912-04-19,Jersey,Guernsey,2,5,Muratti Vase,Jersey,Jersey,False
1913-04-03,Jersey,Alderney,5,2,Muratti Vase,Guernsey,Guernsey,True
1913-04-17,Jersey,Guernsey,2,4,Muratti Vase,Jersey,Jersey,False
1914-04-23,Guernsey,Jersey,2,1,Muratti Vase,Guernsey,Guernsey,False
1919-04-21,Guernsey,Jersey,2,0,Muratti Vase,Guernsey,Guernsey,False
1920-04-15,Guernsey,Jersey,1,0,Muratti Vase,Guernsey,Guernsey,False
1921-04-07,Jersey,Alderney,2,0,Muratti Vase,Jersey,Jersey,False
1921-04-28,Guernsey,Jersey,0,1,Muratti Vase,Guernsey,Guernsey,False
1922-04-27,Jersey,Guernsey,1,2,Muratti Vase,Jersey,Jersey,False
1923-04-12,Jersey,Guernsey,0,1,Muratti Vase,Jersey,Jersey,False
1924-04-10,Jersey,Alderney,1,0,Muratti Vase,Guernsey,Guernsey,True
1924-05-01,Jersey,Guernsey,1,0,Muratti Vase,Jersey,Jersey,False
1925-04-30,Guernsey,Jersey,2,1,Muratti Vase,Guernsey,Guernsey,False
1926-04-15,Guernsey,Jersey,1,5,Muratti Vase,Guernsey,Guernsey,False
1926-04-29,Jersey,Alderney,7,1,Muratti Vase,Jersey,Jersey,False
1927-04-07,Jersey,Alderney,3,0,Muratti Vase,Jersey,Jersey,False
