Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-01-06,Kuwait,Jordan,2,1,Friendly,Kuwait City,Kuwait,False
1963-03-31,Syria,Jordan,4,0,Arab Cup,Beirut,Lebanon,True
1963-04-02,Kuwait,Jordan,4,0,Arab Cup,Beirut,Lebanon,True
1963-04-04,Jordan,Tunisia,0,4,Arab Cup,Beirut,Lebanon,True
1963-04-06,Lebanon,Jordan,5,0,Arab Cup,Beirut,Lebanon,False
1964-11-13,Jordan,Lebanon,0,0,Arab Cup,Kuwait City,Kuwait,True
1964-11-15,Kuwait,Jordan,2,0,Arab Cup,Kuwait City,Kuwait,False
1964-11-16,Jordan,Libya,2,5,Arab Cup,Kuwait City,Kuwait,True
1965-07-30,Jordan,Iraq,0,0,Friendly,Amman,Jordan,False
1966-04-02,Iraq,Jordan,2,1,Arab Cup,Baghdad,Iraq,False
1966-04-05,Jordan,Lebanon,1,2,Arab Cup,Baghdad,Iraq,True
1966-04-07,Bahrain,Jordan,1,5,Arab Cup,Baghdad,Iraq,True
1966-04-08,Jordan,Kuwait,0,4,Arab Cup,Baghdad,Iraq,True
1971-12-11,Syria,Jordan,0,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-13,Jordan,Bahrain,3,2,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-16,Jordan,Sri Lanka,2,1,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-18,Iraq,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1971-12-21,Kuwait,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,False
1971-12-24,Lebanon,Jordan,2,0,AFC Asian Cup qualification,Kuwait City,Kuwait,True
1974-09-29,Algeria,Jordan,6,0,Kuneitra Cup,Damascus,Syria,True
1981-02-06,Jordan,Iraq,0,2,Friendly,Amman,Jordan,False
1981-02-08,Jordan,Iraq,0,2,Friendly,Amman,Jordan,False
1981-02-14,Oman,Jordan,0,1,Friendly,Muscat,Oman,False
1981-02-16,Oman,Jordan,0,2,Friendly,Muscat,Oman,False
1981-02-27,Bahrain,Jordan,1,0,Friendly,Manama,Bahrain,False
1981-03-11,Saudi Arabia,Jordan,2,1,Friendly,Riyadh,Saudi Arabia,False
1983-04-17,Sierra Leone,Jordan,2,1,Friendly,Freetown,Sierra Leone,False
1984-09-10,Jordan,Hong Kong,1,1,AFC Asian Cup qualification,Guangzhou,China PR,True
