Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-08-04,Belarus,Kazakhstan,0,1,Friendly,Moscow,Soviet Union,True
1992-06-01,Kazakhstan,Turkmenistan,1,0,Friendly,Almaty,Kazakhstan,False
1992-07-03,Kazakhstan,Libya,1,0,Friendly,Pyongyang,North Korea,True
1992-07-16,Kazakhstan,Uzbekistan,1,0,Friendly,Almaty,Kazakhstan,False
1992-09-14,Turkmenistan,Kazakhstan,1,1,Friendly,Ashgabat,Turkmenistan,False
1992-09-26,Kyrgyzstan,Kazakhstan,1,1,Friendly,Bishkek,Kyrgyzstan,False
1992-10-14,Uzbekistan,Kazakhstan,1,1,Friendly,Tashkent,Uzbekistan,False
1992-10-25,Kazakhstan,Kyrgyzstan,2,0,Friendly,Qyzylorda,Kazakhstan,False
1994-04-11,Kazakhstan,Tajikistan,1,0,Friendly,Tashkent,Uzbekistan,True
1994-04-13,Uzbekistan,Kazakhstan,1,0,Friendly,Tashkent,Uzbekistan,False
1994-04-15,Kazakhstan,Turkmenistan,0,0,Friendly,Tashkent,Uzbekistan,True
1994-04-17,Kazakhstan,Kyrgyzstan,0,0,Friendly,Tashkent,Uzbekistan,True
1995-12-27,Kuwait,Kazakhstan,0,0,Friendly,Kuwait City,Kuwait,False
1995-12-29,Saudi Arabia,Kazakhstan,3,0,Friendly,Jeddah,Saudi Arabia,False
1996-01-03,Lebanon,Kazakhstan,2,1,Friendly,Beirut,Lebanon,False
1996-06-14,Kazakhstan,Qatar,1,0,AFC Asian Cup qualification,Almaty,Kazakhstan,False
1996-06-21,Syria,Kazakhstan,2,0,AFC Asian Cup qualification,Damascus,Syria,False
1996-07-05,Qatar,Kazakhstan,3,0,AFC Asian Cup qualification,Doha,Qatar,False
1996-07-12,Kazakhstan,Syria,0,1,AFC Asian Cup qualification,Almaty,Kazakhstan,False
1997-05-11,Kazakhstan,Pakistan,3,0,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-05-13,Kazakhstan,Guam,20,1,East Asian Games,Busan,South Korea,True
1997-05-15,Kazakhstan,Japan,2,2,East Asian Games,Busan,South Korea,True
1997-05-17,Mongolia,Kazakhstan,3,11,East Asian Games,Busan,South Korea,True
1997-05-19,China PR,Kazakhstan,0,0,East Asian Games,Busan,South Korea,True
1997-06-06,Iraq,Kazakhstan,1,2,FIFA World Cup qualification,Baghdad,Iraq,False
1997-06-11,Pakistan,Kazakhstan,0,7,FIFA World Cup qualification,Lahore,Pakistan,False
1997-06-29,Kazakhstan,Iraq,3,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-09-02,China PR,Kazakhstan,3,0,Friendly,Dalian,China PR,False
1997-09-06,South Korea,Kazakhstan,3,0,FIFA World Cup qualification,Seoul,South Korea,False
1997-09-12,United Arab Emirates,Kazakhstan,4,0,FIFA World Cup qualification,Abu Dhabi,United Arab Emirates,False
1997-09-20,Kazakhstan,Uzbekistan,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-10-04,Kazakhstan,Japan,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-10-11,Kazakhstan,South Korea,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-10-18,Kazakhstan,United Arab Emirates,3,0,FIFA World Cup qualification,Almaty,Kazakhstan,False
1997-10-25,Uzbekistan,Kazakhstan,4,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False
1997-11-08,Japan,Kazakhstan,5,1,FIFA World Cup qualification,Tokyo,Japan,False
1998-12-01,Kazakhstan,Iran,0,2,Asian Games,Sisaket,Thailand,True
1998-12-03,Laos,Kazakhstan,0,5,Asian Games,Sisaket,Thailand,True
1998-12-08,Thailand,Kazakhstan,1,1,Asian Games,Bangkok,Thailand,False
1998-12-10,Qatar,Kazakhstan,0,2,Asian Games,Bangkok,Thailand,True
1998-12-12,Kazakhstan,Lebanon,0,3,Asian Games,Bangkok,Thailand,True
2000-03-20,Bahrain,Kazakhstan,0,1,Friendly,Manama,Bahrain,False
2000-03-31,Jordan,Kazakhstan,0,1,AFC Asian Cup qualification,Doha,Qatar,True
2000-04-02,Qatar,Kazakhstan,3,1,AFC Asian Cup qualification,Doha,Qatar,False
2000-04-06,Kazakhstan,Palestine,2,0,AFC Asian Cup qualification,Doha,Qatar,True
2000-04-08,Pakistan,Kazakhstan,0,4,AFC Asian Cup qualification,Doha,Qatar,True
2000-05-24,Iran,Kazakhstan,3,0,WAFF Championship,Amman,Jordan,True
2000-05-26,Kazakhstan,Syria,0,4,WAFF Championship,Amman,Jordan,True
2000-05-28,Kazakhstan,Palestine,3,2,WAFF Championship,Amman,Jordan,True
2000-10-07,Saudi Arabia,Kazakhstan,1,0,Friendly,Amman,Jordan,True
2001-04-12,Nepal,Kazakhstan,0,6,FIFA World Cup qualification,Baghdad,Iraq,True
2001-04-14,Kazakhstan,Macau,3,0,FIFA World Cup qualification,Baghdad,Iraq,True
2001-04-16,Iraq,Kazakhstan,1,1,FIFA World Cup qualification,Baghdad,Iraq,False
2001-04-21,Kazakhstan,Nepal,4,0,FIFA World Cup qualification,Almaty,Kazakhstan,False
2001-04-23,Kazakhstan,Macau,5,0,FIFA World Cup qualification,Almaty,Kazakhstan,False
2001-04-25,Kazakhstan,Iraq,1,1,FIFA World Cup qualification,Almaty,Kazakhstan,False
2001-11-14,Estonia,Kazakhstan,0,0,Friendly,Tallinn,Estonia,False
2002-04-17,Latvia,Kazakhstan,2,1,Friendly,Ventspils,Latvia,False
