Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-09-26,Kernow,Trinidad and Tobago,3,6,Friendly,Cornwall,England,False
1953-09-30,Kernow,Trinidad and Tobago,2,4,Friendly,Cornwall,England,False
1953-10-03,Kernow,Trinidad and Tobago,1,1,Friendly,Cornwall,England,False
1998-11-21,Guernsey,Kernow,1,6,Friendly,Saint Sampson,Guernsey,False
2000-02-20,Kernow,Guernsey,1,2,Friendly,Cornwall,England,False
2002-10-26,Jersey,Kernow,0,3,Friendly,St Helier,Jersey,False
2003-10-11,Kernow,Jersey,1,0,Friendly,Cornwall,England,False
2004-10-16,Jersey,Kernow,1,4,Friendly,St Helier,Jersey,False
2005-10-15,Kernow,Jersey,3,2,Friendly,Cornwall,England,False
2007-03-24,Kernow,Guernsey,1,1,Friendly,Cornwall,England,False
2019-05-25,Kernow,Barawa,5,0,Friendly,Bodmin,England,False
2023-07-16,Kernow,Sápmi,2,1,CONIFA World Football Cup qualification,Falmouth,England,False
