Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2006-04-22,Kosovo,Monaco,7,1,Friendly,Cap-d'Ail,France,True
2014-03-05,Kosovo,Haiti,0,0,Friendly,Mitrovica,Kosovo,False
2014-05-21,Kosovo,Turkey,1,6,Friendly,Mitrovica,Kosovo,False
2014-05-25,Kosovo,Senegal,1,3,Friendly,Lancy,Switzerland,True
2014-09-07,Kosovo,Oman,1,0,Friendly,Pristina,Kosovo,False
2015-10-10,Kosovo,Equatorial Guinea,2,0,Friendly,Pristina,Kosovo,False
2015-11-13,Kosovo,Albania,2,2,Friendly,Pristina,Kosovo,False
2016-06-03,Faroe Islands,Kosovo,0,2,Friendly,Frankfurt am Main,Germany,True
2016-09-05,Finland,Kosovo,1,1,FIFA World Cup qualification,Turku,Finland,False
2016-10-06,Kosovo,Croatia,0,6,FIFA World Cup qualification,Shkodër,Albania,True
2016-10-09,Ukraine,Kosovo,3,0,FIFA World Cup qualification,Kraków,Poland,True
2016-11-12,Turkey,Kosovo,2,0,FIFA World Cup qualification,Antalya,Turkey,False
2017-03-24,Kosovo,Iceland,1,2,FIFA World Cup qualification,Shkodër,Albania,True
2017-06-11,Kosovo,Turkey,1,4,FIFA World Cup qualification,Shkodër,Albania,True
2017-09-02,Croatia,Kosovo,1,0,FIFA World Cup qualification,Zagreb,Croatia,False
2017-09-05,Kosovo,Finland,0,1,FIFA World Cup qualification,Shkodër,Albania,True
2017-10-06,Kosovo,Ukraine,0,2,FIFA World Cup qualification,Shkodër,Albania,True
2017-10-09,Iceland,Kosovo,2,0,FIFA World Cup qualification,Reykjavík,Iceland,False
2017-11-13,Kosovo,Latvia,4,3,Friendly,Mitrovica,Kosovo,False
2018-03-24,Kosovo,Madagascar,1,0,Friendly,Franconville,France,True
2018-03-27,Kosovo,Burkina Faso,2,0,Friendly,Franconville,France,True
2018-05-29,Albania,Kosovo,0,3,Friendly,Zürich,Switzerland,True
2018-09-07,Azerbaijan,Kosovo,0,0,UEFA Nations League,Baku,Azerbaijan,False
2018-09-10,Kosovo,Faroe Islands,2,0,UEFA Nations League,Pristina,Kosovo,False
2018-10-11,Kosovo,Malta,3,1,UEFA Nations League,Pristina,Kosovo,False
2018-10-14,Faroe Islands,Kosovo,1,1,UEFA Nations League,Tórshavn,Faroe Islands,False
2018-11-17,Malta,Kosovo,0,5,UEFA Nations League,Attard,Malta,False
2018-11-20,Kosovo,Azerbaijan,4,0,UEFA Nations League,Pristina,Kosovo,False
2019-03-21,Kosovo,Denmark,2,2,Friendly,Pristina,Kosovo,False
2019-03-25,Kosovo,Bulgaria,1,1,UEFA Euro qualification,Pristina,Kosovo,False
2019-06-07,Montenegro,Kosovo,1,1,UEFA Euro qualification,Podgorica,Montenegro,False
2019-06-10,Bulgaria,Kosovo,2,3,UEFA Euro qualification,Sofia,Bulgaria,False
2019-09-07,Kosovo,Czech Republic,2,1,UEFA Euro qualification,Pristina,Kosovo,False
2019-09-10,England,Kosovo,5,3,UEFA Euro qualification,London,England,False
2019-10-10,Kosovo,Gibraltar,1,0,Friendly,Pristina,Kosovo,False
2019-10-14,Kosovo,Montenegro,2,0,UEFA Euro qualification,Pristina,Kosovo,False
2019-11-14,Czech Republic,Kosovo,2,1,UEFA Euro qualification,Plzeň,Czech Republic,False
2019-11-17,Kosovo,England,0,4,UEFA Euro qualification,Pristina,Kosovo,False
2020-01-12,Kosovo,Sweden,0,1,Friendly,Doha,Qatar,True
2020-09-03,Moldova,Kosovo,1,1,UEFA Nations League,Parma,Italy,True
2020-09-06,Kosovo,Greece,1,2,UEFA Nations League,Pristina,Kosovo,False
2020-10-08,North Macedonia,Kosovo,2,1,UEFA Euro qualification,Skopje,North Macedonia,False
