Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1963-01-06,Kuwait,Jordan,2,1,Friendly,Kuwait City,Kuwait,False
1963-03-03,Tunisia,Kuwait,2,1,Friendly,Tunis,Tunisia,False
1963-03-31,Lebanon,Kuwait,6,0,Arab Cup,Beirut,Lebanon,False
1963-04-02,Kuwait,Jordan,4,0,Arab Cup,Beirut,Lebanon,True
1963-04-06,Kuwait,Tunisia,1,5,Arab Cup,Beirut,Lebanon,True
1963-04-07,Kuwait,Syria,0,4,Arab Cup,Beirut,Lebanon,True
1964-11-13,Kuwait,Iraq,0,1,Arab Cup,Kuwait City,Kuwait,False
1964-11-15,Kuwait,Jordan,2,0,Arab Cup,Kuwait City,Kuwait,False
1964-11-17,Kuwait,Lebanon,2,3,Arab Cup,Kuwait City,Kuwait,False
1964-11-19,Kuwait,Libya,1,1,Arab Cup,Kuwait City,Kuwait,False
1965-03-12,Kuwait,Morocco,0,2,Friendly,Tripoli,Libya,True
1965-03-14,Libya,Kuwait,4,1,Friendly,Tripoli,Libya,False
1966-04-01,Iraq,Kuwait,3,1,Arab Cup,Baghdad,Iraq,False
1966-04-03,Kuwait,Lebanon,1,2,Arab Cup,Baghdad,Iraq,True
1966-04-06,Bahrain,Kuwait,4,4,Arab Cup,Habbaniyah,Iraq,True
1966-04-08,Jordan,Kuwait,0,4,Arab Cup,Baghdad,Iraq,True
1970-03-28,Saudi Arabia,Kuwait,1,3,Gulf Cup,Isa Town,Bahrain,True
1970-03-31,Kuwait,Qatar,4,2,Gulf Cup,Isa Town,Bahrain,True
1970-04-03,Bahrain,Kuwait,1,3,Gulf Cup,Isa Town,Bahrain,False
1971-01-28,Kuwait,Iraq,0,2,Friendly,Kuwait City,Kuwait,False
1971-11-19,Iraq,Kuwait,3,1,Friendly,Baghdad,Iraq,False
1971-12-10,Kuwait,Iraq,1,1,AFC Asian Cup qualification,Kuwait City,Kuwait,False
