Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1956-08-03,Belarus,Kyrgyzstan,1,0,Friendly,Moscow,Soviet Union,True
1979-07-20,Kyrgyzstan,Lithuania,0,0,Friendly,Moscow,Soviet Union,True
1992-08-23,Uzbekistan,Kyrgyzstan,3,0,Friendly,Tashkent,Uzbekistan,False
1992-09-26,Kyrgyzstan,Kazakhstan,1,1,Friendly,Bishkek,Kyrgyzstan,False
1992-10-03,Kyrgyzstan,Uzbekistan,2,6,Friendly,Bishkek,Kyrgyzstan,False
1992-10-14,Turkmenistan,Kyrgyzstan,4,0,Friendly,Ashgabat,Turkmenistan,False
1992-10-25,Kazakhstan,Kyrgyzstan,2,0,Friendly,Qyzylorda,Kazakhstan,False
1993-06-07,Azerbaijan,Kyrgyzstan,3,2,Friendly,Tehran,Iran,True
1993-06-08,Kyrgyzstan,Tajikistan,1,1,Friendly,Tehran,Iran,True
1994-04-13,Kyrgyzstan,Turkmenistan,1,5,Friendly,Tashkent,Uzbekistan,True
1994-04-15,Kyrgyzstan,Tajikistan,0,1,Friendly,Tashkent,Uzbekistan,True
1994-04-17,Kazakhstan,Kyrgyzstan,0,0,Friendly,Tashkent,Uzbekistan,True
1994-04-19,Uzbekistan,Kyrgyzstan,3,0,Friendly,Tashkent,Uzbekistan,False
1996-01-24,Saudi Arabia,Kyrgyzstan,3,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False
1996-01-26,Yemen,Kyrgyzstan,1,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,True
1996-01-31,Saudi Arabia,Kyrgyzstan,2,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False
1996-02-02,Kyrgyzstan,Yemen,3,1,AFC Asian Cup qualification,Riyadh,Saudi Arabia,True
1997-06-04,Kyrgyzstan,Iran,0,7,FIFA World Cup qualification,Damascus,Syria,True
1997-06-06,Kyrgyzstan,Maldives,3,0,FIFA World Cup qualification,Damascus,Syria,True
1997-06-09,Iran,Kyrgyzstan,3,1,FIFA World Cup qualification,Tehran,Iran,False
1997-06-11,Kyrgyzstan,Syria,2,1,FIFA World Cup qualification,Tehran,Iran,True
1997-06-13,Maldives,Kyrgyzstan,0,6,FIFA World Cup qualification,Tehran,Iran,True
