Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1961-12-12,Vietnam Republic,Laos,7,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-13,Thailand,Laos,5,2,Southeast Asian Peninsular Games,Rangoon,Burma,True
1963-11-13,Laos,North Vietnam,1,9,Friendly,Jakarta,Indonesia,True
1963-11-15,Egypt,Laos,15,0,Friendly,Jakarta,Indonesia,True
1967-12-11,Laos,Vietnam Republic,0,5,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1967-12-14,Myanmar,Laos,2,0,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1967-12-15,Thailand,Laos,5,2,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1968-11-20,Myanmar,Laos,3,0,King's Cup,Bangkok,Thailand,True
1968-11-22,Thailand,Laos,1,0,King's Cup,Bangkok,Thailand,False
1968-11-24,Laos,Malaysia,0,5,King's Cup,Bangkok,Thailand,True
1969-11-19,South Korea,Laos,2,0,King's Cup,Bangkok,Thailand,True
1969-11-21,Thailand,Laos,3,4,King's Cup,Bangkok,Thailand,False
1969-11-23,Laos,Malaysia,1,1,King's Cup,Bangkok,Thailand,True
1969-11-26,Indonesia,Laos,3,1,King's Cup,Bangkok,Thailand,True
1969-11-28,Laos,Vietnam Republic,0,7,King's Cup,Bangkok,Thailand,True
1969-12-06,Malaysia,Laos,2,1,Southeast Asian Peninsular Games,Rangoon,Burma,True
1969-12-09,Laos,Vietnam Republic,0,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1969-12-11,Myanmar,Laos,4,0,Southeast Asian Peninsular Games,Rangoon,Burma,False
1970-11-08,Thailand,Laos,1,0,King's Cup,Bangkok,Thailand,False
1970-11-12,South Korea,Laos,4,0,King's Cup,Bangkok,Thailand,True
1970-11-14,Laos,Singapore,3,0,King's Cup,Bangkok,Thailand,True
1970-11-16,Hong Kong,Laos,4,2,King's Cup,Bangkok,Thailand,True
1971-12-12,Malaysia,Laos,5,0,Southeast Asian Peninsular Games,Malaysia,Malaysia,False
1971-12-14,Laos,Cambodia,0,2,Southeast Asian Peninsular Games,Malaysia,Malaysia,True
1971-12-15,Thailand,Laos,3,0,Southeast Asian Peninsular Games,Malaysia,Malaysia,True
1972-06-09,Laos,Malaysia,1,2,Indonesia Tournament,Jakarta,Indonesia,True
1972-06-11,Myanmar,Laos,6,1,Indonesia Tournament,Jakarta,Indonesia,True
1972-06-13,Laos,Sri Lanka,1,3,Indonesia Tournament,Jakarta,Indonesia,True
1973-09-02,Myanmar,Laos,8,0,Southeast Asian Peninsular Games,Singapore,Singapore,True
1973-09-04,Vietnam Republic,Laos,5,1,Southeast Asian Peninsular Games,Singapore,Singapore,True
1973-12-15,Laos,Singapore,3,2,King's Cup,Bangkok,Thailand,True
1973-12-17,Thailand,Laos,5,0,King's Cup,Bangkok,Thailand,False
1973-12-19,Myanmar,Laos,2,1,King's Cup,Bangkok,Thailand,True
1974-11-01,Vietnam Republic,Laos,1,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1974-11-02,Laos,Malaysia,0,0,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1974-11-05,Laos,Taiwan,1,2,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1974-12-10,Laos,Singapore,0,2,King's Cup,Bangkok,Thailand,True
1974-12-12,Thailand,Laos,6,1,King's Cup,Bangkok,Thailand,False
1974-12-14,Laos,Malaysia,2,2,King's Cup,Bangkok,Thailand,True
1993-06-07,Laos,Brunei,3,2,Southeast Asian Games,Singapore,Singapore,True
1993-06-09,Myanmar,Laos,7,1,Southeast Asian Games,Jurong Stadium,Singapore,True
1993-06-11,Malaysia,Laos,9,0,Southeast Asian Games,Jurong Stadium,Singapore,True
1993-06-13,Thailand,Laos,4,1,Southeast Asian Games,Singapore,Singapore,True
1995-12-06,Laos,Philippines,1,0,Southeast Asian Games,Chiang Mai,Thailand,True
1995-12-08,Laos,Brunei,3,0,Southeast Asian Games,Chiang Mai,Thailand,True
1995-12-10,Singapore,Laos,0,0,Southeast Asian Games,Chiang Mai,Thailand,True
1995-12-12,Myanmar,Laos,1,0,Southeast Asian Games,Chiang Mai,Thailand,True
1996-09-02,Laos,Indonesia,1,5,AFF Championship,Singapore,Singapore,True
1996-09-05,Laos,Vietnam,1,1,AFF Championship,Singapore,Singapore,True
1996-09-09,Laos,Cambodia,1,0,AFF Championship,Singapore,Singapore,True
1996-09-11,Laos,Myanmar,2,4,AFF Championship,Singapore,Singapore,True
1997-10-05,Indonesia,Laos,5,2,Southeast Asian Games,Jakarta,Indonesia,False
1997-10-09,Laos,Philippines,4,1,Southeast Asian Games,Jakarta,Indonesia,True
1997-10-12,Vietnam,Laos,2,1,Southeast Asian Games,Jakarta,Indonesia,True
1997-10-14,Laos,Malaysia,1,0,Southeast Asian Games,Jakarta,Indonesia,True
1998-03-16,Laos,Brunei,2,1,AFF Championship qualification,Yangon,Myanmar,True
1998-03-18,Myanmar,Laos,3,0,AFF Championship qualification,Yangon,Myanmar,False
1998-08-26,Vietnam,Laos,4,1,AFF Championship,Hanoi,Vietnam,False
1998-08-28,Malaysia,Laos,0,0,AFF Championship,Hanoi,Vietnam,True
1998-08-30,Singapore,Laos,4,1,AFF Championship,Hanoi,Vietnam,True
1998-12-03,Laos,Kazakhstan,0,5,Asian Games,Sisaket,Thailand,True
1998-12-05,Iran,Laos,6,1,Asian Games,Sisaket,Thailand,True
1999-07-30,Vietnam,Laos,9,0,Southeast Asian Games,Bandar Seri Begawan,Brunei,True
1999-08-01,Laos,Thailand,1,4,Southeast Asian Games,Bandar Seri Begawan,Brunei,True
1999-08-03,Philippines,Laos,2,3,Southeast Asian Games,Bandar Seri Begawan,Brunei,True
1999-08-05,Laos,Myanmar,0,0,Southeast Asian Games,Bandar Seri Begawan,Brunei,True
2000-04-05,South Korea,Laos,9,0,AFC Asian Cup qualification,Seoul,South Korea,False
2000-04-07,Myanmar,Laos,4,0,AFC Asian Cup qualification,Seoul,South Korea,True
2000-04-09,Laos,Mongolia,2,1,AFC Asian Cup qualification,Seoul,South Korea,True
2000-11-07,Laos,Malaysia,0,5,AFF Championship,Songkhla,Thailand,True
2000-11-09,Singapore,Laos,3,0,AFF Championship,Songkhla,Thailand,True
2000-11-11,Cambodia,Laos,3,0,AFF Championship,Songkhla,Thailand,True
2000-11-13,Laos,Vietnam,0,5,AFF Championship,Songkhla,Thailand,True
2001-04-30,Oman,Laos,12,0,FIFA World Cup qualification,Muscat,Oman,False
2001-05-04,Oman,Laos,7,0,FIFA World Cup qualification,Muscat,Oman,False
2001-05-07,Syria,Laos,11,0,FIFA World Cup qualification,Aleppo,Syria,False
2001-05-11,Syria,Laos,9,0,FIFA World Cup qualification,Aleppo,Syria,False
