Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1922-09-24,Latvia,Estonia,1,1,Friendly,Riga,Latvia,False
1923-07-24,Estonia,Latvia,1,1,Friendly,Tallinn,Estonia,False
1924-05-27,France,Latvia,7,0,Olympic Games,Paris,France,False
1924-06-22,Latvia,Turkey,1,3,Friendly,Riga,Latvia,False
1924-08-14,Latvia,Finland,0,2,Friendly,Riga,Latvia,False
1924-10-18,Latvia,Estonia,2,0,Friendly,Riga,Latvia,False
1925-08-09,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1925-08-26,Estonia,Latvia,2,2,Friendly,Tallinn,Estonia,False
1925-09-20,Latvia,Lithuania,2,2,Friendly,Riga,Latvia,False
1926-07-20,Latvia,Sweden,4,1,Friendly,Riga,Latvia,False
1926-08-12,Latvia,Finland,1,4,Friendly,Riga,Latvia,False
1926-08-21,Lithuania,Latvia,2,3,Friendly,Kaunas,Lithuania,False
1926-09-19,Latvia,Estonia,0,1,Friendly,Riga,Latvia,False
1927-05-29,Sweden,Latvia,12,0,Friendly,Stockholm,Sweden,False
1927-06-16,Estonia,Latvia,4,1,Friendly,Tallinn,Estonia,False
1927-07-27,Latvia,Lithuania,6,3,Friendly,Riga,Latvia,False
1927-09-11,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1927-09-25,Latvia,Estonia,4,1,Friendly,Riga,Latvia,False
1928-07-06,Latvia,Sweden,0,4,Friendly,Riga,Latvia,False
1928-07-25,Latvia,Lithuania,3,0,Baltic Cup,Tallinn,Estonia,True
1928-07-27,Estonia,Latvia,0,1,Baltic Cup,Tallinn,Estonia,False
1928-08-19,Latvia,Finland,2,1,Friendly,Riga,Latvia,False
1928-09-01,Lithuania,Latvia,1,1,Friendly,Kaunas,Lithuania,False
1928-09-23,Latvia,Estonia,1,1,Friendly,Riga,Latvia,False
1929-07-28,Sweden,Latvia,10,0,Friendly,Malmö,Sweden,False
1929-08-14,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,False
1929-08-15,Latvia,Estonia,2,2,Baltic Cup,Riga,Latvia,False
1929-09-15,Finland,Latvia,3,1,Friendly,Helsinki,Finland,False
1929-09-18,Estonia,Latvia,4,1,Friendly,Tallinn,Estonia,False
1930-06-27,Estonia,Latvia,1,1,Friendly,Tallinn,Estonia,False
1930-07-22,Latvia,Sweden,0,5,Friendly,Riga,Latvia,False
1930-08-04,Latvia,Finland,3,0,Friendly,Riga,Latvia,False
1930-08-16,Latvia,Estonia,3,2,Baltic Cup,Kaunas,Lithuania,True
1930-08-17,Lithuania,Latvia,3,3,Baltic Cup,Kaunas,Lithuania,False
1930-10-26,Poland,Latvia,6,0,Friendly,Warsaw,Poland,False
1931-05-28,Latvia,Estonia,0,1,Friendly,Riga,Latvia,False
1931-06-30,Latvia,Lithuania,5,2,Friendly,Riga,Latvia,False
1931-07-05,Latvia,Poland,0,5,Friendly,Riga,Latvia,False
1931-07-26,Sweden,Latvia,6,0,Friendly,Västerås,Sweden,False
1931-08-19,Finland,Latvia,4,0,Friendly,Helsinki,Finland,False
1931-08-31,Latvia,Lithuania,1,0,Baltic Cup,Tallinn,Estonia,True
1931-09-01,Estonia,Latvia,3,1,Baltic Cup,Tallinn,Estonia,False
1931-09-27,Latvia,Estonia,2,1,Friendly,Riga,Latvia,False
1932-06-01,Estonia,Latvia,3,0,Friendly,Tallinn,Estonia,False
1932-06-29,Lithuania,Latvia,2,3,Friendly,Kaunas,Lithuania,False
1932-07-13,Latvia,Sweden,0,0,Friendly,Riga,Latvia,False
1932-07-24,Latvia,Lithuania,2,1,Friendly,Liepāja,Latvia,False
1932-08-28,Latvia,Lithuania,4,1,Baltic Cup,Riga,Latvia,False
1932-08-30,Latvia,Estonia,1,0,Baltic Cup,Riga,Latvia,False
1932-09-11,Lithuania,Latvia,1,0,Friendly,Kaunas,Lithuania,False
1932-10-02,Poland,Latvia,2,1,Friendly,Warsaw,Poland,False
1933-05-28,Latvia,Estonia,2,0,Friendly,Riga,Latvia,False
1933-06-12,Latvia,Lithuania,6,2,Friendly,Riga,Latvia,False
1933-07-04,Latvia,Sweden,1,1,Friendly,Riga,Latvia,False
1933-08-09,Estonia,Latvia,2,1,Friendly,Tallinn,Estonia,False
