Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1970-08-08,Malawi,Lesotho,1,2,Friendly,Lilongwe,Malawi,False
1970-08-10,Malawi,Lesotho,6,1,Friendly,Lilongwe,Malawi,False
1971-03-07,Lesotho,Madagascar,1,2,Friendly,Maseru,Lesotho,False
1971-10-08,Lesotho,Malawi,0,0,Friendly,Maseru,Lesotho,False
1971-10-10,Lesotho,Malawi,0,2,Friendly,Maseru,Lesotho,False
1972-04-30,Lesotho,Zambia,0,0,FIFA World Cup qualification,Maseru,Lesotho,False
1972-06-04,Zambia,Lesotho,6,1,FIFA World Cup qualification,Ndola,Zambia,False
1972-07-06,Malawi,Lesotho,1,0,Friendly,Blantyre,Malawi,False
1972-07-08,Malawi,Lesotho,4,0,Friendly,Blantyre,Malawi,False
1972-10-04,Lesotho,Zambia,1,1,Friendly,Maseru,Lesotho,False
1972-10-08,Lesotho,Zambia,1,1,Friendly,Maseru,Lesotho,False
1973-04-08,Lesotho,Mauritius,0,0,African Cup of Nations qualification,Maseru,Lesotho,False
1973-04-22,Mauritius,Lesotho,5,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1976-02-08,Malawi,Lesotho,4,1,Friendly,Zomba,Malawi,False
1977-11-11,Malawi,Lesotho,3,0,Friendly,Zomba,Malawi,False
1977-11-13,Malawi,Lesotho,6,1,Friendly,Zomba,Malawi,False
1978-03-12,Lesotho,Kenya,0,1,Friendly,Maseru,Lesotho,False
1978-04-30,Kenya,Lesotho,1,0,Friendly,Nairobi,Kenya,False
1978-12-03,Mauritius,Lesotho,0,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1978-12-17,Lesotho,Mauritius,1,2,African Cup of Nations qualification,Maseru,Lesotho,False
1979-06-24,Malawi,Lesotho,1,0,Friendly,Lilongwe,Malawi,False
1979-06-26,Malawi,Lesotho,1,2,Friendly,Blantyre,Malawi,False
1979-08-25,Lesotho,Malawi,0,3,Friendly,Maseru,Lesotho,False
1980-06-22,Guinea,Lesotho,3,1,FIFA World Cup qualification,Conakry,Guinea,False
1980-07-06,Lesotho,Guinea,1,1,FIFA World Cup qualification,Maseru,Lesotho,False
1980-08-10,Mozambique,Lesotho,6,1,African Cup of Nations qualification,Maputo,Mozambique,False
1980-08-24,Lesotho,Mozambique,2,1,African Cup of Nations qualification,Maseru,Lesotho,False
1981-04-18,Lesotho,Mozambique,0,2,Friendly,Umtali,Zimbabwe,True
1981-09-04,Eswatini,Lesotho,1,1,Friendly,Mbabane,Swaziland,False
1981-09-05,Lesotho,Malawi,1,4,Friendly,Mbabane,Swaziland,True
1981-09-06,Lesotho,Zimbabwe,2,5,Friendly,Mbabane,Swaziland,True
1984-07-01,Eswatini,Lesotho,3,1,Friendly,Lobamba,Swaziland,False
1990-03-07,Lesotho,Zimbabwe,1,4,Friendly,Maputo,Mozambique,True
1990-03-10,Angola,Lesotho,3,1,Friendly,Maputo,Mozambique,True
1990-03-11,Mozambique,Lesotho,3,0,Friendly,Maputo,Mozambique,False
1992-06-14,Lesotho,Botswana,0,0,African Cup of Nations qualification,Maseru,Lesotho,False
1992-06-28,Botswana,Lesotho,0,4,African Cup of Nations qualification,Gaborone,Botswana,False
1992-08-01,Lesotho,Namibia,2,0,Friendly,Maseru,Lesotho,False
1992-08-02,Lesotho,Namibia,2,2,Friendly,Maseru,Lesotho,False
1992-08-08,Lesotho,Mauritius,1,0,Friendly,Maseru,Lesotho,False
1992-08-09,Lesotho,Mauritius,2,2,Friendly,Maseru,Lesotho,False
1992-08-16,Lesotho,Kenya,2,2,African Cup of Nations qualification,Maseru,Lesotho,False
1992-08-30,Mozambique,Lesotho,3,0,African Cup of Nations qualification,Maputo,Mozambique,False
1993-04-11,Lesotho,DR Congo,1,1,African Cup of Nations qualification,Maseru,Lesotho,False
1993-04-24,Kenya,Lesotho,3,0,African Cup of Nations qualification,Nairobi,Kenya,False
1993-07-11,Lesotho,Mozambique,1,1,African Cup of Nations qualification,Maseru,Lesotho,False
1993-07-25,DR Congo,Lesotho,7,0,African Cup of Nations qualification,Kinshasa,Zaïre,False
1997-01-26,Eswatini,Lesotho,3,1,Friendly,Lobamba,Swaziland,False
1997-02-23,Botswana,Lesotho,1,4,Friendly,Jwaneng,Botswana,False
1997-03-02,Lesotho,Zambia,0,2,COSAFA Cup qualification,Maseru,Lesotho,False
1997-12-18,Lesotho,Eswatini,0,0,Friendly,Maseru,Lesotho,False
1997-12-21,Mozambique,Lesotho,1,1,Friendly,Maputo,Mozambique,False
1997-12-28,Lesotho,Eswatini,0,0,Friendly,Maseru,Lesotho,False
1998-01-12,Lesotho,Botswana,0,0,Friendly,Maseru,Lesotho,False
1998-01-18,Lesotho,Zimbabwe,0,2,COSAFA Cup qualification,Maseru,Lesotho,False
1998-08-02,Lesotho,Mauritius,1,1,African Cup of Nations qualification,Maseru,Lesotho,False
1998-08-23,Mauritius,Lesotho,3,1,African Cup of Nations qualification,Curepipe,Mauritius,False
1999-02-07,Lesotho,Namibia,1,0,COSAFA Cup qualification,Maseru,Lesotho,False
1999-04-25,Eswatini,Lesotho,4,1,Friendly,Lobamba,Swaziland,False
1999-05-30,Lesotho,Mauritius,1,2,Friendly,Maseru,Lesotho,False
1999-07-04,Lesotho,Angola,0,1,COSAFA Cup,Maseru,Lesotho,False
1999-08-15,Lesotho,Eswatini,0,3,Friendly,Maseru,Lesotho,False
2000-02-20,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,False
2000-02-27,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,False
2000-03-01,Zambia,Lesotho,2,0,Friendly,Lusaka,Zambia,False
2000-03-05,Zimbabwe,Lesotho,2,1,COSAFA Cup,Harare,Zimbabwe,False
2000-04-09,Lesotho,South Africa,0,2,FIFA World Cup qualification,Maseru,Lesotho,False
2000-04-22,South Africa,Lesotho,1,0,FIFA World Cup qualification,Bloemfontein,South Africa,False
2000-06-01,Eswatini,Lesotho,0,1,Friendly,Lobamba,Swaziland,False
2000-06-02,Lesotho,Mozambique,0,0,Friendly,Mbabane,Swaziland,True
2000-06-04,Botswana,Lesotho,1,1,Friendly,Mbabane,Swaziland,True
2000-06-11,Lesotho,Zambia,0,0,COSAFA Cup,Maseru,Lesotho,False
2000-07-02,Lesotho,Mozambique,1,0,African Cup of Nations qualification,Maseru,Lesotho,False
2000-07-16,Mozambique,Lesotho,1,0,African Cup of Nations qualification,Maputo,Mozambique,False
2000-07-23,Lesotho,Angola,2,1,COSAFA Cup,Maseru,Lesotho,False
2000-08-13,Lesotho,Zimbabwe,0,3,COSAFA Cup,Maseru,Lesotho,False
2000-08-27,Zimbabwe,Lesotho,3,0,COSAFA Cup,Bulawayo,Zimbabwe,False
2000-09-03,Lesotho,Ghana,3,3,African Cup of Nations qualification,Maseru,Lesotho,False
2000-10-01,Kenya,Lesotho,1,1,Friendly,Nairobi,Kenya,False
2000-10-10,DR Congo,Lesotho,1,1,African Cup of Nations qualification,Kinshasa,DR Congo,False
2001-01-07,Angola,Lesotho,2,0,Friendly,Manzini,Swaziland,True
2001-01-09,Eswatini,Lesotho,2,2,Friendly,Manzini,Swaziland,False
2001-01-14,Zimbabwe,Lesotho,1,2,African Cup of Nations qualification,Bulawayo,Zimbabwe,False
2001-01-28,Botswana,Lesotho,2,1,Friendly,Gaborone,Botswana,False
2001-03-10,Lesotho,Mozambique,0,0,Friendly,Maseru,Lesotho,False
2001-03-11,Lesotho,Eswatini,2,1,Friendly,Maseru,Lesotho,False
2001-03-24,Lesotho,Zimbabwe,0,1,African Cup of Nations qualification,Maseru,Lesotho,False
2001-04-22,Mozambique,Lesotho,1,0,Friendly,Beira,Mozambique,False
2001-05-20,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,False
2001-06-03,Lesotho,DR Congo,0,0,African Cup of Nations qualification,Maseru,Lesotho,False
2001-06-17,Ghana,Lesotho,3,1,African Cup of Nations qualification,Kumasi,Ghana,False
