Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1961-12-25,Central African Republic,Liberia,1,1,African Friendship Games,Abidjan,Ivory Coast,True
1961-12-26,Ivory Coast,Liberia,5,0,African Friendship Games,Abidjan,Ivory Coast,False
1961-12-27,Burkina Faso,Liberia,5,1,African Friendship Games,Abidjan,Ivory Coast,True
1963-04-12,Liberia,Chad,2,1,African Friendship Games,Dakar,Senegal,True
1963-04-14,Benin,Liberia,1,0,African Friendship Games,Dakar,Senegal,True
1963-04-16,Madagascar,Liberia,3,1,African Friendship Games,Dakar,Senegal,True
1963-10-08,Liberia,Nigeria,2,2,Friendly,Monrovia,Liberia,False
1963-10-26,Nigeria,Liberia,3,0,Friendly,Lagos,Nigeria,False
1965-05-29,Liberia,Ivory Coast,0,1,African Cup of Nations qualification,Monrovia,Liberia,False
1965-08-14,Liberia,DR Congo,2,1,African Cup of Nations qualification,Monrovia,Liberia,False
1965-09-21,DR Congo,Liberia,3,2,African Cup of Nations qualification,Brazzaville,Congo,True
1965-09-21,Ivory Coast,Liberia,4,0,African Cup of Nations qualification,Abidjan,Ivory Coast,False
1966-11-12,Sierra Leone,Liberia,1,1,Friendly,Freetown,Sierra Leone,False
1966-11-19,Liberia,Sierra Leone,2,0,Friendly,Monrovia,Liberia,False
1967-01-26,Liberia,Guinea,2,2,African Cup of Nations qualification,Monrovia,Liberia,False
1967-03-05,Ivory Coast,Liberia,1,1,Friendly,Abidjan,Ivory Coast,False
1967-04-02,Guinea,Liberia,3,0,African Cup of Nations qualification,Conakry,Guinea,False
1967-04-09,Liberia,Senegal,1,1,African Cup of Nations qualification,Monrovia,Liberia,False
1967-07-02,Senegal,Liberia,4,1,African Cup of Nations qualification,Dakar,Senegal,False
1967-10-20,Liberia,DR Congo,1,4,Friendly,Monrovia,Liberia,False
1971-03-01,Madagascar,Liberia,2,1,Friendly,Antananarivo,Madagascar,False
1971-03-24,Togo,Liberia,0,2,Friendly,Lomé,Togo,False
1972-05-31,Liberia,Guinea,0,2,Friendly,Monrovia,Liberia,False
1972-11-24,Liberia,Nigeria,1,3,Friendly,Monrovia,Liberia,False
1972-12-29,Liberia,Ghana,2,2,Friendly,Monrovia,Liberia,False
1974-11-10,Togo,Liberia,1,0,African Cup of Nations qualification,Lomé,Togo,False
1974-11-22,Liberia,Togo,0,2,African Cup of Nations qualification,Monrovia,Liberia,False
1975-01-30,Liberia,Cameroon,2,0,Friendly,Monrovia,Liberia,False
1975-02-09,Liberia,Nigeria,0,1,Friendly,Monrovia,Liberia,False
1976-04-25,Sierra Leone,Liberia,1,0,Friendly,Freetown,Sierra Leone,False
1979-01-28,Liberia,Guinea,2,1,Friendly,Monrovia,Liberia,False
1979-02-01,Liberia,Senegal,1,1,Friendly,Monrovia,Liberia,False
1979-02-04,Liberia,Gambia,1,0,Friendly,Monrovia,Liberia,False
1979-06-24,Ghana,Liberia,0,0,Friendly,Accra,Ghana,False
1979-07-26,Liberia,Ghana,3,1,Friendly,Monrovia,Liberia,False
1979-10-25,Liberia,Nigeria,2,2,Friendly,Monrovia,Liberia,False
1980-01-26,Nigeria,Liberia,1,0,Friendly,Lagos,Nigeria,False
1980-10-25,Liberia,Mali,1,1,Friendly,Monrovia,Liberia,False
1980-11-09,Liberia,Gambia,0,0,African Cup of Nations qualification,Monrovia,Liberia,False
1980-11-23,Gambia,Liberia,1,1,African Cup of Nations qualification,Banjul,Gambia,False
