Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1957-06-02,Tunisia,Libya,4,2,Friendly,Tunis,Tunisia,False
1958-04-03,Morocco,Libya,3,1,Friendly,Casablanca,Morocco,False
1958-05-09,Tunisia,Libya,4,1,Friendly,Tunis,Tunisia,False
1962-03-11,Libya,Tunisia,6,3,Friendly,Tripoli,Libya,False
1962-06-03,Tunisia,Libya,2,2,Friendly,Tunis,Tunisia,False
1964-03-08,Libya,Lebanon,0,1,Friendly,Tripoli,Libya,False
1964-03-15,Libya,Malta,2,2,Friendly,Tripoli,Libya,False
1964-11-14,Libya,Lebanon,2,1,Arab Cup,Kuwait City,Kuwait,True
1964-11-16,Jordan,Libya,2,5,Arab Cup,Kuwait City,Kuwait,True
1964-11-17,Iraq,Libya,1,1,Arab Cup,Kuwait City,Kuwait,True
1964-11-19,Kuwait,Libya,1,1,Arab Cup,Kuwait City,Kuwait,False
1965-03-14,Libya,Kuwait,4,1,Friendly,Tripoli,Libya,False
1965-03-19,Libya,Morocco,1,0,Friendly,Tripoli,Libya,False
1966-02-13,Malta,Libya,1,0,Friendly,Gżira,Malta,False
1966-03-11,Libya,Morocco,4,0,Friendly,Tripoli,Libya,False
1966-03-14,Libya,Iraq,0,2,Friendly,Tripoli,Libya,False
1966-03-27,Libya,Malta,0,1,Friendly,Tripoli,Libya,False
1966-04-01,Libya,Palestine,0,0,Arab Cup,Baghdad,Iraq,True
1966-04-03,Libya,Oman,21,0,Arab Cup,Baghdad,Iraq,True
1966-04-04,Libya,Syria,0,0,Arab Cup,Baghdad,Iraq,True
1966-04-06,Libya,Yemen,13,0,Arab Cup,Kut,Iraq,True
1966-04-09,Iraq,Libya,3,1,Arab Cup,Baghdad,Iraq,False
1966-04-10,Libya,Lebanon,6,1,Arab Cup,Baghdad,Iraq,True
1966-05-25,Lithuania,Libya,6,0,Friendly,Vilnius,Lithuania,False
1966-12-09,Libya,Egypt,2,2,African Cup of Nations qualification,Tripoli,Libya,False
1967-02-15,Greece,Libya,4,0,Friendly,Athens,Greece,False
1967-03-07,Libya,Sudan,1,1,Friendly,Tripoli,Libya,False
1967-03-12,Libya,Iraq,0,1,Friendly,Tripoli,Libya,False
1967-03-24,Egypt,Libya,3,2,African Cup of Nations qualification,Cairo,Egypt,False
1969-01-26,Libya,Ethiopia,2,0,FIFA World Cup qualification,Tripoli,Libya,False
1969-02-09,Ethiopia,Libya,5,1,FIFA World Cup qualification,Addis Ababa,Ethiopia,False
1970-09-01,Libya,Tunisia,2,2,Friendly,Benghazi,Libya,False
1970-09-04,Libya,Tunisia,3,2,Friendly,Tripoli,Libya,False
1970-09-24,Tunisia,Libya,2,0,Friendly,Tunis,Tunisia,False
1970-12-27,Libya,Egypt,0,1,African Cup of Nations qualification,Tripoli,Libya,False
1971-01-03,Egypt,Libya,2,1,African Cup of Nations qualification,Cairo,Egypt,False
1971-07-09,Libya,Syria,2,1,Friendly,Benghazi,Libya,False
1971-07-13,Libya,Egypt,0,2,Friendly,Benghazi,Libya,False
1971-07-16,Libya,Sudan,4,6,Friendly,Benghazi,Libya,False
1971-07-18,Libya,Egypt,2,0,Friendly,Tripoli,Libya,False
1971-11-24,Libya,Algeria,0,0,Friendly,Tripoli,Libya,False
1971-12-19,Niger,Libya,0,1,Friendly,Niamey,Niger,False
1972-01-01,Kuwait,Libya,3,2,Palestine Cup,Baghdad,Iraq,True
1972-01-05,Iraq,Libya,3,0,Palestine Cup,Baghdad,Iraq,False
1972-01-07,Egypt,Libya,1,1,Palestine Cup,Baghdad,Iraq,True
1973-08-11,Libya,United Arab Emirates,2,2,Palestine Cup,Benghazi,Libya,False
1973-08-14,Libya,Yemen,10,0,Palestine Cup,Benghazi,Libya,False
1973-08-18,Libya,Iraq,0,0,Palestine Cup,Benghazi,Libya,False
1973-08-21,Libya,Algeria,0,2,Palestine Cup,Benghazi,Libya,False
1974-06-07,Libya,Iraq,1,0,Friendly,Tripoli,Libya,False
1974-08-24,Malta,Libya,0,1,Friendly,Gżira,Malta,False
1974-09-04,Libya,Malta,0,0,Friendly,Tripoli,Libya,False
1974-09-06,Libya,DR Congo,0,2,Friendly,Tripoli,Libya,False
1974-09-10,Libya,Somalia,3,2,Friendly,Tripoli,Libya,False
