Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1923-06-24,Lithuania,Estonia,0,5,Friendly,Kaunas,Lithuania,False
1924-05-25,Switzerland,Lithuania,9,0,Olympic Games,Vincennes,France,True
1924-05-27,Egypt,Lithuania,10,0,Friendly,Vincennes,France,True
1924-08-24,Estonia,Lithuania,1,2,Friendly,Tallinn,Estonia,False
1925-06-28,Lithuania,Estonia,0,1,Friendly,Kaunas,Lithuania,False
1925-09-20,Latvia,Lithuania,2,2,Friendly,Riga,Latvia,False
1926-06-13,Estonia,Lithuania,3,1,Friendly,Tallinn,Estonia,False
1926-08-21,Lithuania,Latvia,2,3,Friendly,Kaunas,Lithuania,False
1927-07-27,Latvia,Lithuania,6,3,Friendly,Riga,Latvia,False
1927-08-13,Lithuania,Estonia,0,5,Friendly,Kaunas,Lithuania,False
1928-07-25,Latvia,Lithuania,3,0,Baltic Cup,Tallinn,Estonia,True
1928-07-26,Estonia,Lithuania,6,0,Baltic Cup,Tallinn,Estonia,False
1928-09-01,Lithuania,Latvia,1,1,Friendly,Kaunas,Lithuania,False
1929-08-14,Latvia,Lithuania,3,1,Baltic Cup,Riga,Latvia,False
1929-08-16,Estonia,Lithuania,5,2,Baltic Cup,Riga,Latvia,True
1930-08-15,Lithuania,Estonia,2,1,Baltic Cup,Kaunas,Lithuania,False
1930-08-17,Lithuania,Latvia,3,3,Baltic Cup,Kaunas,Lithuania,False
1930-09-13,Lithuania,Estonia,4,0,Friendly,Klaipėda,Lithuania,False
1931-06-09,Estonia,Lithuania,4,1,Friendly,Tallinn,Estonia,False
1931-06-30,Latvia,Lithuania,5,2,Friendly,Riga,Latvia,False
1931-08-26,Lithuania,Romania,2,4,Friendly,Kaunas,Lithuania,False
1931-08-30,Estonia,Lithuania,2,0,Baltic Cup,Tallinn,Estonia,False
1931-08-31,Latvia,Lithuania,1,0,Baltic Cup,Tallinn,Estonia,True
1932-06-29,Lithuania,Latvia,2,3,Friendly,Kaunas,Lithuania,False
1932-07-24,Latvia,Lithuania,2,1,Friendly,Liepāja,Latvia,False
1932-08-06,Lithuania,Estonia,1,0,Friendly,Kaunas,Lithuania,False
1932-08-28,Latvia,Lithuania,4,1,Baltic Cup,Riga,Latvia,False
1932-08-29,Estonia,Lithuania,1,2,Baltic Cup,Riga,Latvia,True
1932-09-11,Lithuania,Latvia,1,0,Friendly,Kaunas,Lithuania,False
1932-09-25,Sweden,Lithuania,8,1,Friendly,Stockholm,Sweden,False
