Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1957-08-28,Malawi,Zambia,0,5,Friendly,Blantyre,Nyasaland,False
1962-10-15,Malawi,Ghana,0,12,Friendly,Blantyre,Nyasaland,False
1962-12-08,Tanzania,Malawi,6,2,Friendly,Dar es Salaam,Tanganyika,False
1963-07-06,Zambia,Malawi,5,1,Friendly,Kitwe,Northern Rhodesia,False
1964-07-04,Malawi,Zambia,0,5,Friendly,Blantyre,Nyasaland,False
1966-07-01,Zambia,Malawi,4,1,Friendly,Ndola,Zambia,False
1966-07-04,Malawi,Zambia,0,3,Friendly,Blantyre,Malawi,False
1966-07-06,Malawi,Zambia,0,6,Friendly,Blantyre,Malawi,False
1966-07-08,Malawi,Zambia,1,5,Friendly,Blantyre,Malawi,False
1966-07-09,Malawi,Madagascar,1,6,Friendly,Lilongwe,Malawi,False
1967-11-12,Zimbabwe,Malawi,1,0,Friendly,Salisbury,Southern Rhodesia,False
1968-05-01,Eswatini,Malawi,2,0,Friendly,Mbabane,Swaziland,False
1968-07-06,Malawi,Kenya,2,2,Friendly,Blantyre,Malawi,False
1968-07-13,Malawi,Botswana,8,1,Friendly,Blantyre,Malawi,False
1968-07-20,Eswatini,Malawi,2,0,Friendly,Mbabane,Swaziland,False
1969-02-01,Malawi,Zimbabwe,2,2,Friendly,Zomba,Malawi,False
1969-02-08,Zimbabwe,Malawi,4,0,Friendly,Salisbury,Southern Rhodesia,False
1969-02-09,Zimbabwe,Malawi,1,1,Friendly,Salisbury,Southern Rhodesia,False
1969-07-01,Madagascar,Malawi,3,0,Friendly,Antananarivo,Madagascar,False
1969-07-06,Malawi,Eswatini,3,0,Friendly,Blantyre,Malawi,False
1969-08-30,Zambia,Malawi,4,0,Friendly,Lusaka,Zambia,False
1969-08-31,Zambia,Malawi,5,0,Friendly,Ndola,Zambia,False
1969-09-02,Zambia,Malawi,7,0,Friendly,Kitwe,Zambia,False
1969-12-01,Malawi,Zimbabwe,2,2,Friendly,Blantyre,Malawi,False
1970-07-06,Malawi,Mauritius,1,0,Friendly,Zomba,Malawi,False
1970-07-09,Malawi,Mauritius,0,0,Friendly,Lilongwe,Malawi,False
1970-08-08,Malawi,Lesotho,1,2,Friendly,Lilongwe,Malawi,False
1970-08-10,Malawi,Lesotho,6,1,Friendly,Lilongwe,Malawi,False
1970-12-19,Senegal,Malawi,4,1,Friendly,Dakar,Senegal,False
1971-03-18,Malawi,Zambia,5,4,Friendly,Zomba,Malawi,False
1971-03-20,Malawi,Zambia,1,3,Friendly,Blantyre,Malawi,False
1971-03-23,Malawi,Zambia,0,3,Friendly,Blantyre,Malawi,False
1971-05-25,Uganda,Malawi,3,3,Friendly,Kampala,Uganda,False
1971-07-06,Malawi,Uganda,3,1,Friendly,Blantyre,Malawi,False
1971-07-10,Malawi,Uganda,0,1,Friendly,Blantyre,Malawi,False
1971-10-08,Lesotho,Malawi,0,0,Friendly,Maseru,Lesotho,False
