Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1953-04-16,Malaysia,South Korea,2,3,Friendly,Kallang,Singapore,True
1956-03-17,Malaysia,Cambodia,9,2,AFC Asian Cup qualification,Kuala Lumpur,Malaya,True
1956-04-24,Cambodia,Malaysia,3,2,AFC Asian Cup qualification,Phnom Penh,Cambodia,False
1956-05-03,Vietnam Republic,Malaysia,4,0,AFC Asian Cup qualification,Saigon,Vietnam Republic,False
1956-05-24,Malaysia,Vietnam Republic,3,3,AFC Asian Cup qualification,Kuala Lumpur,Malaya,True
1957-02-16,Malaysia,India,2,3,Friendly,Kuala Lumpur,Malaya,False
1957-09-01,Malaysia,Myanmar,5,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-09-03,Malaysia,Vietnam Republic,1,4,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-09-07,Malaysia,Indonesia,4,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-10-31,Cambodia,Malaysia,1,3,Friendly,Phnom Penh,Cambodia,False
1958-03-01,Malaysia,Singapore,5,2,Friendly,Kuala Lumpur,Malaya,False
1958-03-02,Malaysia,Singapore,3,1,Friendly,Kuala Lumpur,Malaya,False
1958-05-03,Singapore,Malaysia,3,3,Friendly,Kallang,Singapore,False
1958-05-04,Singapore,Malaysia,0,3,Friendly,Kallang,Singapore,False
1958-05-14,Malaysia,Pakistan,4,2,Friendly,Kuala Lumpur,Malaya,False
1958-05-25,Taiwan,Malaysia,2,1,Asian Games,Tokyo,Japan,True
1958-05-27,Malaysia,Vietnam Republic,1,6,Asian Games,Tokyo,Japan,True
1958-06-04,Hong Kong,Malaysia,2,2,Friendly,Victoria,Hong Kong,False
1958-07-03,Malaysia,Indonesia,2,4,Friendly,Kallang,Singapore,True
1958-08-30,Malaysia,Indonesia,3,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1958-09-02,Malaysia,Singapore,0,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1958-09-04,Malaysia,Vietnam Republic,2,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1958-12-28,Malaysia,Japan,6,2,Friendly,Kuala Lumpur,Malaya,False
1959-01-04,Malaysia,Japan,1,3,Friendly,George Town,Malaya,True
1959-05-11,Singapore,Malaysia,2,5,AFC Asian Cup qualification,Kallang,Singapore,False
1959-05-13,Malaysia,Vietnam Republic,0,1,AFC Asian Cup qualification,Kallang,Singapore,True
1959-09-02,Malaysia,Vietnam Republic,4,3,Merdeka Tournament,Kuala Lumpur,Malaya,False
1959-09-04,Malaysia,India,1,1,Merdeka Tournament,Kuala Lumpur,Malaya,False
1959-09-07,Malaysia,South Korea,2,4,Friendly,Kuala Lumpur,Malaya,False
1959-12-13,Malaysia,Myanmar,2,1,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1959-12-14,Thailand,Malaysia,3,1,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1959-12-15,Malaysia,Vietnam Republic,2,1,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1960-04-20,Indonesia,Malaysia,5,0,Friendly,Surakarta,Indonesia,False
1960-05-06,Malaysia,India,0,0,Friendly,Kuala Lumpur,Malaya,False
1960-08-05,Malaysia,Japan,3,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1960-08-07,Malaysia,Thailand,8,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1960-08-12,Malaysia,Pakistan,1,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1960-08-14,Malaysia,South Korea,0,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-05-28,Japan,Malaysia,3,2,Friendly,Tokyo,Japan,False
1961-08-02,Malaysia,Japan,3,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-08-05,Malaysia,Vietnam Republic,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-08-09,Malaysia,India,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-08-13,Malaysia,Indonesia,1,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1961-10-23,Indonesia,Malaysia,1,3,Vietnam Independence Cup,Saigon,Vietnam Republic,True
1961-10-26,Vietnam Republic,Malaysia,1,0,Vietnam Independence Cup,Saigon,Vietnam Republic,False
1961-12-12,Malaysia,Cambodia,4,0,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-13,Myanmar,Malaysia,1,2,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-14,Malaysia,Thailand,2,2,Southeast Asian Peninsular Games,Rangoon,Burma,True
1961-12-16,Myanmar,Malaysia,0,2,Southeast Asian Peninsular Games,Rangoon,Burma,False
1962-08-26,Malaysia,Philippines,15,1,Asian Games,Jakarta,Indonesia,True
1962-08-28,Indonesia,Malaysia,2,3,Asian Games,Jakarta,Indonesia,False
