Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1979-08-27,Seychelles,Maldives,9,0,Indian Ocean Island Games,Réunion,Réunion,True
1979-08-28,Réunion,Maldives,9,0,Indian Ocean Island Games,Réunion,Réunion,False
1979-08-29,Comoros,Maldives,2,1,Indian Ocean Island Games,Réunion,Réunion,True
1984-09-18,Nepal,Maldives,4,0,South Asian Games,Kathmandu,Nepal,False
1984-09-19,Bangladesh,Maldives,5,0,South Asian Games,Kathmandu,Nepal,True
1984-09-21,Maldives,Bhutan,1,0,South Asian Games,Kathmandu,Nepal,True
1985-08-29,Comoros,Maldives,2,2,Indian Ocean Island Games,Mauritius,Mauritius,True
1985-08-30,Réunion,Maldives,9,0,Indian Ocean Island Games,Mauritius,Mauritius,True
1985-12-22,Pakistan,Maldives,3,1,South Asian Games,Dhaka,Bangladesh,True
1985-12-23,Bangladesh,Maldives,8,0,South Asian Games,Dhaka,Bangladesh,False
1987-11-22,Pakistan,Maldives,1,0,South Asian Games,Calcutta,India,True
1987-11-23,India,Maldives,5,0,South Asian Games,Calcutta,India,False
1989-10-20,Maldives,Nepal,0,0,South Asian Games,Islamabad,Pakistan,True
1989-10-24,Pakistan,Maldives,2,0,South Asian Games,Islamabad,Pakistan,False
1991-12-24,Maldives,Nepal,1,0,South Asian Games,Colombo,Sri Lanka,True
1991-12-26,Sri Lanka,Maldives,0,1,South Asian Games,Colombo,Sri Lanka,False
1991-12-29,Pakistan,Maldives,2,0,South Asian Games,Colombo,Sri Lanka,True
1993-12-20,Bangladesh,Maldives,0,0,South Asian Games,Dhaka,Bangladesh,False
1993-12-22,Nepal,Maldives,0,0,South Asian Games,Dhaka,Bangladesh,True
1993-12-26,Sri Lanka,Maldives,3,1,South Asian Games,Dhaka,Bangladesh,True
1995-12-19,Nepal,Maldives,1,0,South Asian Games,Madras,India,True
1995-12-21,Maldives,Bangladesh,0,0,South Asian Games,Madras,India,True
1996-06-27,Thailand,Maldives,8,0,AFC Asian Cup qualification,Bangkok,Thailand,False
1996-06-29,Maldives,Singapore,0,2,AFC Asian Cup qualification,Bangkok,Thailand,True
1996-07-01,Myanmar,Maldives,3,1,AFC Asian Cup qualification,Bangkok,Thailand,True
1996-07-04,Maldives,Thailand,0,8,AFC Asian Cup qualification,Singapore,Singapore,True
1996-07-07,Singapore,Maldives,5,2,AFC Asian Cup qualification,Singapore,Singapore,False
1996-07-09,Myanmar,Maldives,4,1,AFC Asian Cup qualification,Singapore,Singapore,True
1997-06-02,Maldives,Iran,0,17,FIFA World Cup qualification,Damascus,Syria,True
1997-06-04,Syria,Maldives,12,0,FIFA World Cup qualification,Damascus,Syria,False
1997-06-06,Kyrgyzstan,Maldives,3,0,FIFA World Cup qualification,Damascus,Syria,True
1997-06-09,Maldives,Syria,0,12,FIFA World Cup qualification,Tehran,Iran,True
1997-06-11,Iran,Maldives,9,0,FIFA World Cup qualification,Tehran,Iran,False
1997-06-13,Maldives,Kyrgyzstan,0,6,FIFA World Cup qualification,Tehran,Iran,True
1997-09-05,Maldives,Bangladesh,1,1,SAFF Cup,Kathmandu,Nepal,True
1997-09-09,Maldives,India,2,2,SAFF Cup,Kathmandu,Nepal,True
1997-09-10,Sri Lanka,Maldives,1,2,SAFF Cup,Kathmandu,Nepal,True
1997-09-13,India,Maldives,5,1,SAFF Cup,Kathmandu,Nepal,True
1998-11-15,Sri Lanka,Maldives,2,2,Friendly,Colombo,Sri Lanka,False
1998-12-01,Tajikistan,Maldives,3,0,Asian Games,Suphan Buri,Thailand,True
1998-12-05,Maldives,Qatar,0,4,Asian Games,Suphan Buri,Thailand,True
1999-04-23,Sri Lanka,Maldives,0,0,SAFF Cup,Margao,India,True
1999-04-27,Nepal,Maldives,2,3,SAFF Cup,Margao,India,True
1999-04-29,India,Maldives,2,1,SAFF Cup,Margao,India,False
1999-05-01,Maldives,Nepal,2,0,SAFF Cup,Margao,India,True
1999-09-24,Sri Lanka,Maldives,0,4,South Asian Games,Kathmandu,Nepal,True
1999-09-27,Bangladesh,Maldives,1,2,South Asian Games,Kathmandu,Nepal,True
1999-10-02,Nepal,Maldives,2,1,South Asian Games,Kathmandu,Nepal,False
1999-10-04,India,Maldives,3,1,South Asian Games,Kathmandu,Nepal,True
2000-02-15,Malaysia,Maldives,2,0,Friendly,Kuala Lumpur,Malaysia,False
2000-02-17,Malaysia,Maldives,3,0,Friendly,Kuala Lumpur,Malaysia,False
2000-03-31,Maldives,Iran,0,8,AFC Asian Cup qualification,Damascus,Syria,True
2000-04-02,Bahrain,Maldives,4,1,AFC Asian Cup qualification,Damascus,Syria,True
2000-04-04,Syria,Maldives,6,0,AFC Asian Cup qualification,Damascus,Syria,False
2000-04-09,Syria,Maldives,2,1,AFC Asian Cup qualification,Tehran,Iran,True
2000-04-11,Bahrain,Maldives,1,0,AFC Asian Cup qualification,Tehran,Iran,True
2000-04-13,Iran,Maldives,3,0,AFC Asian Cup qualification,Tehran,Iran,False
2000-05-01,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False
2000-05-04,Maldives,Bangladesh,1,1,Friendly,Malé,Maldives,False
2000-05-08,Maldives,India,1,0,Friendly,Malé,Maldives,False
2000-05-10,Maldives,Sri Lanka,1,1,Friendly,Malé,Maldives,False
2001-02-25,Oman,Maldives,5,0,Friendly,Muscat,Oman,False
2001-02-27,Oman,Maldives,2,0,Friendly,Muscat,Oman,False
2001-04-01,Maldives,Cambodia,6,0,FIFA World Cup qualification,Malé,Maldives,False
2001-04-08,Indonesia,Maldives,5,0,FIFA World Cup qualification,Jakarta,Indonesia,False
2001-04-15,Cambodia,Maldives,1,1,FIFA World Cup qualification,Phnom Penh,Cambodia,False
2001-04-22,China PR,Maldives,10,1,FIFA World Cup qualification,Xi'an,China PR,False
2001-04-28,Maldives,China PR,0,1,FIFA World Cup qualification,Malé,Maldives,False
2001-05-06,Maldives,Indonesia,0,2,FIFA World Cup qualification,Malé,Maldives,False
2002-04-04,Sri Lanka,Maldives,1,0,Friendly,Colombo,Sri Lanka,False
2002-04-06,Sri Lanka,Maldives,1,1,Friendly,Jaffna,Sri Lanka,False
2002-04-09,Singapore,Maldives,2,0,Friendly,Singapore,Singapore,False
2003-01-11,Maldives,Bhutan,6,0,SAFF Cup,Dhaka,Bangladesh,True
2003-01-13,Bangladesh,Maldives,1,0,SAFF Cup,Dhaka,Bangladesh,False
2003-01-15,Nepal,Maldives,2,3,SAFF Cup,Dhaka,Bangladesh,True
2003-01-18,Pakistan,Maldives,0,1,SAFF Cup,Dhaka,Bangladesh,True
2003-01-20,Bangladesh,Maldives,1,1,SAFF Cup,Dhaka,Bangladesh,False
2003-03-04,Singapore,Maldives,4,1,Friendly,Singapore,Singapore,False
2003-03-21,Maldives,Brunei,1,1,AFC Asian Cup qualification,Malé,Maldives,False
2003-03-25,Maldives,Myanmar,0,2,AFC Asian Cup qualification,Malé,Maldives,False
2003-11-29,Mongolia,Maldives,0,1,FIFA World Cup qualification,Ulaanbaatar,Mongolia,False
2003-12-03,Maldives,Mongolia,12,0,FIFA World Cup qualification,Malé,Maldives,False
2004-02-18,Vietnam,Maldives,4,0,FIFA World Cup qualification,Hanoi,Vietnam,False
2004-03-31,Maldives,South Korea,0,0,FIFA World Cup qualification,Malé,Maldives,False
2004-05-31,Oman,Maldives,3,0,Friendly,Muscat,Oman,False
2004-06-03,Oman,Maldives,4,1,Friendly,Muscat,Oman,False
2004-06-09,Lebanon,Maldives,3,0,FIFA World Cup qualification,Beirut,Lebanon,False
2004-08-31,Maldives,Oman,0,1,Friendly,Malé,Maldives,False
2004-09-03,Maldives,Oman,1,2,Friendly,Malé,Maldives,False
2004-09-08,Maldives,Lebanon,2,5,FIFA World Cup qualification,Malé,Maldives,False
2004-10-13,Maldives,Vietnam,3,0,FIFA World Cup qualification,Malé,Maldives,False
2004-11-17,South Korea,Maldives,2,0,FIFA World Cup qualification,Seoul,South Korea,False
2004-12-18,Maldives,Sri Lanka,0,0,Friendly,Malé,Maldives,False
2005-12-07,Maldives,Afghanistan,9,1,SAFF Cup,Karachi,Pakistan,True
2005-12-09,Maldives,Sri Lanka,2,0,SAFF Cup,Karachi,Pakistan,True
2005-12-11,Pakistan,Maldives,0,0,SAFF Cup,Karachi,Pakistan,False
2005-12-14,Maldives,India,0,1,SAFF Cup,Karachi,Pakistan,True
2007-10-02,Oman,Maldives,1,0,Friendly,Muscat,Oman,False
2007-10-08,Yemen,Maldives,3,0,FIFA World Cup qualification,Sana'a,Yemen,False
2007-10-28,Maldives,Yemen,2,0,FIFA World Cup qualification,Malé,Maldives,False
2008-04-09,Lebanon,Maldives,4,0,AFC Asian Cup qualification,Beirut,Lebanon,False
2008-04-23,Maldives,Lebanon,1,2,AFC Asian Cup qualification,Malé,Maldives,False
2008-06-03,Maldives,Pakistan,3,0,SAFF Cup,Malé,Maldives,False
2008-06-05,Maldives,Nepal,4,1,SAFF Cup,Malé,Maldives,False
2008-06-07,Maldives,India,0,1,SAFF Cup,Malé,Maldives,False
2008-06-11,Sri Lanka,Maldives,0,1,SAFF Cup,Colombo,Sri Lanka,False
2008-06-14,India,Maldives,0,1,SAFF Cup,Colombo,Sri Lanka,True
2009-03-28,Sri Lanka,Maldives,1,1,Friendly,Colombo,Sri Lanka,False
2009-04-14,Maldives,Turkmenistan,1,3,AFC Challenge Cup qualification,Malé,Maldives,False
2009-04-16,Maldives,Philippines,3,2,AFC Challenge Cup qualification,Malé,Maldives,False
2009-04-18,Maldives,Bhutan,5,0,AFC Challenge Cup qualification,Malé,Maldives,False
2009-12-05,Maldives,Nepal,1,1,SAFF Cup,Dhaka,Bangladesh,True
2009-12-07,Maldives,Afghanistan,3,1,SAFF Cup,Dhaka,Bangladesh,True
2009-12-11,Maldives,Sri Lanka,5,1,SAFF Cup,Dhaka,Bangladesh,True
2010-10-12,Indonesia,Maldives,3,0,Friendly,Jakarta,Indonesia,False
2011-03-21,Maldives,Cambodia,4,0,AFC Challenge Cup qualification,Malé,Maldives,False
2011-03-23,Maldives,Kyrgyzstan,2,1,AFC Challenge Cup qualification,Malé,Maldives,False
2011-03-25,Maldives,Tajikistan,0,0,AFC Challenge Cup qualification,Malé,Maldives,False
2011-07-10,Maldives,India,1,1,Friendly,Malé,Maldives,False
2011-07-23,Iran,Maldives,4,0,FIFA World Cup qualification,Tehran,Iran,False
2011-07-28,Maldives,Iran,0,1,FIFA World Cup qualification,Malé,Maldives,False
2011-08-04,Maldives,Mauritius,1,1,Indian Ocean Island Games,Praslin,Seychelles,True
2011-08-06,Comoros,Maldives,2,2,Indian Ocean Island Games,Mahé,Seychelles,True
2011-08-09,Seychelles,Maldives,5,1,Indian Ocean Island Games,Mahé,Seychelles,False
2011-11-22,Maldives,Seychelles,3,0,Friendly,Malé,Maldives,False
