Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1957-02-24,Malta,Austria,2,3,Friendly,Gżira,Malta,False
1958-01-25,Malta,Denmark,3,0,Friendly,Gżira,Malta,False
1959-03-08,Tunisia,Malta,0,0,Friendly,Tunis,Tunisia,False
1960-12-08,Malta,Tunisia,1,0,Friendly,Gżira,Malta,False
1961-11-05,Malta,Norway,1,1,Friendly,Gżira,Malta,False
1962-06-28,Denmark,Malta,6,1,UEFA Euro qualification,Copenhagen,Denmark,False
1962-07-03,Norway,Malta,5,0,Friendly,Trondheim,Norway,False
1962-12-08,Malta,Denmark,1,3,UEFA Euro qualification,Gżira,Malta,False
1964-03-15,Libya,Malta,2,2,Friendly,Tripoli,Libya,False
1966-02-13,Malta,Libya,1,0,Friendly,Gżira,Malta,False
1966-03-27,Libya,Malta,0,1,Friendly,Tripoli,Libya,False
1969-04-27,Malta,Austria,1,3,Friendly,Gżira,Malta,False
1970-01-04,Malta,Luxembourg,1,1,Friendly,Gżira,Malta,False
1970-10-11,Malta,Greece,1,1,UEFA Euro qualification,Gżira,Malta,False
1970-12-20,Malta,Switzerland,1,2,UEFA Euro qualification,Gżira,Malta,False
1971-02-03,Malta,England,0,1,UEFA Euro qualification,Gżira,Malta,False
1971-04-21,Switzerland,Malta,5,0,UEFA Euro qualification,Lucerne,Switzerland,False
1971-05-12,England,Malta,5,0,UEFA Euro qualification,London,England,False
1971-06-18,Greece,Malta,2,0,UEFA Euro qualification,Piraeus,Greece,False
1971-11-14,Malta,Hungary,0,2,FIFA World Cup qualification,Gżira,Malta,False
1971-12-08,Malta,Algeria,1,1,Friendly,Gżira,Malta,False
1972-03-15,Algeria,Malta,1,0,Friendly,Algiers,Algeria,False
1972-04-30,Austria,Malta,4,0,FIFA World Cup qualification,Vienna,Austria,False
1972-05-06,Hungary,Malta,3,0,FIFA World Cup qualification,Budapest,Hungary,False
1972-10-15,Sweden,Malta,7,0,FIFA World Cup qualification,Gothenburg,Sweden,False
1972-11-25,Malta,Austria,0,2,FIFA World Cup qualification,Gżira,Malta,False
1973-09-28,Malta,Canada,2,0,Friendly,Gżira,Malta,False
1973-09-30,Malta,Canada,0,0,Friendly,Gżira,Malta,False
1973-11-11,Malta,Sweden,1,2,FIFA World Cup qualification,Gżira,Malta,False
1974-08-24,Malta,Libya,0,1,Friendly,Gżira,Malta,False
