Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1931-02-11,Barbados,Martinique,3,2,Friendly,Bridgetown,Barbados,False
1931-02-12,Barbados,Martinique,0,0,Friendly,Bridgetown,Barbados,False
1931-02-28,Barbados,Martinique,1,2,Friendly,Bridgetown,Barbados,False
1932-03-23,Dominica,Martinique,1,0,Friendly,Roseau,Dominica,False
1934-03-13,Guadeloupe,Martinique,0,6,Friendly,Basse-Terre,Guadeloupe,False
1939-01-12,Dominica,Martinique,3,1,Friendly,Roseau,Dominica,False
1941-02-22,Guadeloupe,Martinique,1,2,Friendly,Basse-Terre,Guadeloupe,False
1941-09-07,Martinique,Guadeloupe,5,0,Friendly,Fort-de-France,Martinique,False
1948-09-01,Martinique,Dominica,5,0,Friendly,Fort-de-France,Martinique,False
1948-12-16,Dominica,Martinique,0,6,Friendly,Basse-Terre,Guadeloupe,True
1948-12-18,Martinique,Suriname,4,3,Friendly,Basse-Terre,Guadeloupe,True
1948-12-20,Guadeloupe,Martinique,3,0,Friendly,Pointe-à-Pitre,Guadeloupe,False
1949-05-09,Cuba,Martinique,0,0,Friendly,Paramaribo,Dutch Guyana,True
1949-07-01,Martinique,Trinidad and Tobago,2,0,Friendly,Fort-de-France,Martinique,False
1951-03-19,Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False
1951-05-17,Guadeloupe,Martinique,1,1,Friendly,Pointe-à-Pitre,Guadeloupe,False
1952-03-12,Guadeloupe,Martinique,4,0,Friendly,Basse-Terre,Guadeloupe,False
1952-03-13,Martinique,Guadeloupe,1,2,Friendly,Fort-de-France,Martinique,False
1953-04-16,Martinique,Guadeloupe,4,3,Friendly,Fort-de-France,Martinique,False
1953-05-17,Guadeloupe,Martinique,0,2,Friendly,Pointe-à-Pitre,Guadeloupe,False
1954-03-19,Martinique,Guadeloupe,2,2,Friendly,Fort-de-France,Martinique,False
1954-05-21,Guadeloupe,Martinique,2,4,Friendly,Basse-Terre,Guadeloupe,False
1955-03-01,Martinique,Guadeloupe,4,1,Friendly,Fort-de-France,Martinique,False
1955-05-05,Martinique,Guadeloupe,1,1,Friendly,Fort-de-France,Martinique,False
1956-01-13,Curaçao,Martinique,3,1,Friendly,Willemstad,Curaçao,False
1956-01-15,Curaçao,Martinique,3,1,Friendly,Willemstad,Curaçao,False
1956-04-01,Martinique,Curaçao,0,1,Friendly,Fort-de-France,Martinique,False
1956-04-26,Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False
1956-05-20,Guadeloupe,Martinique,2,2,Friendly,Basse-Terre,Guadeloupe,False
1957-04-20,Martinique,Guadeloupe,6,1,Friendly,Fort-de-France,Martinique,False
1957-05-15,Guadeloupe,Martinique,5,2,Friendly,Basse-Terre,Guadeloupe,False
1958-04-14,Martinique,Guadeloupe,1,1,Friendly,Fort-de-France,Martinique,False
1959-03-11,Martinique,Guadeloupe,3,0,Friendly,Fort-de-France,Martinique,False
1959-05-21,Martinique,Guadeloupe,1,2,Friendly,Fort-de-France,Martinique,False
1959-05-30,Martinique,Suriname,3,1,Friendly,Fort-de-France,Martinique,False
1959-05-31,Martinique,Suriname,3,0,Friendly,Fort-de-France,Martinique,False
1959-09-20,Suriname,Martinique,1,0,Friendly,Paramaribo,Dutch Guyana,False
1959-09-25,Suriname,Martinique,4,1,Friendly,Paramaribo,Dutch Guyana,False
1960-02-20,Martinique,Guadeloupe,2,2,Friendly,Fort-de-France,Martinique,False
1960-06-16,Martinique,Guadeloupe,1,0,Friendly,Fort-de-France,Martinique,False
1960-09-18,Trinidad and Tobago,Martinique,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
1960-09-20,Trinidad and Tobago,Martinique,1,1,Friendly,Port of Spain,Trinidad and Tobago,False
