Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1947-02-15,Madagascar,Mauritius,1,2,Friendly,Antananarivo,Madagascar,False
1947-05-15,Mauritius,Réunion,2,1,Friendly,Antananarivo,Madagascar,True
1948-07-17,Mauritius,Madagascar,4,1,Friendly,Curepipe,Mauritius,False
1948-07-19,Mauritius,Réunion,5,1,Friendly,Curepipe,Mauritius,False
1949-06-16,Madagascar,Mauritius,1,3,Friendly,Saint-Pierre,Réunion,True
1949-10-07,Réunion,Mauritius,0,6,Friendly,Saint-Pierre,Réunion,False
1950-04-14,Mauritius,Réunion,15,2,Friendly,Antananarivo,Madagascar,True
1950-07-11,Madagascar,Mauritius,1,5,Friendly,Antananarivo,Madagascar,False
1951-07-19,Mauritius,Madagascar,7,1,Friendly,Curepipe,Mauritius,False
1951-07-21,Mauritius,Réunion,10,2,Friendly,Curepipe,Mauritius,False
1952-07-27,Réunion,Mauritius,0,6,Friendly,Saint-Pierre,Réunion,False
1952-07-31,Madagascar,Mauritius,0,7,Friendly,Saint-Pierre,Réunion,True
1953-07-13,Mauritius,Réunion,9,4,Friendly,Antananarivo,Madagascar,True
1953-07-20,Madagascar,Mauritius,2,3,Friendly,Antananarivo,Madagascar,False
1954-07-14,Mauritius,Madagascar,4,1,Friendly,Curepipe,Mauritius,False
1954-07-18,Mauritius,Réunion,11,0,Friendly,Curepipe,Mauritius,False
1955-07-07,Réunion,Mauritius,1,3,Friendly,Saint-Pierre,Réunion,False
1955-07-14,Madagascar,Mauritius,2,1,Friendly,Saint-Pierre,Réunion,True
1956-06-30,Mauritius,Réunion,8,3,Friendly,Antananarivo,Madagascar,True
1956-07-08,Madagascar,Mauritius,3,3,Friendly,Antananarivo,Madagascar,False
1957-04-17,Mauritius,Réunion,1,0,Friendly,Curepipe,Mauritius,False
1957-10-24,Mauritius,Madagascar,4,0,Friendly,Curepipe,Mauritius,False
1957-10-27,Mauritius,Réunion,1,0,Friendly,Curepipe,Mauritius,False
1958-10-16,Réunion,Mauritius,0,2,Friendly,Saint-Pierre,Réunion,False
1958-10-23,Madagascar,Mauritius,3,2,Friendly,Saint-Pierre,Réunion,True
1963-09-08,Mauritius,Réunion,0,2,Friendly,Antananarivo,Madagascar,True
1967-08-02,Tanzania,Mauritius,1,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1967-08-16,Mauritius,Tanzania,1,1,African Cup of Nations qualification,Curepipe,Mauritius,False
1967-11-25,Zimbabwe,Mauritius,1,2,Friendly,Salisbury,Southern Rhodesia,False
1967-11-26,Zimbabwe,Mauritius,2,3,Friendly,Salisbury,Southern Rhodesia,False
1967-12-06,Mauritius,Ethiopia,0,2,Friendly,Port Louis,Mauritius,False
1968-11-17,Zambia,Mauritius,2,2,African Cup of Nations qualification,Lusaka,Zambia,False
1968-12-08,Mauritius,Zambia,2,3,African Cup of Nations qualification,Curepipe,Mauritius,False
1970-07-06,Malawi,Mauritius,1,0,Friendly,Zomba,Malawi,False
1970-07-09,Malawi,Mauritius,0,0,Friendly,Lilongwe,Malawi,False
1970-11-15,Madagascar,Mauritius,2,1,African Cup of Nations qualification,Antananarivo,Madagascar,False
1970-11-29,Mauritius,Madagascar,4,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1971-03-28,Madagascar,Mauritius,3,0,Friendly,Antananarivo,Madagascar,False
1971-06-27,Madagascar,Mauritius,1,1,Friendly,Antananarivo,Madagascar,False
1971-07-04,Kenya,Mauritius,2,1,African Cup of Nations qualification,Nairobi,Kenya,False
1971-07-18,Mauritius,Kenya,0,0,African Cup of Nations qualification,Port Louis,Mauritius,False
1972-05-22,Mauritius,Uganda,1,2,Friendly,Port Louis,Mauritius,False
1972-05-28,Mauritius,Uganda,1,3,Friendly,Curepipe,Mauritius,False
1972-12-10,Mauritius,Kenya,1,3,FIFA World Cup qualification,Curepipe,Mauritius,False
1972-12-17,Kenya,Mauritius,2,2,FIFA World Cup qualification,Nairobi,Kenya,False
1973-04-08,Lesotho,Mauritius,0,0,African Cup of Nations qualification,Maseru,Lesotho,False
1973-04-22,Mauritius,Lesotho,5,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1973-05-27,Tanzania,Mauritius,1,1,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1973-06-14,Mauritius,Tanzania,1,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1973-07-06,Malawi,Mauritius,4,1,Friendly,Lilongwe,Malawi,False
1973-07-08,Malawi,Mauritius,1,0,Friendly,Lilongwe,Malawi,False
1973-07-15,Mauritius,Réunion,1,1,Friendly,Curepipe,Mauritius,False
1974-01-13,Mauritius,Malawi,4,1,Friendly,Port Louis,Mauritius,False
1974-01-17,Mauritius,Malawi,2,1,Friendly,Port Louis,Mauritius,False
1974-01-20,Mauritius,Malawi,2,2,Friendly,Port Louis,Mauritius,False
1974-03-03,Congo,Mauritius,2,0,African Cup of Nations,Alexandria,Egypt,True
1974-03-05,Guinea,Mauritius,2,1,African Cup of Nations,Damanhur,Egypt,True
1974-03-07,Mauritius,DR Congo,1,4,African Cup of Nations,Damanhur,Egypt,True
1975-01-29,Malawi,Mauritius,1,0,Friendly,Zomba,Malawi,False
1975-01-31,Malawi,Mauritius,1,1,Friendly,Blantyre,Malawi,False
1975-02-02,Malawi,Mauritius,3,0,Friendly,Blantyre,Malawi,False
1975-03-23,Uganda,Mauritius,4,0,African Cup of Nations qualification,Kampala,Uganda,False
1975-04-06,Mauritius,Uganda,1,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1976-07-02,Réunion,Mauritius,0,2,Friendly,Saint-Pierre,Réunion,False
1976-10-10,Ethiopia,Mauritius,3,0,Friendly,Addis Ababa,Ethiopia,False
1976-10-24,Malawi,Mauritius,1,1,African Cup of Nations qualification,Lilongwe,Malawi,False
1977-01-28,Mauritius,Malawi,3,2,African Cup of Nations qualification,Curepipe,Mauritius,False
1977-02-17,Mauritius,Ethiopia,2,3,African Cup of Nations qualification,Curepipe,Mauritius,False
1977-03-13,Ethiopia,Mauritius,1,0,African Cup of Nations qualification,Addis Ababa,Ethiopia,False
1977-09-18,Réunion,Mauritius,0,2,Friendly,Saint-Pierre,Réunion,False
1977-09-21,Mauritius,Seychelles,2,1,Friendly,Saint-Pierre,Réunion,True
1978-05-15,Mauritius,Seychelles,2,0,Friendly,Saint-Pierre,Réunion,True
1978-05-18,Réunion,Mauritius,5,3,Friendly,Saint-Pierre,Réunion,False
1978-09-23,Réunion,Mauritius,0,2,Friendly,Saint-Denis,Réunion,False
1978-12-03,Mauritius,Lesotho,0,1,African Cup of Nations qualification,Port Louis,Mauritius,False
1978-12-17,Lesotho,Mauritius,1,2,African Cup of Nations qualification,Maseru,Lesotho,False
1979-04-16,Mauritius,Tanzania,3,2,African Cup of Nations qualification,Curepipe,Mauritius,False
1979-04-29,Tanzania,Mauritius,4,0,African Cup of Nations qualification,Dar es Salaam,Tanzania,False
1979-08-26,Mauritius,Comoros,3,0,Indian Ocean Island Games,Réunion,Réunion,True
1979-08-28,Comoros,Mauritius,1,3,Indian Ocean Island Games,Réunion,Réunion,True
1979-08-31,Seychelles,Mauritius,1,1,Indian Ocean Island Games,Réunion,Réunion,True
1980-09-14,Madagascar,Mauritius,0,0,African Cup of Nations qualification,Antananarivo,Madagascar,False
1980-09-28,Mauritius,Madagascar,1,1,African Cup of Nations qualification,Curepipe,Mauritius,False
1981-07-12,Kenya,Mauritius,2,1,Friendly,Saint-Paul,Réunion,True
