Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2001-11-20,Madagascar,Mayotte,1,0,Friendly,Antananarivo,Madagascar,False
2003-08-16,Mayotte,Réunion,1,1,Friendly,Mamoudzou,Mayotte,False
2006-12-15,Réunion,Mayotte,3,1,Friendly,Saint-Denis,Réunion,False
2007-07-19,Madagascar,Mayotte,2,2,Friendly,Antananarivo,Madagascar,False
2007-08-10,Seychelles,Mayotte,2,1,Indian Ocean Island Games,Madagascar,Madagascar,True
2007-08-12,Mauritius,Mayotte,0,1,Indian Ocean Island Games,Madagascar,Madagascar,True
2007-08-16,Madagascar,Mayotte,4,0,Indian Ocean Island Games,Madagascar,Madagascar,False
2007-08-18,Mauritius,Mayotte,1,1,Indian Ocean Island Games,Madagascar,Madagascar,True
2008-09-25,Mayotte,Réunion,1,6,Coupe de l'Outre-Mer,Franconville,France,True
2008-09-28,French Guiana,Mayotte,4,2,Coupe de l'Outre-Mer,Bonneuil-sur-Marne,France,True
2008-10-03,New Caledonia,Mayotte,3,2,Coupe de l'Outre-Mer,La Courneuve,France,True
2009-06-14,Madagascar,Mayotte,2,0,Friendly,Mahajanga,Madagascar,False
2009-07-12,Mayotte,Madagascar,2,2,Friendly,Mamoudzou,Mayotte,False
2010-08-20,Madagascar,Mayotte,0,0,Friendly,Mahajanga,Madagascar,False
2010-09-22,French Guiana,Mayotte,2,2,Coupe de l'Outre-Mer,Val-d'Oise,France,True
2010-09-25,Mayotte,Réunion,1,2,Coupe de l'Outre-Mer,Hauts de Seine,France,True
2010-09-28,Mayotte,Saint Pierre and Miquelon,10,0,Coupe de l'Outre-Mer,Val-d'Oise,France,True
2010-10-01,Mayotte,Guadeloupe,0,4,Coupe de l'Outre-Mer,Saint-Denis,France,True
2011-08-04,Madagascar,Mayotte,1,1,Indian Ocean Island Games,Praslin,Seychelles,True
2011-08-08,Mayotte,Réunion,2,0,Indian Ocean Island Games,Mahé,Seychelles,True
2011-08-11,Mayotte,Mauritius,0,0,Indian Ocean Island Games,Mahé,Seychelles,True
2011-08-13,Réunion,Mayotte,1,0,Indian Ocean Island Games,Mahé,Seychelles,True
2012-09-22,Tahiti,Mayotte,1,3,Coupe de l'Outre-Mer,Issy-les-Moulineaux,France,True
2012-09-24,New Caledonia,Mayotte,0,2,Coupe de l'Outre-Mer,Corbeil-Essonnes,France,True
2012-09-26,Martinique,Mayotte,3,0,Coupe de l'Outre-Mer,Saint-Ouen-l'Aumône,France,True
2012-09-29,Guadeloupe,Mayotte,1,0,Coupe de l'Outre-Mer,Saint-Gratien,France,True
2015-07-31,Maldives,Mayotte,1,3,Indian Ocean Island Games,Réunion,Réunion,True
2015-08-02,Mayotte,Madagascar,1,1,Indian Ocean Island Games,Réunion,Réunion,True
2015-08-04,Seychelles,Mayotte,0,1,Indian Ocean Island Games,Réunion,Réunion,True
2015-08-06,Mayotte,Mauritius,2,1,Indian Ocean Island Games,Réunion,Réunion,True
2015-08-08,Réunion,Mayotte,3,1,Indian Ocean Island Games,Réunion,Réunion,False
2019-07-18,Comoros,Mayotte,0,2,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2019-07-20,Réunion,Mayotte,1,0,Indian Ocean Island Games,Curepipe,Mauritius,True
2019-07-22,Mayotte,Maldives,3,1,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2019-07-24,Mauritius,Mayotte,1,0,Indian Ocean Island Games,Curepipe,Mauritius,False
2019-07-26,Seychelles,Mayotte,1,3,Indian Ocean Island Games,Centre de Flacq,Mauritius,True
2023-08-24,Comoros,Mayotte,0,0,Indian Ocean Island Games,Antananarivo,Madagascar,True
2023-08-26,Réunion,Mayotte,0,0,Indian Ocean Island Games,Antananarivo,Madagascar,True
