Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1923-01-01,Guatemala,Mexico,2,3,Friendly,Guatemala City,Guatemala,False
1923-01-04,Guatemala,Mexico,3,1,Friendly,Guatemala City,Guatemala,False
1923-01-07,Guatemala,Mexico,1,4,Friendly,Guatemala City,Guatemala,False
1923-12-09,Mexico,Guatemala,2,1,Friendly,Mexico City,Mexico,False
1923-12-12,Mexico,Guatemala,2,0,Friendly,Mexico City,Mexico,False
1923-12-16,Mexico,Guatemala,3,3,Friendly,Mexico City,Mexico,False
1928-05-30,Spain,Mexico,7,1,Olympic Games,Amsterdam,Netherlands,True
1928-06-05,Chile,Mexico,3,1,Olympic Games,Arnhem,Netherlands,True
1930-07-13,France,Mexico,4,1,FIFA World Cup,Montevideo,Uruguay,True
1930-07-16,Chile,Mexico,3,0,FIFA World Cup,Montevideo,Uruguay,True
1930-07-19,Argentina,Mexico,6,3,FIFA World Cup,Montevideo,Uruguay,True
1934-03-04,Mexico,Cuba,3,2,FIFA World Cup qualification,Mexico City,Mexico,False
1934-03-11,Mexico,Cuba,5,0,FIFA World Cup qualification,Mexico City,Mexico,False
1934-03-18,Mexico,Cuba,4,1,FIFA World Cup qualification,Mexico City,Mexico,False
1934-05-24,Mexico,United States,2,4,FIFA World Cup qualification,Rome,Italy,True
1935-03-27,El Salvador,Mexico,1,8,Central American and Caribbean Games,San Salvador,El Salvador,False
1935-03-28,Mexico,Guatemala,5,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-03-30,Mexico,Cuba,6,1,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-01,Mexico,Honduras,8,2,Central American and Caribbean Games,San Salvador,El Salvador,True
1935-04-02,Mexico,Costa Rica,2,0,Central American and Caribbean Games,San Salvador,El Salvador,True
1937-09-12,Mexico,United States,7,2,Friendly,Mexico City,Mexico,False
1937-09-19,Mexico,United States,7,3,Friendly,Mexico City,Mexico,False
1937-11-28,Mexico,Basque Country,1,4,Friendly,Mexico City,Mexico,False
1937-12-05,Mexico,Basque Country,1,2,Friendly,Mexico City,Mexico,False
1937-12-12,Mexico,Basque Country,0,4,Friendly,Mexico City,Mexico,False
1938-01-09,Mexico,Basque Country,3,1,Friendly,Mexico City,Mexico,False
1938-02-10,Mexico,Colombia,3,1,Central American and Caribbean Games,Panama City,Panama,True
1938-02-14,Mexico,Venezuela,1,0,Central American and Caribbean Games,Panama City,Panama,True
1938-02-18,Mexico,El Salvador,6,0,Central American and Caribbean Games,Panama City,Panama,True
1938-02-20,Panama,Mexico,2,2,Central American and Caribbean Games,Panama City,Panama,False
1938-02-22,Mexico,Costa Rica,2,1,Central American and Caribbean Games,Panama City,Panama,True
1938-10-16,Mexico,Basque Country,8,4,Friendly,Mexico City,Mexico,False
1938-10-23,Mexico,Basque Country,2,6,Friendly,Mexico City,Mexico,False
1938-10-30,Mexico,Basque Country,1,3,Friendly,Mexico City,Mexico,False
1947-07-13,Mexico,United States,5,0,NAFC Championship,Havana,Cuba,True
