Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1956-08-12,Lithuania,Moldova,1,4,Friendly,Moscow,Soviet Union,True
1991-07-02,Moldova,Georgia,2,4,Friendly,Chișinău,Moldova,False
1992-05-20,Moldova,Lithuania,1,1,Friendly,Chișinău,Moldova,False
1992-08-18,Moldova,Pakistan,5,0,Jordan International Tournament,Amman,Jordan,True
1992-08-20,Moldova,Sudan,2,1,Jordan International Tournament,Amman,Jordan,True
1992-08-22,Jordan,Moldova,1,0,Jordan International Tournament,Amman,Jordan,False
1992-08-26,Iraq,Moldova,1,0,Jordan International Tournament,Irbid,Jordan,True
1992-08-28,Congo,Moldova,1,3,Jordan International Tournament,Amman,Jordan,True
1992-10-14,Armenia,Moldova,0,0,Friendly,Yerevan,Armenia,False
1994-04-16,United States,Moldova,1,1,Friendly,Jacksonville,United States,False
1994-04-20,United States,Moldova,3,0,Friendly,Davidson,United States,False
1994-09-07,Georgia,Moldova,0,1,UEFA Euro qualification,Tbilisi,Georgia,False
1994-10-12,Moldova,Wales,3,2,UEFA Euro qualification,Chișinău,Moldova,False
1994-11-16,Bulgaria,Moldova,4,1,UEFA Euro qualification,Sofia,Bulgaria,False
1994-12-14,Moldova,Germany,0,3,UEFA Euro qualification,Chișinău,Moldova,False
1995-03-29,Albania,Moldova,3,0,UEFA Euro qualification,Tirana,Albania,False
1995-04-26,Moldova,Bulgaria,0,3,UEFA Euro qualification,Chișinău,Moldova,False
1995-06-07,Moldova,Albania,2,3,UEFA Euro qualification,Chișinău,Moldova,False
1995-09-06,Wales,Moldova,1,0,UEFA Euro qualification,Cardiff,Wales,False
1995-10-08,Germany,Moldova,6,1,UEFA Euro qualification,Leverkusen,Germany,False
1995-11-15,Moldova,Georgia,3,2,UEFA Euro qualification,Chișinău,Moldova,False
1996-04-09,Moldova,Ukraine,2,2,Friendly,Chișinău,Moldova,False
1996-06-01,Romania,Moldova,3,1,Friendly,Bucharest,Romania,False
1996-08-14,Turkey,Moldova,2,0,Friendly,Istanbul,Turkey,False
1996-09-01,Moldova,England,0,3,FIFA World Cup qualification,Chișinău,Moldova,False
1996-10-05,Moldova,Italy,1,3,FIFA World Cup qualification,Chișinău,Moldova,False
1996-10-30,Indonesia,Moldova,1,2,Friendly,Genoa,Italy,True
1996-11-10,Poland,Moldova,2,1,FIFA World Cup qualification,Katowice,Poland,False
1997-03-29,Italy,Moldova,3,0,FIFA World Cup qualification,Trieste,Italy,False
1997-06-07,Georgia,Moldova,2,0,FIFA World Cup qualification,Batumi,Georgia,False
1997-09-10,England,Moldova,4,0,FIFA World Cup qualification,London,England,False
1997-09-24,Moldova,Georgia,0,1,FIFA World Cup qualification,Chișinău,Moldova,False
1997-10-07,Moldova,Poland,0,3,FIFA World Cup qualification,Chișinău,Moldova,False
1998-03-22,Azerbaijan,Moldova,1,0,Friendly,Baku,Azerbaijan,False
1998-06-06,Romania,Moldova,5,1,Friendly,Ploiești,Romania,False
1998-08-16,Lithuania,Moldova,1,1,Friendly,Kaunas,Lithuania,False
1998-08-20,Estonia,Moldova,0,1,Friendly,Kohtla-Järve,Estonia,False
1998-09-05,Finland,Moldova,3,2,UEFA Euro qualification,Helsinki,Finland,False
1998-10-14,Moldova,Germany,1,3,UEFA Euro qualification,Chișinău,Moldova,False
1998-11-18,Northern Ireland,Moldova,2,2,UEFA Euro qualification,Belfast,Northern Ireland,False
1999-03-10,Malta,Moldova,0,2,Friendly,Attard,Malta,False
1999-03-27,Turkey,Moldova,2,0,UEFA Euro qualification,Istanbul,Turkey,False
1999-03-31,Moldova,Northern Ireland,0,0,UEFA Euro qualification,Chișinău,Moldova,False
1999-06-04,Germany,Moldova,6,1,UEFA Euro qualification,Leverkusen,Germany,False
1999-06-09,Moldova,Finland,0,0,UEFA Euro qualification,Chișinău,Moldova,False
1999-08-18,Hungary,Moldova,1,1,Friendly,Budapest,Hungary,False
1999-09-08,Moldova,Turkey,1,1,UEFA Euro qualification,Chișinău,Moldova,False
1999-12-16,Greece,Moldova,2,0,Friendly,Lárisa,Greece,False
2000-02-02,Armenia,Moldova,2,1,Cyprus International Tournament,Larnaca,Cyprus,True
2000-02-04,Moldova,Lithuania,2,1,Cyprus International Tournament,Larnaca,Cyprus,True
2000-04-26,San Marino,Moldova,0,1,Friendly,Serravalle,San Marino,False
2000-06-04,Moldova,Russia,0,1,Friendly,Chișinău,Moldova,False
2000-08-16,Moldova,Malta,1,0,Friendly,Chișinău,Moldova,False
2000-09-02,Turkey,Moldova,2,0,FIFA World Cup qualification,Istanbul,Turkey,False
2000-10-07,Moldova,Slovakia,0,1,FIFA World Cup qualification,Chișinău,Moldova,False
2000-10-11,Moldova,North Macedonia,0,0,FIFA World Cup qualification,Chișinău,Moldova,False
2001-02-14,Israel,Moldova,1,0,Friendly,Herzliyya,Israel,False
2001-03-24,Azerbaijan,Moldova,0,0,FIFA World Cup qualification,Baku,Azerbaijan,False
2001-03-28,Moldova,Sweden,0,2,FIFA World Cup qualification,Chișinău,Moldova,False
2001-04-25,Moldova,Estonia,0,0,Friendly,Chișinău,Moldova,False
2001-06-02,North Macedonia,Moldova,2,2,FIFA World Cup qualification,Skopje,North Macedonia,False
2001-06-06,Sweden,Moldova,6,0,FIFA World Cup qualification,Gothenburg,Sweden,False
2001-08-15,Portugal,Moldova,3,0,Friendly,Faro,Portugal,False
2001-09-01,Moldova,Azerbaijan,2,0,FIFA World Cup qualification,Chișinău,Moldova,False
2001-09-05,Slovakia,Moldova,4,2,FIFA World Cup qualification,Trenčín,Slovakia,False
2001-10-06,Moldova,Turkey,0,3,FIFA World Cup qualification,Chișinău,Moldova,False
2002-02-09,Lithuania,Moldova,1,0,Malta International Tournament,Attard,Malta,True
2002-02-11,Moldova,Jordan,2,0,Malta International Tournament,Attard,Malta,True
2002-02-13,Malta,Moldova,3,0,Malta International Tournament,Attard,Malta,False
2002-03-27,Moldova,Hungary,0,2,Friendly,Chișinău,Moldova,False
2002-08-21,Estonia,Moldova,1,0,Friendly,Tallinn,Estonia,False
2002-09-07,Austria,Moldova,2,0,UEFA Euro qualification,Vienna,Austria,False
2002-10-12,Moldova,Czech Republic,0,2,UEFA Euro qualification,Chișinău,Moldova,False
2002-11-20,Hungary,Moldova,1,1,Friendly,Budapest,Hungary,False
2003-02-12,Georgia,Moldova,2,2,Friendly,Tbilisi,Georgia,False
2003-03-05,Israel,Moldova,0,0,Friendly,Ramat Gan,Israel,False
2003-03-29,Belarus,Moldova,2,1,UEFA Euro qualification,Minsk,Belarus,False
2003-04-02,Moldova,Netherlands,1,2,UEFA Euro qualification,Tiraspol,Moldova,False
2003-06-07,Moldova,Austria,1,0,UEFA Euro qualification,Tiraspol,Moldova,False
2003-06-11,Czech Republic,Moldova,5,0,UEFA Euro qualification,Olomouc,Czech Republic,False
2003-08-20,Turkey,Moldova,2,0,Friendly,Ankara,Turkey,False
2003-09-10,Moldova,Belarus,2,1,UEFA Euro qualification,Tiraspol,Moldova,False
2003-10-11,Netherlands,Moldova,5,0,UEFA Euro qualification,Eindhoven,Netherlands,False
2003-11-20,Luxembourg,Moldova,1,2,Friendly,Hesperange,Luxembourg,False
2004-02-14,Malta,Moldova,0,0,Malta International Tournament,Attard,Malta,False
2004-02-18,Estonia,Moldova,1,0,Malta International Tournament,Attard,Malta,True
2004-03-31,Moldova,Azerbaijan,2,1,Friendly,Chișinău,Moldova,False
2004-04-28,Israel,Moldova,1,1,Friendly,Ramat Gan,Israel,False
2004-08-18,Moldova,Georgia,1,0,Friendly,Tiraspol,Moldova,False
2004-09-04,Slovenia,Moldova,3,0,FIFA World Cup qualification,Celje,Slovenia,False
2004-09-08,Moldova,Italy,0,1,FIFA World Cup qualification,Chișinău,Moldova,False
2004-10-09,Belarus,Moldova,4,0,FIFA World Cup qualification,Minsk,Belarus,False
2004-10-13,Moldova,Scotland,1,1,FIFA World Cup qualification,Chișinău,Moldova,False
2005-02-09,Azerbaijan,Moldova,0,0,Friendly,Baku,Azerbaijan,False
2005-03-30,Moldova,Norway,0,0,FIFA World Cup qualification,Chișinău,Moldova,False
2005-06-04,Scotland,Moldova,2,0,FIFA World Cup qualification,Glasgow,Scotland,False
2005-09-03,Moldova,Belarus,2,0,FIFA World Cup qualification,Chișinău,Moldova,False
2005-09-07,Moldova,Slovenia,1,2,FIFA World Cup qualification,Chișinău,Moldova,False
2005-10-08,Norway,Moldova,1,0,FIFA World Cup qualification,Oslo,Norway,False
2005-10-12,Italy,Moldova,2,1,FIFA World Cup qualification,Lecce,Italy,False
2006-05-18,Moldova,Azerbaijan,0,0,Friendly,Chișinău,Moldova,False
2006-08-16,Moldova,Lithuania,3,2,Friendly,Chișinău,Moldova,False
2006-09-02,Moldova,Greece,0,1,UEFA Euro qualification,Chișinău,Moldova,False
2006-09-06,Norway,Moldova,2,0,UEFA Euro qualification,Oslo,Norway,False
2006-10-07,Moldova,Bosnia and Herzegovina,2,2,UEFA Euro qualification,Chișinău,Moldova,False
2006-10-11,Turkey,Moldova,5,0,UEFA Euro qualification,Frankfurt am Main,Germany,True
2007-02-07,Romania,Moldova,2,0,Friendly,Bucharest,Romania,False
2007-03-24,Moldova,Malta,1,1,UEFA Euro qualification,Chișinău,Moldova,False
2007-03-28,Hungary,Moldova,2,0,UEFA Euro qualification,Budapest,Hungary,False
2007-06-06,Greece,Moldova,2,1,UEFA Euro qualification,Heraklion,Greece,False
2007-08-22,Latvia,Moldova,1,2,Friendly,Riga,Latvia,False
2007-09-08,Moldova,Norway,0,1,UEFA Euro qualification,Chișinău,Moldova,False
2007-09-12,Bosnia and Herzegovina,Moldova,0,1,UEFA Euro qualification,Sarajevo,Bosnia and Herzegovina,False
2007-10-13,Moldova,Turkey,1,1,UEFA Euro qualification,Chișinău,Moldova,False
2007-10-17,Malta,Moldova,2,3,UEFA Euro qualification,Attard,Malta,False
2007-11-17,Moldova,Hungary,3,0,UEFA Euro qualification,Chișinău,Moldova,False
2008-02-06,Kazakhstan,Moldova,0,1,Friendly,Antalya,Turkey,True
2008-05-24,Croatia,Moldova,1,0,Friendly,Rijeka,Croatia,False
2008-05-28,Moldova,Armenia,2,2,Friendly,Tiraspol,Moldova,False
2008-08-20,Lithuania,Moldova,3,0,Friendly,Marijampolė,Lithuania,False
2008-09-06,Moldova,Latvia,1,2,FIFA World Cup qualification,Tiraspol,Moldova,False
2008-09-10,Moldova,Israel,1,2,FIFA World Cup qualification,Chișinău,Moldova,False
2008-10-11,Greece,Moldova,3,0,FIFA World Cup qualification,Athens,Greece,False
2008-10-15,Luxembourg,Moldova,0,0,FIFA World Cup qualification,Luxembourg,Luxembourg,False
2008-11-18,Estonia,Moldova,1,0,Friendly,Tallinn,Estonia,False
2008-11-19,Moldova,Lithuania,1,1,Friendly,Tallinn,Estonia,True
2009-02-11,North Macedonia,Moldova,1,1,Friendly,Antalya,Turkey,True
2009-03-28,Moldova,Switzerland,0,2,FIFA World Cup qualification,Chișinău,Moldova,False
2009-04-01,Switzerland,Moldova,2,0,FIFA World Cup qualification,Geneva,Switzerland,False
2009-06-06,Georgia,Moldova,1,2,Friendly,Tbilisi,Georgia,False
2009-06-10,Belarus,Moldova,2,2,Friendly,Barysaw,Belarus,False
2009-08-12,Armenia,Moldova,1,4,Friendly,Yerevan,Armenia,False
2009-09-05,Moldova,Luxembourg,0,0,FIFA World Cup qualification,Chișinău,Moldova,False
2009-09-09,Moldova,Greece,1,1,FIFA World Cup qualification,Chișinău,Moldova,False
2009-10-10,Israel,Moldova,3,1,FIFA World Cup qualification,Ramat Gan,Israel,False
2009-10-14,Latvia,Moldova,3,2,FIFA World Cup qualification,Riga,Latvia,False
2010-03-03,Kazakhstan,Moldova,0,1,Friendly,Antalya,Turkey,True
2010-05-26,Azerbaijan,Moldova,1,1,Friendly,Seekirchen am Wallersee,Austria,True
2010-05-29,Moldova,United Arab Emirates,2,3,Friendly,Anif,Austria,True
2010-08-11,Moldova,Georgia,0,0,Friendly,Chișinău,Moldova,False
2010-09-03,Moldova,Finland,2,0,UEFA Euro qualification,Chișinău,Moldova,False
2010-09-07,Hungary,Moldova,2,1,UEFA Euro qualification,Budapest,Hungary,False
2010-10-08,Moldova,Netherlands,0,1,UEFA Euro qualification,Chișinău,Moldova,False
2010-10-12,San Marino,Moldova,0,2,UEFA Euro qualification,Serravalle,San Marino,False
