Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1942-08-10,Japan,Mongolia,12,0,Friendly,Xinjing,Manchuria,True
1960-10-03,North Vietnam,Mongolia,3,1,Friendly,Hanoi,North Vietnam,False
1960-10-07,China PR,Mongolia,6,1,Friendly,Hanoi,North Vietnam,True
1960-10-10,Mongolia,North Korea,1,10,Friendly,Hanoi,North Vietnam,True
1993-05-10,China PR,Mongolia,6,1,East Asian Games,Shanghai,China PR,False
1993-05-12,North Korea,Mongolia,7,0,East Asian Games,Shanghai,China PR,True
1993-05-18,Mongolia,Macau,4,3,East Asian Games,Shanghai,China PR,True
1997-05-11,Mongolia,China PR,0,6,East Asian Games,Busan,South Korea,True
1997-05-13,Japan,Mongolia,5,0,East Asian Games,Busan,South Korea,True
1997-05-17,Mongolia,Kazakhstan,3,11,East Asian Games,Busan,South Korea,True
1997-05-19,Guam,Mongolia,0,4,East Asian Games,Busan,South Korea,True
1998-12-01,Mongolia,Kuwait,0,11,Asian Games,Chiang Mai,Thailand,True
1998-12-05,Mongolia,Uzbekistan,0,15,Asian Games,Chiang Mai,Thailand,True
2000-02-29,Uzbekistan,Mongolia,8,1,Friendly,Tashkent,Uzbekistan,False
2000-04-05,Myanmar,Mongolia,2,0,AFC Asian Cup qualification,Seoul,South Korea,True
2000-04-07,South Korea,Mongolia,6,0,AFC Asian Cup qualification,Seoul,South Korea,False
2000-04-09,Laos,Mongolia,2,1,AFC Asian Cup qualification,Seoul,South Korea,True
2001-02-08,Saudi Arabia,Mongolia,6,0,FIFA World Cup qualification,Dammam,Saudi Arabia,False
2001-02-10,Mongolia,Vietnam,0,1,FIFA World Cup qualification,Dammam,Saudi Arabia,True
2001-02-12,Mongolia,Bangladesh,0,3,FIFA World Cup qualification,Dammam,Saudi Arabia,True
2001-02-15,Saudi Arabia,Mongolia,6,0,FIFA World Cup qualification,Dammam,Saudi Arabia,False
2001-02-17,Vietnam,Mongolia,4,0,FIFA World Cup qualification,Dammam,Saudi Arabia,True
2001-02-19,Bangladesh,Mongolia,2,2,FIFA World Cup qualification,Dammam,Saudi Arabia,True
