Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1958-04-03,Morocco,Libya,3,1,Friendly,Casablanca,Morocco,False
1960-01-01,Morocco,Yugoslavia,0,5,Friendly,Casablanca,Morocco,False
1960-10-30,Morocco,Tunisia,2,1,FIFA World Cup qualification,Casablanca,Morocco,False
1960-11-13,Tunisia,Morocco,2,1,FIFA World Cup qualification,Tunis,Tunisia,False
1960-12-11,Morocco,German DR,2,3,Friendly,Casablanca,Morocco,False
1961-01-22,Morocco,Tunisia,1,1,FIFA World Cup qualification,Palermo,Italy,True
1961-04-02,Ghana,Morocco,0,0,FIFA World Cup qualification,Accra,Ghana,False
1961-05-28,Morocco,Ghana,1,0,FIFA World Cup qualification,Casablanca,Morocco,False
1961-06-18,Yugoslavia,Morocco,3,2,Friendly,Belgrade,Yugoslavia,False
1961-06-21,German DR,Morocco,1,2,Friendly,Erfurt,German DR,False
1961-11-12,Morocco,Spain,0,1,FIFA World Cup qualification,Casablanca,Morocco,False
1961-11-23,Spain,Morocco,3,2,FIFA World Cup qualification,Madrid,Spain,False
1961-12-10,Morocco,German DR,2,0,Friendly,Casablanca,Morocco,False
1962-04-15,Morocco,Poland,1,3,Friendly,Casablanca,Morocco,False
1962-09-30,Romania,Morocco,4,0,Friendly,Bucharest,Romania,False
1962-10-11,Poland,Morocco,1,1,Friendly,Warsaw,Poland,False
1962-12-23,Morocco,Romania,3,1,Friendly,Casablanca,Morocco,False
1963-01-13,Morocco,Switzerland,1,0,Friendly,Casablanca,Morocco,False
1963-06-16,Tunisia,Morocco,4,1,African Cup of Nations qualification,Tunis,Tunisia,False
1963-07-02,Morocco,Tunisia,4,2,African Cup of Nations qualification,Casablanca,Morocco,False
1963-12-01,Morocco,Russia,1,1,Friendly,Casablanca,Morocco,False
1963-12-29,Morocco,Germany,1,4,Friendly,Casablanca,Morocco,False
1965-02-28,Tunisia,Morocco,0,0,Friendly,Tunis,Tunisia,False
1965-03-12,Kuwait,Morocco,0,2,Friendly,Tripoli,Libya,True
1965-03-19,Libya,Morocco,1,0,Friendly,Tripoli,Libya,False
1965-05-02,Morocco,Tunisia,0,1,Friendly,Casablanca,Morocco,False
1965-10-31,Algeria,Morocco,0,0,Friendly,Algiers,Algeria,False
1966-03-06,Morocco,Algeria,1,0,Friendly,Casablanca,Morocco,False
