Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1975-06-25,Mozambique,Zambia,2,1,Friendly,Maputo,Mozambique,False
1975-06-29,Mozambique,Tanzania,2,1,Friendly,Maputo,Mozambique,False
1975-10-24,Zambia,Mozambique,3,0,Friendly,Lusaka,Zambia,False
1977-02-01,Tanzania,Mozambique,2,1,Friendly,Dar es Salaam,Tanzania,False
1977-05-30,Mozambique,Cuba,0,2,Friendly,Maputo,Mozambique,False
1978-09-30,Botswana,Mozambique,1,4,Friendly,Gaborone,Botswana,False
1978-10-01,Botswana,Mozambique,0,2,Friendly,Gaborone,Botswana,False
1979-05-19,Mozambique,Zimbabwe,0,6,Friendly,Maputo,Mozambique,False
1980-04-20,Zimbabwe,Mozambique,6,0,Friendly,Salisbury,Zimbabwe,False
1980-04-21,Mozambique,Tanzania,0,2,Friendly,Bulawayo,Zimbabwe,True
1980-07-13,DR Congo,Mozambique,5,2,FIFA World Cup qualification,Kinshasa,Zaïre,False
1980-07-27,Mozambique,DR Congo,1,2,FIFA World Cup qualification,Maputo,Mozambique,False
1980-08-10,Mozambique,Lesotho,6,1,African Cup of Nations qualification,Maputo,Mozambique,False
1980-08-24,Lesotho,Mozambique,2,1,African Cup of Nations qualification,Maseru,Lesotho,False
1980-11-12,Ethiopia,Mozambique,3,2,Friendly,Addis Ababa,Ethiopia,False
1981-04-05,DR Congo,Mozambique,2,1,African Cup of Nations qualification,Kinshasa,Zaïre,False
1981-04-18,Lesotho,Mozambique,0,2,Friendly,Umtali,Zimbabwe,True
1981-04-19,Mozambique,DR Congo,3,3,African Cup of Nations qualification,Maputo,Mozambique,False
1981-06-25,Mozambique,Angola,0,1,Friendly,Maputo,Mozambique,False
1981-07-06,Malawi,Mozambique,3,1,Friendly,Blantyre,Malawi,False
1981-07-08,Mozambique,Zimbabwe,2,4,Friendly,Lilongwe,Malawi,True
1982-06-27,Mozambique,Zimbabwe,1,1,Friendly,Maputo,Mozambique,False
1983-04-03,Mozambique,Cameroon,3,0,African Cup of Nations qualification,Maputo,Mozambique,False
1983-04-24,Cameroon,Mozambique,4,0,African Cup of Nations qualification,Yaoundé,Cameroon,False
1983-06-16,Malawi,Mozambique,2,0,Friendly,Lilongwe,Malawi,False
1983-06-18,Malawi,Mozambique,0,0,Friendly,Blantyre,Malawi,False
1984-09-16,Mauritius,Mozambique,0,0,African Cup of Nations qualification,Curepipe,Mauritius,False
1984-09-30,Mozambique,Mauritius,3,0,African Cup of Nations qualification,Maputo,Mozambique,False
1985-03-31,Malawi,Mozambique,1,1,African Cup of Nations qualification,Lilongwe,Malawi,False
1985-04-16,Mozambique,Malawi,1,1,African Cup of Nations qualification,Maputo,Mozambique,False
1985-08-23,Libya,Mozambique,2,1,African Cup of Nations qualification,Benghazi,Libya,False
1985-09-15,Mozambique,Libya,2,1,African Cup of Nations qualification,Maputo,Mozambique,False
1985-11-08,Angola,Mozambique,0,0,Friendly,Luanda,Angola,False
1985-11-11,Mozambique,Zimbabwe,1,2,Friendly,Luanda,Angola,True
1986-02-25,Algeria,Mozambique,4,1,Friendly,Algiers,Algeria,False
1986-03-07,Ivory Coast,Mozambique,3,0,African Cup of Nations,Cairo,Egypt,True
1986-03-10,Mozambique,Senegal,0,2,African Cup of Nations,Cairo,Egypt,True
1986-03-13,Egypt,Mozambique,2,0,African Cup of Nations,Cairo,Egypt,False
1987-03-29,Mozambique,Zimbabwe,1,1,African Cup of Nations qualification,Maputo,Mozambique,False
1987-04-11,Zimbabwe,Mozambique,1,0,African Cup of Nations qualification,Harare,Zimbabwe,False
1988-06-10,Mozambique,Malawi,1,2,Friendly,Maputo,Mozambique,False
1988-06-14,Mozambique,Malawi,1,1,Friendly,Maputo,Mozambique,False
1988-09-26,Malawi,Mozambique,1,1,Friendly,Blantyre,Malawi,False
1988-09-28,Malawi,Mozambique,1,0,Friendly,Lilongwe,Malawi,False
1989-04-13,Angola,Mozambique,1,1,Friendly,Luanda,Angola,False
1989-04-16,Mozambique,Zambia,0,1,African Cup of Nations qualification,Maputo,Mozambique,False
1989-04-30,Zambia,Mozambique,3,0,African Cup of Nations qualification,Lusaka,Zambia,False
