Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1951-03-05,Iran,Myanmar,2,0,Asian Games,New Delhi,India,True
1952-03-14,Myanmar,India,0,4,Friendly,Colombo,Ceylon,True
1952-03-18,Myanmar,Pakistan,0,1,Friendly,Colombo,Ceylon,True
1953-10-24,Myanmar,Sri Lanka,3,2,Friendly,Yangon,Burma,False
1953-10-28,Myanmar,Pakistan,1,1,Friendly,Yangon,Burma,False
1953-10-31,Myanmar,India,2,4,Friendly,Yangon,Burma,False
1954-05-04,Myanmar,Singapore,1,1,Asian Games,Manila,Philippines,True
1954-05-05,Myanmar,Pakistan,2,1,Asian Games,Manila,Philippines,True
1954-05-07,Myanmar,South Korea,2,2,Asian Games,Manila,Philippines,True
1954-05-08,Indonesia,Myanmar,4,5,Asian Games,Manila,Philippines,True
1954-12-19,India,Myanmar,2,1,Friendly,Calcutta,India,False
1954-12-23,Myanmar,Pakistan,1,1,Friendly,Calcutta,India,True
1954-12-25,Myanmar,Sri Lanka,1,2,Friendly,Calcutta,India,True
1955-01-11,Myanmar,Japan,0,1,Friendly,Yangon,Burma,False
1955-10-09,Japan,Myanmar,0,0,Friendly,Tokyo,Japan,False
1955-12-17,Pakistan,Myanmar,4,2,Friendly,Dhaka,Pakistan,False
1955-12-22,Myanmar,India,1,2,Friendly,Dhaka,Pakistan,True
1955-12-25,Myanmar,Sri Lanka,3,1,Friendly,Dhaka,Pakistan,True
1956-06-25,Myanmar,China PR,2,3,Friendly,Yangon,Burma,False
1957-06-27,Myanmar,China PR,2,1,Friendly,Yangon,Burma,False
1957-09-01,Malaysia,Myanmar,5,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1957-09-03,Myanmar,Cambodia,2,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-05,Myanmar,Thailand,5,2,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-07,Myanmar,Singapore,2,3,Merdeka Tournament,Kuala Lumpur,Malaya,True
1957-09-10,Singapore,Myanmar,2,1,Friendly,Singapore,Singapore,False
1958-05-25,Indonesia,Myanmar,4,2,Asian Games,Tokyo,Japan,True
1958-05-26,Myanmar,India,2,3,Asian Games,Tokyo,Japan,True
1959-12-13,Malaysia,Myanmar,2,1,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1959-12-14,Vietnam Republic,Myanmar,3,0,Southeast Asian Peninsular Games,Bangkok,Thailand,True
1959-12-15,Thailand,Myanmar,5,2,Southeast Asian Peninsular Games,Bangkok,Thailand,False
1961-10-28,Myanmar,South Korea,3,0,Friendly,Yangon,Burma,False
1961-12-11,Myanmar,Cambodia,4,0,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-13,Myanmar,Malaysia,1,2,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-14,Myanmar,Vietnam Republic,2,1,Southeast Asian Peninsular Games,Rangoon,Burma,False
1961-12-16,Myanmar,Malaysia,0,2,Southeast Asian Peninsular Games,Rangoon,Burma,False
1962-09-09,Myanmar,Pakistan,0,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-13,Malaysia,Myanmar,3,2,Merdeka Tournament,Kuala Lumpur,Malaya,False
1962-09-15,Myanmar,Japan,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-01-14,Myanmar,China PR,0,3,Friendly,Yangon,Burma,False
1963-01-20,Myanmar,China PR,2,1,Friendly,Yangon,Burma,False
1963-09-04,China PR,Myanmar,4,0,Friendly,Beijing,China PR,False
1963-12-17,Myanmar,German DR,1,5,Friendly,Yangon,Burma,False
1964-08-28,Malaysia,Myanmar,0,3,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1964-08-30,Myanmar,Taiwan,2,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-02,Myanmar,Vietnam Republic,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1964-09-06,Myanmar,India,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-03-22,Myanmar,Japan,1,1,Friendly,Yangon,Burma,False
1965-08-15,Myanmar,Hong Kong,4,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-20,Japan,Myanmar,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-22,Myanmar,Thailand,1,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-24,Myanmar,Taiwan,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1965-08-27,Myanmar,India,1,1,Merdeka Tournament,Ipoh,Malaysia,True
1965-12-15,Myanmar,Singapore,1,0,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
1965-12-18,Malaysia,Myanmar,0,2,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,False
1965-12-22,Myanmar,Thailand,2,2,Southeast Asian Peninsular Games,Kuala Lumpur,Malaysia,True
