Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1989-05-16,Namibia,Angola,0,1,Friendly,Windhoek,Namibia,False
1990-06-07,Namibia,Mauritius,1,2,Friendly,Windhoek,Namibia,False
1992-08-01,Lesotho,Namibia,2,0,Friendly,Maseru,Lesotho,False
1992-08-02,Lesotho,Namibia,2,2,Friendly,Maseru,Lesotho,False
1992-10-11,Madagascar,Namibia,3,0,FIFA World Cup qualification,Antananarivo,Madagascar,False
1992-10-25,Namibia,Zambia,0,4,FIFA World Cup qualification,Windhoek,Namibia,False
1992-12-19,Tanzania,Namibia,2,0,FIFA World Cup qualification,Mwanza,Tanzania,False
1993-01-17,Namibia,Madagascar,0,1,FIFA World Cup qualification,Windhoek,Namibia,False
1993-01-20,Zambia,Namibia,4,0,FIFA World Cup qualification,Lusaka,Zambia,False
1994-07-01,Botswana,Namibia,0,1,Friendly,Gaborone,Botswana,False
1994-08-25,Namibia,Botswana,2,3,Friendly,Windhoek,Namibia,False
1994-09-04,Angola,Namibia,2,0,African Cup of Nations qualification,Luanda,Angola,False
1994-10-15,Namibia,Mali,2,1,African Cup of Nations qualification,Windhoek,Namibia,False
1994-11-13,Namibia,Botswana,1,1,African Cup of Nations qualification,Windhoek,Namibia,False
1994-12-10,Namibia,Ivory Coast,2,1,Friendly,Windhoek,Namibia,False
1995-01-08,Guinea,Namibia,3,0,African Cup of Nations qualification,Conakry,Guinea,False
1995-01-22,Mozambique,Namibia,4,2,African Cup of Nations qualification,Maputo,Mozambique,False
1995-04-09,Namibia,Angola,2,2,African Cup of Nations qualification,Windhoek,Namibia,False
1995-04-23,Mali,Namibia,2,0,African Cup of Nations qualification,Bamako,Mali,False
1995-06-04,Botswana,Namibia,1,1,African Cup of Nations qualification,Gaborone,Botswana,False
1995-07-16,Namibia,Guinea,0,0,African Cup of Nations qualification,Windhoek,Namibia,False
1995-07-30,Namibia,Mozambique,0,0,African Cup of Nations qualification,Windhoek,Namibia,False
1996-06-01,Namibia,Mozambique,2,0,FIFA World Cup qualification,Windhoek,Namibia,False
