Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1905-04-30,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1905-05-14,Netherlands,Belgium,4,0,Friendly,Rotterdam,Netherlands,False
1906-04-29,Belgium,Netherlands,5,0,Friendly,Antwerp,Belgium,False
1906-05-13,Netherlands,Belgium,2,3,Friendly,Rotterdam,Netherlands,False
1907-04-14,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,False
1907-05-09,Netherlands,Belgium,1,2,Friendly,Haarlem,Netherlands,False
1908-03-29,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1908-04-26,Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands,False
1908-05-10,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,False
1908-10-23,Netherlands,Sweden,2,0,Olympic Games,London,England,True
1908-10-25,Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands,False
1909-03-21,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1909-04-25,Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands,False
1910-03-13,Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium,False
1910-04-10,Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands,False
1910-04-24,Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands,False
1910-10-16,Germany,Netherlands,1,2,Friendly,Kleve,Germany,False
1911-03-19,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium,False
1911-04-02,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands,False
1912-03-10,Belgium,Netherlands,1,2,Friendly,Antwerp,Belgium,False
1912-03-24,Netherlands,Germany,5,5,Friendly,Zwolle,Netherlands,False
1912-04-28,Netherlands,Belgium,4,3,Friendly,Dordrecht,Netherlands,False
1912-06-29,Sweden,Netherlands,3,4,Olympic Games,Stockholm,Sweden,False
1912-06-30,Netherlands,Austria,3,1,Olympic Games,Stockholm,Sweden,True
1912-07-02,Denmark,Netherlands,4,1,Olympic Games,Stockholm,Sweden,True
1912-07-04,Netherlands,Finland,9,0,Olympic Games,Stockholm,Sweden,True
1912-11-17,Germany,Netherlands,2,3,Friendly,Leipzig,Germany,False
1913-03-09,Belgium,Netherlands,3,3,Friendly,Antwerp,Belgium,False
1913-04-20,Netherlands,Belgium,2,4,Friendly,Zwolle,Netherlands,False
1914-03-15,Belgium,Netherlands,2,4,Friendly,Antwerp,Belgium,False
1914-04-05,Netherlands,Germany,4,4,Friendly,Amsterdam,Netherlands,False
1914-04-26,Netherlands,Belgium,4,2,Friendly,Amsterdam,Netherlands,False
1914-05-17,Denmark,Netherlands,4,3,Friendly,Copenhagen,Denmark,False
1919-06-09,Netherlands,Sweden,3,1,Friendly,Amsterdam,Netherlands,False
1919-08-24,Sweden,Netherlands,4,1,Friendly,Stockholm,Sweden,False
1919-08-31,Norway,Netherlands,1,1,Friendly,Oslo,Norway,False
1920-04-05,Netherlands,Denmark,2,0,Friendly,Amsterdam,Netherlands,False
1920-05-13,Italy,Netherlands,1,1,Friendly,Genoa,Italy,False
1920-05-16,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,False
1920-08-28,Netherlands,Luxembourg,3,0,Olympic Games,Brussels,Belgium,True
1920-08-29,Netherlands,Sweden,5,4,Olympic Games,Antwerp,Belgium,True
1920-08-31,Belgium,Netherlands,3,0,Olympic Games,Antwerp,Belgium,False
1920-09-05,Spain,Netherlands,3,1,Olympic Games,Antwerp,Belgium,True
1921-05-08,Netherlands,Italy,2,2,Friendly,Amsterdam,Netherlands,False
1921-05-15,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
1921-06-12,Denmark,Netherlands,1,1,Friendly,Copenhagen,Denmark,False
1921-11-13,France,Netherlands,0,5,Friendly,Vincennes,France,False
1922-03-26,Belgium,Netherlands,4,0,Friendly,Antwerp,Belgium,False
1922-04-17,Netherlands,Denmark,2,0,Friendly,Amsterdam,Netherlands,False
1922-05-07,Netherlands,Belgium,1,2,Friendly,Amsterdam,Netherlands,False
1922-11-19,Switzerland,Netherlands,5,0,Friendly,Bern,Switzerland,False
1923-04-02,Netherlands,France,8,1,Friendly,Amsterdam,Netherlands,False
1923-04-29,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1923-05-10,Germany,Netherlands,0,0,Friendly,Hamburg,Germany,False
1923-11-25,Netherlands,Switzerland,4,1,Friendly,Amsterdam,Netherlands,False
1924-03-23,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1924-04-21,Netherlands,Germany,0,1,Friendly,Amsterdam,Netherlands,False
1924-04-27,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
1924-05-27,Netherlands,Romania,6,0,Olympic Games,Colombes,France,True
1924-06-02,Netherlands,Republic of Ireland,2,1,Olympic Games,Paris,France,True
1924-06-06,Uruguay,Netherlands,2,1,Olympic Games,Colombes,France,True
1924-06-08,Sweden,Netherlands,1,1,Olympic Games,Colombes,France,True
1924-06-09,Sweden,Netherlands,3,1,Olympic Games,Colombes,France,True
1924-11-02,Netherlands,South Africa,2,1,Friendly,Amsterdam,Netherlands,False
1925-03-15,Belgium,Netherlands,0,1,Friendly,Antwerp,Belgium,False
1925-03-29,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,False
1925-04-19,Switzerland,Netherlands,4,1,Friendly,Zürich,Switzerland,False
1925-05-03,Netherlands,Belgium,5,0,Friendly,Amsterdam,Netherlands,False
1925-10-25,Netherlands,Denmark,4,2,Friendly,Amsterdam,Netherlands,False
1926-03-14,Belgium,Netherlands,1,1,Friendly,Antwerp,Belgium,False
1926-03-28,Netherlands,Switzerland,5,0,Friendly,Amsterdam,Netherlands,False
1926-04-18,Germany,Netherlands,4,2,Friendly,Düsseldorf,Germany,False
1926-05-02,Netherlands,Belgium,1,5,Friendly,Amsterdam,Netherlands,False
1926-06-13,Denmark,Netherlands,4,1,Friendly,Copenhagen,Denmark,False
1926-10-31,Netherlands,Germany,2,3,Friendly,Amsterdam,Netherlands,False
1927-03-13,Belgium,Netherlands,2,0,Friendly,Antwerp,Belgium,False
1927-05-01,Netherlands,Belgium,3,2,Friendly,Amsterdam,Netherlands,False
1927-06-12,Denmark,Netherlands,1,1,Friendly,Copenhagen,Denmark,False
1927-11-13,Netherlands,Sweden,1,0,Friendly,Amsterdam,Netherlands,False
1927-11-20,Germany,Netherlands,2,2,Friendly,Cologne,Germany,False
1928-03-11,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1928-04-01,Belgium,Netherlands,1,0,Friendly,Antwerp,Belgium,False
1928-04-22,Netherlands,Denmark,2,0,Friendly,Amsterdam,Netherlands,False
1928-05-06,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,False
1928-05-30,Netherlands,Uruguay,0,2,Olympic Games,Amsterdam,Netherlands,False
1928-06-05,Netherlands,Belgium,3,1,Olympic Games,Rotterdam,Netherlands,False
1928-06-08,Netherlands,Chile,2,2,Olympic Games,Rotterdam,Netherlands,False
1928-06-14,Netherlands,Egypt,1,2,Friendly,Rotterdam,Netherlands,False
1928-11-04,Netherlands,Belgium,1,1,Friendly,Amsterdam,Netherlands,False
1928-12-02,Italy,Netherlands,3,2,Friendly,Milan,Italy,False
1929-03-17,Netherlands,Switzerland,3,2,Friendly,Amsterdam,Netherlands,False
1929-05-05,Belgium,Netherlands,3,1,Friendly,Antwerp,Belgium,False
1929-06-04,Netherlands,Scotland,0,2,Friendly,Amsterdam,Netherlands,False
1929-06-09,Sweden,Netherlands,6,2,Friendly,Stockholm,Sweden,False
1929-06-12,Norway,Netherlands,4,4,Friendly,Oslo,Norway,False
1929-11-03,Netherlands,Norway,1,4,Friendly,Amsterdam,Netherlands,False
1930-04-06,Netherlands,Italy,1,1,Friendly,Amsterdam,Netherlands,False
1930-05-04,Netherlands,Belgium,2,2,Friendly,Amsterdam,Netherlands,False
1930-05-18,Belgium,Netherlands,3,1,Friendly,Antwerp,Belgium,False
1930-06-08,Hungary,Netherlands,6,2,Friendly,Budapest,Hungary,False
1930-11-02,Switzerland,Netherlands,6,3,Friendly,Zürich,Switzerland,False
1931-03-29,Netherlands,Belgium,3,2,Friendly,Amsterdam,Netherlands,False
1931-04-26,Netherlands,Germany,1,1,Friendly,Amsterdam,Netherlands,False
1931-05-03,Belgium,Netherlands,4,2,Friendly,Antwerp,Belgium,False
1931-06-14,Denmark,Netherlands,0,2,Friendly,Copenhagen,Denmark,False
1931-11-29,France,Netherlands,3,4,Friendly,Colombes,France,False
1932-03-20,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
1932-04-17,Netherlands,Belgium,2,1,Friendly,Amsterdam,Netherlands,False
1932-05-08,Netherlands,Republic of Ireland,0,2,Friendly,Amsterdam,Netherlands,False
1932-05-29,Netherlands,Czechoslovakia,1,2,Friendly,Amsterdam,Netherlands,False
1932-12-04,Germany,Netherlands,0,2,Friendly,Düsseldorf,Germany,False
1933-01-22,Netherlands,Switzerland,0,2,Friendly,Amsterdam,Netherlands,False
1933-03-05,Netherlands,Hungary,1,2,Friendly,Amsterdam,Netherlands,False
1933-04-09,Belgium,Netherlands,1,3,Friendly,Antwerp,Belgium,False
