Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1951-09-19,New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False
1951-09-22,New Caledonia,New Zealand,4,6,Friendly,Nouméa,New Caledonia,False
1951-09-24,New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False
1951-09-30,New Caledonia,New Zealand,1,3,Friendly,Nouméa,New Caledonia,False
1953-09-20,New Caledonia,Tahiti,5,0,Friendly,Nouméa,New Caledonia,False
1953-09-23,New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False
1953-09-26,New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False
1955-07-12,Tahiti,New Caledonia,1,1,Friendly,Papeete,Tahiti,False
1957-09-15,New Caledonia,Tahiti,2,4,Friendly,Nouméa,New Caledonia,False
1957-09-18,New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False
1957-09-27,New Caledonia,Tahiti,2,0,Friendly,Nouméa,New Caledonia,False
1958-08-31,New Caledonia,New Zealand,1,2,Friendly,Nouméa,New Caledonia,False
1958-09-07,New Caledonia,New Zealand,1,5,Friendly,Nouméa,New Caledonia,False
1958-09-14,New Caledonia,New Zealand,1,2,Friendly,Nouméa,New Caledonia,False
1959-07-21,Tahiti,New Caledonia,2,4,Friendly,Papeete,Tahiti,False
1959-07-22,Tahiti,New Caledonia,3,1,Friendly,Papeete,Tahiti,False
1961-09-05,New Caledonia,Tahiti,2,2,Friendly,Nouméa,New Caledonia,False
1961-09-08,New Caledonia,Tahiti,3,0,Friendly,Nouméa,New Caledonia,False
1961-09-22,New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False
1962-06-02,New Zealand,New Caledonia,4,1,Friendly,Christchurch,New Zealand,False
1962-06-04,New Zealand,New Caledonia,4,2,Friendly,Wellington,New Zealand,False
1963-09-01,New Caledonia,Tahiti,2,1,South Pacific Games,Suva,Fiji,True
1963-09-06,Fiji,New Caledonia,2,8,South Pacific Games,Suva,Fiji,False
1964-09-10,Tahiti,New Caledonia,0,2,Friendly,Papeete,Tahiti,False
1964-09-27,Tahiti,New Caledonia,4,1,Friendly,Papeete,Tahiti,False
1965-09-11,New Caledonia,Tahiti,4,1,Friendly,Nouméa,New Caledonia,False
1965-09-13,New Caledonia,Tahiti,2,1,Friendly,Nouméa,New Caledonia,False
1966-12-12,New Caledonia,Vanuatu,5,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-12,New Caledonia,Solomon Islands,8,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-15,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Nouméa,New Caledonia,False
1966-12-17,New Caledonia,Tahiti,0,2,South Pacific Games,Nouméa,New Caledonia,False
1967-11-08,New Caledonia,New Zealand,4,0,Friendly,Nouméa,New Caledonia,False
1968-09-19,New Caledonia,Fiji,2,1,Friendly,Nouméa,New Caledonia,False
1968-10-08,New Zealand,New Caledonia,1,3,Friendly,Auckland,New Zealand,False
1968-12-09,New Caledonia,Tahiti,0,1,Friendly,Nouméa,New Caledonia,False
1968-12-15,New Caledonia,Tahiti,1,1,Friendly,Nouméa,New Caledonia,False
1969-07-25,New Caledonia,New Zealand,0,0,Friendly,Nouméa,New Caledonia,False
1969-07-27,New Caledonia,New Zealand,2,0,Friendly,Nouméa,New Caledonia,False
1969-07-29,New Caledonia,New Zealand,3,2,Friendly,Nouméa,New Caledonia,False
1969-08-14,Papua New Guinea,New Caledonia,1,4,South Pacific Games,Port Moresby,Papua New Guinea,False
1969-08-15,New Caledonia,Solomon Islands,1,1,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-16,New Caledonia,Vanuatu,2,0,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-18,Fiji,New Caledonia,0,11,South Pacific Games,Port Moresby,Papua New Guinea,True
1969-08-22,New Caledonia,Tahiti,2,1,South Pacific Games,Port Moresby,Papua New Guinea,True
1970-07-11,Tahiti,New Caledonia,3,1,Friendly,Papeete,Tahiti,False
1970-07-18,Tahiti,New Caledonia,0,2,Friendly,Papeete,Tahiti,False
1970-10-23,New Caledonia,Australia,1,3,Friendly,Nouméa,New Caledonia,False
1970-10-25,New Caledonia,Australia,0,1,Friendly,Nouméa,New Caledonia,False
1971-07-18,New Caledonia,New Zealand,4,2,Friendly,Nouméa,New Caledonia,False
1971-07-20,New Caledonia,New Zealand,2,1,Friendly,Nouméa,New Caledonia,False
1971-09-09,Fiji,New Caledonia,1,5,South Pacific Games,Papeete,Tahiti,True
1971-09-13,New Caledonia,Vanuatu,0,0,South Pacific Games,Papeete,Tahiti,True
1971-09-16,New Caledonia,Papua New Guinea,4,0,South Pacific Games,Papeete,Tahiti,True
1971-09-18,New Caledonia,Vanuatu,7,1,South Pacific Games,Papeete,Tahiti,True
1972-09-17,New Zealand,New Caledonia,4,1,Friendly,Wellington,New Zealand,False
1972-09-30,New Zealand,New Caledonia,2,1,Friendly,Auckland,New Zealand,False
1972-10-14,New Caledonia,New Zealand,3,1,Friendly,Nouméa,New Caledonia,False
1973-02-08,New Caledonia,Bulgaria,3,5,Friendly,Nouméa,New Caledonia,False
1973-02-17,New Caledonia,Tahiti,1,2,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-18,New Caledonia,Vanuatu,4,1,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-20,Fiji,New Caledonia,0,2,Oceania Nations Cup,Auckland,New Zealand,True
1973-02-21,New Zealand,New Caledonia,2,1,Oceania Nations Cup,Auckland,New Zealand,False
1973-02-24,New Caledonia,Vanuatu,2,1,Oceania Nations Cup,Auckland,New Zealand,True
1974-02-17,Tahiti,New Caledonia,2,1,Friendly,Papeete,Tahiti,False
1974-02-17,Tahiti,New Caledonia,1,2,Friendly,Papeete,Tahiti,False
1974-02-20,Tahiti,New Caledonia,2,2,Friendly,Papeete,Tahiti,False
1975-08-02,New Caledonia,Tahiti,3,0,South Pacific Games,Tamuning,Guam,True
1975-08-04,New Caledonia,Vanuatu,3,1,South Pacific Games,Tamuning,Guam,True
1975-08-05,New Caledonia,Papua New Guinea,5,1,South Pacific Games,Tamuning,Guam,True
1975-08-07,New Caledonia,Solomon Islands,4,0,South Pacific Games,Tamuning,Guam,True
1975-08-09,New Caledonia,Tahiti,1,2,South Pacific Games,Tamuning,Guam,True
1976-10-02,New Caledonia,New Zealand,2,1,Friendly,Nouméa,New Caledonia,False
1977-03-05,New Zealand,New Caledonia,3,0,Friendly,Auckland,New Zealand,False
1977-03-08,New Zealand,New Caledonia,4,0,Friendly,Auckland,New Zealand,False
1978-08-13,New Caledonia,Tahiti,2,0,Friendly,Nouméa,New Caledonia,False
1978-08-20,New Caledonia,Tahiti,3,4,Friendly,Nouméa,New Caledonia,False
