Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1956-10-07,China PR,North Korea,0,1,Friendly,Beijing,China PR,False
1956-10-10,North Korea,North Vietnam,3,0,Friendly,Beijing,China PR,True
1959-10-22,North Korea,North Vietnam,5,0,Friendly,Pyongyang,North Korea,False
1959-10-25,North Korea,China PR,1,0,Friendly,Pyongyang,North Korea,False
1960-10-04,China PR,North Korea,1,0,Friendly,Hanoi,North Vietnam,True
1960-10-08,North Vietnam,North Korea,1,3,Friendly,Hanoi,North Vietnam,False
1960-10-10,Mongolia,North Korea,1,10,Friendly,Hanoi,North Vietnam,True
1963-11-11,North Korea,Somalia,14,0,Friendly,Jakarta,Indonesia,True
1963-11-18,Indonesia,North Korea,1,5,Friendly,Jakarta,Indonesia,False
1963-11-19,North Korea,North Vietnam,2,0,Friendly,Jakarta,Indonesia,True
1963-11-22,Egypt,North Korea,1,1,Friendly,Jakarta,Indonesia,True
1965-08-02,North Korea,North Vietnam,1,0,Friendly,Pyongyang,North Korea,False
1965-08-04,North Korea,China PR,3,0,Friendly,Pyongyang,North Korea,False
1965-08-07,North Korea,Guinea,3,0,Friendly,Pyongyang,North Korea,False
1965-08-08,North Korea,Indonesia,3,0,Friendly,Pyongyang,North Korea,False
1965-08-10,North Korea,Cambodia,4,0,Friendly,Pyongyang,North Korea,False
1965-11-21,North Korea,Australia,6,1,FIFA World Cup qualification,Phnom Penh,Cambodia,True
1965-11-24,Australia,North Korea,1,3,FIFA World Cup qualification,Phnom Penh,Cambodia,True
1966-07-12,North Korea,Russia,0,3,FIFA World Cup,Middlesbrough,England,True
1966-07-15,Chile,North Korea,1,1,FIFA World Cup,Middlesbrough,England,True
1966-07-19,Italy,North Korea,0,1,FIFA World Cup,Middlesbrough,England,True
1966-07-23,North Korea,Portugal,3,5,FIFA World Cup,Liverpool,England,True
1966-11-26,Cambodia,North Korea,0,2,GaNEFo,Phnom Penh,Cambodia,False
1966-11-29,Palestine,North Korea,1,5,GaNEFo,Phnom Penh,Cambodia,True
1966-11-30,North Korea,Yemen,14,0,GaNEFo,Phnom Penh,Cambodia,True
1966-12-03,China PR,North Korea,1,2,GaNEFo,Phnom Penh,Cambodia,True
1966-12-06,North Korea,North Vietnam,3,1,GaNEFo,Phnom Penh,Cambodia,True
1969-12-05,Algeria,North Korea,1,3,Friendly,Algiers,Algeria,False
1973-05-04,Iran,North Korea,0,0,FIFA World Cup qualification,Tehran,Iran,False
1973-05-06,North Korea,Syria,1,1,FIFA World Cup qualification,Tehran,Iran,True
1973-05-08,North Korea,Kuwait,0,0,FIFA World Cup qualification,Tehran,Iran,True
1973-05-11,Iran,North Korea,2,1,FIFA World Cup qualification,Tehran,Iran,False
1973-05-13,North Korea,Syria,3,0,FIFA World Cup qualification,Tehran,Iran,True
1973-05-15,North Korea,Kuwait,0,2,FIFA World Cup qualification,Tehran,Iran,True
1973-07-25,Norway,North Korea,3,0,Friendly,Bergen,Norway,False
1974-05-25,Bulgaria,North Korea,6,1,Friendly,Sofia,Bulgaria,False
1974-09-02,North Korea,China PR,2,0,Asian Games,Tehran,Iran,True
1974-09-04,North Korea,Iraq,0,1,Asian Games,Tehran,Iran,True
1974-09-06,India,North Korea,1,4,Asian Games,Tehran,Iran,True
1974-09-10,Kuwait,North Korea,0,2,Asian Games,Tehran,Iran,True
1974-09-12,Israel,North Korea,2,0,Asian Games,Tehran,Iran,True
1974-09-14,North Korea,Myanmar,2,2,Asian Games,Tehran,Iran,True
1974-09-15,North Korea,Malaysia,1,2,Asian Games,Tehran,Iran,True
1975-06-15,China PR,North Korea,1,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1975-06-17,North Korea,Japan,1,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1975-06-19,North Korea,Singapore,1,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1975-06-24,Hong Kong,North Korea,3,3,AFC Asian Cup qualification,So Kon Po,Hong Kong,False
1975-06-26,North Korea,China PR,2,0,AFC Asian Cup qualification,So Kon Po,Hong Kong,True
1976-05-05,Bulgaria,North Korea,3,0,Friendly,Sofia,Bulgaria,False
1978-02-27,Iraq,North Korea,1,0,Friendly,Baghdad,Iraq,False
1978-12-13,Myanmar,North Korea,0,3,Asian Games,Bangkok,Thailand,True
1978-12-15,Thailand,North Korea,0,3,Asian Games,Bangkok,Thailand,False
1978-12-17,Iraq,North Korea,0,1,Asian Games,Bangkok,Thailand,True
1978-12-18,India,North Korea,1,3,Asian Games,Bangkok,Thailand,True
1978-12-19,North Korea,Kuwait,2,2,Asian Games,Bangkok,Thailand,True
1978-12-20,North Korea,South Korea,0,0,Asian Games,Bangkok,Thailand,True
1979-05-02,North Korea,Hong Kong,3,0,AFC Asian Cup qualification,Bangkok,Thailand,True
1979-05-07,North Korea,Indonesia,3,1,AFC Asian Cup qualification,Bangkok,Thailand,True
1979-05-09,Malaysia,North Korea,1,1,AFC Asian Cup qualification,Bangkok,Thailand,True
1979-05-12,Thailand,North Korea,0,1,AFC Asian Cup qualification,Bangkok,Thailand,False
1979-05-14,North Korea,Malaysia,1,0,AFC Asian Cup qualification,Bangkok,Thailand,True
1979-08-23,North Korea,Japan,0,0,Friendly,Pyongyang,North Korea,False
1980-09-16,North Korea,Bangladesh,3,2,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-18,North Korea,China PR,2,1,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-24,Iran,North Korea,3,2,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-26,Syria,North Korea,1,2,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-28,South Korea,North Korea,2,1,AFC Asian Cup,Kuwait City,Kuwait,True
1980-09-29,Iran,North Korea,3,0,AFC Asian Cup,Kuwait City,Kuwait,True
1980-12-22,North Korea,Macau,3,0,FIFA World Cup qualification,So Kon Po,Hong Kong,True
1980-12-26,Singapore,North Korea,0,1,FIFA World Cup qualification,So Kon Po,Hong Kong,True
1980-12-28,Hong Kong,North Korea,2,2,FIFA World Cup qualification,So Kon Po,Hong Kong,False
1980-12-30,North Korea,Japan,1,0,FIFA World Cup qualification,So Kon Po,Hong Kong,True
1981-01-04,North Korea,China PR,2,4,FIFA World Cup qualification,So Kon Po,Hong Kong,True
1982-03-06,Iran,North Korea,2,0,Friendly,Tehran,Iran,False
1982-11-20,North Korea,Syria,1,1,Asian Games,New Delhi,India,True
1982-11-22,North Korea,Thailand,3,0,Asian Games,New Delhi,India,True
1982-11-24,North Korea,Saudi Arabia,2,2,Asian Games,New Delhi,India,True
1982-11-27,North Korea,China PR,1,0,Asian Games,New Delhi,India,True
1982-11-30,North Korea,Kuwait,2,3,Asian Games,New Delhi,India,True
1982-12-02,North Korea,Saudi Arabia,0,2,Asian Games,New Delhi,India,True
1985-01-19,Singapore,North Korea,1,1,FIFA World Cup qualification,Kallang,Singapore,False
1985-02-05,Iran,North Korea,1,0,Friendly,Mashhad,Iran,False
1985-03-21,Japan,North Korea,1,0,FIFA World Cup qualification,Tokyo,Japan,False
1985-04-28,Pakistan,North Korea,0,0,Friendly,Peshawar,Pakistan,False
1985-04-29,North Korea,Nepal,8,1,Friendly,Peshawar,Pakistan,True
1985-04-30,North Korea,Japan,0,0,FIFA World Cup qualification,Pyongyang,North Korea,False
1985-05-02,Indonesia,North Korea,0,7,Friendly,Peshawar,Pakistan,True
1985-05-04,Bangladesh,North Korea,0,1,Friendly,Peshawar,Pakistan,True
1985-05-25,North Korea,Singapore,2,0,FIFA World Cup qualification,Nampo,North Korea,False
1986-04-30,Bulgaria,North Korea,3,0,Friendly,Sofia,Bulgaria,False
1986-08-24,China PR,North Korea,0,0,Merlion Cup,Kallang,Singapore,True
1986-08-27,Canada,North Korea,0,0,Merlion Cup,Kallang,Singapore,True
1986-08-30,Singapore,North Korea,0,2,Merlion Cup,Kallang,Singapore,False
1986-09-04,Canada,North Korea,0,2,Merlion Cup,Kallang,Singapore,True
1986-09-06,China PR,North Korea,2,1,Merlion Cup,Kallang,Singapore,True
1986-10-07,Poland,North Korea,2,2,Friendly,Bydgoszcz,Poland,False
1987-02-21,North Korea,Russia,1,0,King's Cup,Bangkok,Thailand,True
1988-05-08,China PR,North Korea,0,0,Friendly,Hangzhou,China PR,False
1988-05-26,Syria,North Korea,2,1,AFC Asian Cup qualification,Kathmandu,Nepal,True
1988-05-28,Nepal,North Korea,0,1,AFC Asian Cup qualification,Kathmandu,Nepal,False
1988-05-31,North Korea,Hong Kong,1,0,AFC Asian Cup qualification,Kathmandu,Nepal,True
1988-06-02,Iran,North Korea,0,0,AFC Asian Cup qualification,Kathmandu,Nepal,True
1989-01-27,India,North Korea,1,2,Nehru Cup,Margao,India,False
1989-02-04,China PR,North Korea,3,1,King's Cup,Bangkok,Thailand,True
1989-05-21,Indonesia,North Korea,0,0,FIFA World Cup qualification,Jakarta,Indonesia,False
1989-05-27,Hong Kong,North Korea,1,2,FIFA World Cup qualification,Victoria,Hong Kong,False
1989-06-04,Japan,North Korea,2,1,FIFA World Cup qualification,Tokyo,Japan,False
1989-06-25,North Korea,Japan,2,0,FIFA World Cup qualification,Pyongyang,North Korea,False
1989-07-02,North Korea,Hong Kong,4,1,FIFA World Cup qualification,Pyongyang,North Korea,False
1989-07-09,North Korea,Indonesia,2,1,FIFA World Cup qualification,Pyongyang,North Korea,False
1989-10-12,United Arab Emirates,North Korea,0,0,FIFA World Cup qualification,Singapore,Singapore,True
1989-10-16,South Korea,North Korea,1,0,FIFA World Cup qualification,Singapore,Singapore,True
1989-10-20,North Korea,Qatar,2,0,FIFA World Cup qualification,Singapore,Singapore,True
1989-10-24,North Korea,China PR,0,1,FIFA World Cup qualification,Singapore,Singapore,True
1989-10-28,Saudi Arabia,North Korea,2,0,FIFA World Cup qualification,Guangzhou,China PR,True
1990-07-27,China PR,North Korea,2,0,Dynasty Cup,Beijing,China PR,False
1990-07-29,South Korea,North Korea,1,0,Dynasty Cup,Beijing,China PR,True
1990-07-31,Japan,North Korea,0,1,Dynasty Cup,Beijing,China PR,True
1990-09-26,Malaysia,North Korea,0,0,Asian Games,Beijing,China PR,True
1990-09-28,North Korea,Iran,1,2,Asian Games,Beijing,China PR,True
1990-10-01,Saudi Arabia,North Korea,0,0,Asian Games,Beijing,China PR,True
1990-10-03,Thailand,North Korea,0,1,Asian Games,Beijing,China PR,True
1990-10-06,Iran,North Korea,0,0,Asian Games,Beijing,China PR,True
1990-10-11,North Korea,South Korea,2,1,Friendly,Pyongyang,North Korea,False
1990-10-23,South Korea,North Korea,1,0,Friendly,Seoul,South Korea,False
1991-10-19,United States,North Korea,1,2,Friendly,"Washington, D.C.",United States,False
1992-06-03,North Korea,Taiwan,6,0,AFC Asian Cup qualification,Pyongyang,North Korea,False
1992-06-05,North Korea,Macau,2,0,AFC Asian Cup qualification,Pyongyang,North Korea,False
1992-06-07,North Korea,Hong Kong,0,0,AFC Asian Cup qualification,Pyongyang,North Korea,False
1992-08-22,China PR,North Korea,2,2,Dynasty Cup,Beijing,China PR,False
1992-08-24,South Korea,North Korea,1,1,Dynasty Cup,Beijing,China PR,True
1992-08-26,Japan,North Korea,4,1,Dynasty Cup,Beijing,China PR,True
1992-08-29,China PR,North Korea,0,0,Dynasty Cup,Xiaogan,China PR,False
1992-10-30,North Korea,Iran,0,2,AFC Asian Cup,Onomichi,Japan,True
1992-11-01,Japan,North Korea,1,1,AFC Asian Cup,Hiroshima,Japan,False
1992-11-03,United Arab Emirates,North Korea,2,1,AFC Asian Cup,Hiroshima,Japan,True
1993-01-19,North Korea,Bolivia,2,1,Nehru Cup,Madras,India,True
1993-01-31,North Korea,Finland,3,2,Nehru Cup,Madras,India,True
1993-04-09,North Korea,Vietnam,3,0,FIFA World Cup qualification,Doha,Qatar,True
1993-04-11,North Korea,Singapore,2,1,FIFA World Cup qualification,Doha,Qatar,True
1993-04-13,North Korea,Indonesia,4,0,FIFA World Cup qualification,Doha,Qatar,True
1993-04-18,Qatar,North Korea,1,2,FIFA World Cup qualification,Doha,Qatar,False
1993-04-24,Vietnam,North Korea,0,1,FIFA World Cup qualification,Singapore,Singapore,True
1993-04-26,Singapore,North Korea,1,3,FIFA World Cup qualification,Singapore,Singapore,False
1993-04-28,Indonesia,North Korea,1,2,FIFA World Cup qualification,Singapore,Singapore,True
1993-05-02,North Korea,Qatar,2,2,FIFA World Cup qualification,Singapore,Singapore,True
1993-05-12,North Korea,Mongolia,7,0,East Asian Games,Shanghai,China PR,True
1993-05-14,China PR,North Korea,1,1,East Asian Games,Shanghai,China PR,False
1993-05-16,North Korea,Macau,6,0,East Asian Games,Shanghai,China PR,True
1993-10-15,North Korea,Iraq,3,2,FIFA World Cup qualification,Doha,Qatar,True
1993-10-18,North Korea,Saudi Arabia,1,2,FIFA World Cup qualification,Doha,Qatar,True
1993-10-21,North Korea,Japan,0,3,FIFA World Cup qualification,Doha,Qatar,True
1993-10-25,Iran,North Korea,2,1,FIFA World Cup qualification,Doha,Qatar,True
1993-10-28,South Korea,North Korea,3,0,FIFA World Cup qualification,Doha,Qatar,True
1998-09-13,Kuwait,North Korea,4,0,Friendly,Kuwait City,Kuwait,False
1998-12-02,United Arab Emirates,North Korea,3,3,Asian Games,Songkhla,Thailand,True
1998-12-07,North Korea,Uzbekistan,0,4,Asian Games,Bangkok,Thailand,True
1998-12-09,North Korea,Turkmenistan,1,1,Asian Games,Bangkok,Thailand,True
1998-12-11,India,North Korea,0,2,Asian Games,Bangkok,Thailand,True
1999-02-23,Thailand,North Korea,2,2,King's Cup,Bangkok,Thailand,False
2000-02-08,Syria,North Korea,5,1,Friendly,Damascus,Syria,False
2000-02-13,Syria,North Korea,0,0,Friendly,Damascus,Syria,False
2000-02-16,Lebanon,North Korea,1,0,Friendly,Beirut,Lebanon,False
2000-03-25,Thailand,North Korea,0,0,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,True
2000-03-27,Malaysia,North Korea,1,1,AFC Asian Cup qualification,Kuala Lumpur,Malaysia,False
2000-04-04,Thailand,North Korea,5,3,AFC Asian Cup qualification,Bangkok,Thailand,False
2000-04-06,Malaysia,North Korea,1,4,AFC Asian Cup qualification,Bangkok,Thailand,True
2001-01-23,Egypt,North Korea,1,0,Friendly,Ismailia,Egypt,False
2001-01-28,Jordan,North Korea,1,0,Friendly,Zarqa,Jordan,False
2001-01-30,Jordan,North Korea,0,2,Friendly,Zarqa,Jordan,False
2001-07-23,Saudi Arabia,North Korea,1,0,Friendly,Kuala Lumpur,Malaysia,True
2001-08-03,China PR,North Korea,2,2,Friendly,Shanghai,China PR,False
2001-08-05,Kuwait,North Korea,1,1,Friendly,Shanghai,China PR,True
2002-02-07,Singapore,North Korea,2,1,Friendly,Singapore,Singapore,False
2002-02-10,North Korea,Qatar,1,1,King's Cup,Bangkok,Thailand,True
2002-02-12,North Korea,Singapore,4,2,King's Cup,Bangkok,Thailand,True
2002-02-14,Thailand,North Korea,0,1,King's Cup,Bangkok,Thailand,False
2002-02-16,Thailand,North Korea,0,0,King's Cup,Bangkok,Thailand,False
2002-09-07,South Korea,North Korea,0,0,Friendly,Seoul,South Korea,False
2003-02-16,Thailand,North Korea,2,2,King's Cup,Bangkok,Thailand,False
2003-02-18,North Korea,Sweden,1,1,King's Cup,Bangkok,Thailand,True
2003-02-20,North Korea,Qatar,2,2,King's Cup,Bangkok,Thailand,True
2003-02-22,North Korea,Sweden,0,4,King's Cup,Bangkok,Thailand,True
2003-03-24,North Korea,India,2,0,AFC Asian Cup qualification,Pyongyang,North Korea,False
2003-03-30,India,North Korea,1,1,AFC Asian Cup qualification,Margao,India,False
2003-09-04,North Korea,Lebanon,0,1,AFC Asian Cup qualification,Pyongyang,North Korea,False
2003-10-27,North Korea,Iran,1,3,AFC Asian Cup qualification,Pyongyang,North Korea,False
2003-11-03,Lebanon,North Korea,1,1,AFC Asian Cup qualification,Beirut,Lebanon,False
2003-11-12,Iran,North Korea,3,0,AFC Asian Cup qualification,Tehran,Iran,False
