Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1993-10-13,Slovenia,North Macedonia,1,4,Friendly,Kranj,Slovenia,False
1994-03-23,North Macedonia,Slovenia,2,0,Friendly,Skopje,North Macedonia,False
1994-05-14,North Macedonia,Albania,5,1,Friendly,Tetovo,North Macedonia,False
1994-06-01,North Macedonia,Estonia,2,0,Friendly,Skopje,North Macedonia,False
1994-08-31,North Macedonia,Turkey,0,2,Friendly,Skopje,North Macedonia,False
1994-09-07,North Macedonia,Denmark,1,1,UEFA Euro qualification,Skopje,North Macedonia,False
1994-10-12,North Macedonia,Spain,0,2,UEFA Euro qualification,Skopje,North Macedonia,False
1994-11-16,Belgium,North Macedonia,1,1,UEFA Euro qualification,Brussels,Belgium,False
1994-12-17,North Macedonia,Cyprus,3,0,UEFA Euro qualification,Skopje,North Macedonia,False
1995-04-12,North Macedonia,Bulgaria,0,0,Friendly,Strumica,North Macedonia,False
1995-04-26,Denmark,North Macedonia,1,0,UEFA Euro qualification,Copenhagen,Denmark,False
1995-05-10,Armenia,North Macedonia,2,2,UEFA Euro qualification,Yerevan,Armenia,False
1995-06-07,North Macedonia,Belgium,0,5,UEFA Euro qualification,Skopje,North Macedonia,False
1995-08-30,Turkey,North Macedonia,2,1,Friendly,Istanbul,Turkey,False
1995-09-06,North Macedonia,Armenia,1,2,UEFA Euro qualification,Skopje,North Macedonia,False
1995-10-11,Cyprus,North Macedonia,1,1,UEFA Euro qualification,Limassol,Cyprus,False
1995-11-15,Spain,North Macedonia,3,0,UEFA Euro qualification,Elche,Spain,False
1996-03-27,North Macedonia,Malta,1,0,Friendly,Prilep,North Macedonia,False
1996-04-24,North Macedonia,Liechtenstein,3,0,FIFA World Cup qualification,Skopje,North Macedonia,False
1996-05-28,Bulgaria,North Macedonia,3,0,Friendly,Sofia,Bulgaria,False
1996-06-01,Iceland,North Macedonia,1,1,FIFA World Cup qualification,Reykjavík,Iceland,False
1996-10-09,Republic of Ireland,North Macedonia,3,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False
1996-11-09,Liechtenstein,North Macedonia,1,11,FIFA World Cup qualification,Eschen,Liechtenstein,False
1996-11-27,Malta,North Macedonia,0,2,Friendly,Attard,Malta,False
1996-12-14,North Macedonia,Romania,0,3,FIFA World Cup qualification,Skopje,North Macedonia,False
1997-03-12,North Macedonia,Australia,0,1,Friendly,Skopje,North Macedonia,False
1997-04-02,North Macedonia,Republic of Ireland,3,2,FIFA World Cup qualification,Skopje,North Macedonia,False
1997-06-07,North Macedonia,Iceland,1,0,FIFA World Cup qualification,Skopje,North Macedonia,False
1997-08-20,Romania,North Macedonia,4,2,FIFA World Cup qualification,Bucharest,Romania,False
1997-09-06,Lithuania,North Macedonia,2,0,FIFA World Cup qualification,Vilnius,Lithuania,False
1997-10-11,North Macedonia,Lithuania,1,2,FIFA World Cup qualification,Skopje,North Macedonia,False
1998-03-25,North Macedonia,Bulgaria,1,0,Friendly,Skopje,North Macedonia,False
1998-04-18,North Macedonia,South Korea,2,2,Friendly,Skopje,North Macedonia,False
1998-04-20,Jamaica,North Macedonia,1,2,Friendly,Tehran,Iran,True
1998-04-22,Hungary,North Macedonia,0,0,Friendly,Tehran,Iran,True
