Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1998-07-30,Guam,Northern Mariana Islands,2,1,Friendly,Koror,Palau,True
1998-08-03,Guam,Northern Mariana Islands,0,3,Friendly,Koror,Palau,True
1999-07-12,Micronesia,Northern Mariana Islands,7,0,Friendly,Colonia,Micronesia,False
2007-03-25,Northern Mariana Islands,Guam,2,3,EAFF Championship,Oleai,Northern Mariana Islands,False
2007-04-01,Guam,Northern Mariana Islands,9,0,EAFF Championship,Hagätña,Guam,False
2008-04-27,Northern Mariana Islands,Guam,2,3,Friendly,Susupe,Northern Mariana Islands,False
2009-03-11,Macau,Northern Mariana Islands,6,1,EAFF Championship,Yona,Guam,True
2009-03-13,Guam,Northern Mariana Islands,2,1,EAFF Championship,Yona,Guam,False
2009-03-15,Northern Mariana Islands,Mongolia,1,4,EAFF Championship,Yona,Guam,True
2010-06-19,Northern Mariana Islands,Guam,1,1,Friendly,Susupe,Northern Mariana Islands,False
2012-07-18,Guam,Northern Mariana Islands,3,1,EAFF Championship,Yona,Guam,False
2012-07-20,Northern Mariana Islands,Macau,1,5,EAFF Championship,Yona,Guam,True
2012-11-24,Guam,Northern Mariana Islands,8,0,Friendly,Yona,Guam,False
2013-03-02,Nepal,Northern Mariana Islands,6,0,AFC Challenge Cup qualification,Kathmandu,Nepal,False
2013-03-04,Northern Mariana Islands,Palestine,0,9,AFC Challenge Cup qualification,Kathmandu,Nepal,True
2013-03-06,Bangladesh,Northern Mariana Islands,4,0,AFC Challenge Cup qualification,Kathmandu,Nepal,True
2014-07-21,Mongolia,Northern Mariana Islands,4,0,EAFF Championship,Dededo,Guam,True
2014-07-23,Northern Mariana Islands,Macau,2,1,EAFF Championship,Dededo,Guam,True
2014-07-25,Guam,Northern Mariana Islands,5,0,EAFF Championship,Dededo,Guam,False
2016-07-02,Northern Mariana Islands,Macau,1,3,EAFF Championship,Dededo,Guam,True
2016-07-04,Northern Mariana Islands,Mongolia,0,8,EAFF Championship,Dededo,Guam,True
2018-09-02,Guam,Northern Mariana Islands,4,0,EAFF Championship,Ulaanbaatar,Mongolia,True
2018-09-04,Mongolia,Northern Mariana Islands,9,0,EAFF Championship,Ulaanbaatar,Mongolia,False
2018-09-06,Northern Mariana Islands,Macau,1,1,EAFF Championship,Ulaanbaatar,Mongolia,True
2023-11-18,Fiji,Northern Mariana Islands,10,0,Pacific Games,Honiara,Solomon Islands,True
2023-11-24,Northern Mariana Islands,Tahiti,0,5,Pacific Games,Honiara,Solomon Islands,True
2023-11-27,Northern Mariana Islands,American Samoa,4,0,Pacific Games,Honiara,Solomon Islands,True
2023-11-30,Northern Mariana Islands,Tuvalu,1,4,Pacific Games,Solomon Islands,Solomon Islands,True
2024-04-06,Northern Mariana Islands,Guam,2,2,Marianas Cup,Koblerville,Northern Mariana Islands,False
2024-04-07,Northern Mariana Islands,Guam,2,1,Marianas Cup,Koblerville,Northern Mariana Islands,False
