Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1908-07-12,Sweden,Norway,11,3,Friendly,Gothenburg,Sweden,False
1910-09-11,Norway,Sweden,0,4,Friendly,Kristiania,Norway,False
1911-09-17,Sweden,Norway,4,1,Friendly,Solna,Sweden,False
1912-06-16,Norway,Sweden,1,2,Friendly,Kristiania,Norway,False
1912-06-23,Norway,Hungary,0,6,Friendly,Kristiania,Norway,False
1912-06-30,Denmark,Norway,7,0,Olympic Games,Stockholm,Sweden,True
1912-07-01,Austria,Norway,1,0,Olympic Games,Stockholm,Sweden,True
1912-07-03,Norway,Russia,2,1,Friendly,Stockholm,Sweden,True
1912-11-03,Sweden,Norway,4,2,Friendly,Gothenburg,Sweden,False
1913-06-08,Sweden,Norway,9,0,Friendly,Stockholm,Sweden,False
1913-09-14,Russia,Norway,1,1,Friendly,Moscow,Russia,False
1913-10-26,Norway,Sweden,1,1,Friendly,Kristiania,Norway,False
1914-06-28,Norway,Sweden,0,1,Friendly,Kristiania,Norway,False
1914-07-12,Norway,Russia,1,1,Friendly,Kristiania,Norway,False
1914-10-25,Sweden,Norway,7,0,Friendly,Solna,Sweden,False
1915-06-27,Norway,Sweden,1,1,Friendly,Kristiania,Norway,False
1915-09-19,Denmark,Norway,8,1,Friendly,Copenhagen,Denmark,False
1915-10-24,Sweden,Norway,5,2,Friendly,Stockholm,Sweden,False
1916-06-25,Norway,Denmark,0,2,Friendly,Kristiania,Norway,False
1916-07-02,Sweden,Norway,6,0,Friendly,Stockholm,Sweden,False
1916-09-03,Norway,United States,1,1,Friendly,Kristiania,Norway,False
1916-10-01,Norway,Sweden,0,0,Friendly,Kristiania,Norway,False
1916-10-15,Denmark,Norway,8,0,Friendly,Copenhagen,Denmark,False
1917-06-17,Norway,Denmark,1,2,Friendly,Kristiania,Norway,False
1917-08-19,Sweden,Norway,3,3,Friendly,Helsingborg,Sweden,False
1917-09-16,Norway,Sweden,0,2,Friendly,Kristiania,Norway,False
1917-10-07,Denmark,Norway,12,0,Friendly,Copenhagen,Denmark,False
1918-05-26,Sweden,Norway,2,0,Friendly,Stockholm,Sweden,False
1918-06-16,Norway,Denmark,3,1,Friendly,Kristiania,Norway,False
1918-09-15,Norway,Sweden,2,1,Friendly,Kristiania,Norway,False
1918-10-06,Denmark,Norway,4,0,Friendly,Copenhagen,Denmark,False
1919-06-12,Denmark,Norway,5,1,Friendly,Copenhagen,Denmark,False
1919-06-29,Norway,Sweden,4,3,Friendly,Kristiania,Norway,False
1919-08-31,Norway,Netherlands,1,1,Friendly,Oslo,Norway,False
1919-09-14,Sweden,Norway,1,5,Friendly,Gothenburg,Sweden,False
1919-09-21,Norway,Denmark,3,2,Friendly,Kristiania,Norway,False
1920-06-13,Norway,Denmark,1,1,Friendly,Kristiania,Norway,False
1920-06-27,Norway,Sweden,0,3,Friendly,Kristiania,Norway,False
1920-08-29,Czechoslovakia,Norway,4,0,Olympic Games,Brussels,Belgium,True
1920-08-31,Italy,Norway,2,1,Olympic Games,Antwerp,Belgium,True
1920-09-26,Sweden,Norway,0,0,Friendly,Stockholm,Sweden,False
1921-05-25,Norway,Finland,3,2,Friendly,Kristiania,Norway,False
1921-06-19,Norway,Sweden,3,1,Friendly,Kristiania,Norway,False
1921-09-18,Sweden,Norway,0,3,Friendly,Stockholm,Sweden,False
1921-10-02,Denmark,Norway,3,1,Friendly,Copenhagen,Denmark,False
1922-05-25,Norway,Northern Ireland,2,1,Friendly,Bergen,Norway,False
1922-06-11,Norway,France,7,0,Friendly,Kristiania,Norway,False
1922-08-23,Sweden,Norway,0,0,Friendly,Stockholm,Sweden,False
1922-08-26,Finland,Norway,1,3,Friendly,Helsinki,Finland,False
1922-09-10,Norway,Denmark,3,3,Friendly,Fredrikstad,Norway,False
1922-09-24,Norway,Sweden,0,5,Friendly,Kristiania,Norway,False
1923-06-17,Norway,Finland,3,0,Friendly,Kristiania,Norway,False
1923-06-21,Norway,Switzerland,2,2,Friendly,Kristiania,Norway,False
1923-09-16,Norway,Sweden,2,3,Friendly,Kristiania,Norway,False
1923-09-30,Denmark,Norway,2,1,Friendly,Copenhagen,Denmark,False
1923-10-28,France,Norway,0,2,Friendly,Paris,France,False
1923-11-01,Brittany,Norway,1,5,Friendly,Rennes,France,False
1923-11-04,Germany,Norway,1,0,Friendly,Hamburg,Germany,False
1924-06-15,Norway,Germany,0,2,Friendly,Kristiania,Norway,False
1924-08-23,Finland,Norway,2,0,Friendly,Helsinki,Finland,False
1924-09-14,Norway,Denmark,1,3,Nordic Championship,Kristiania,Norway,False
1924-09-21,Sweden,Norway,6,1,Nordic Championship,Solna,Sweden,False
1925-06-07,Norway,Finland,1,0,Friendly,Oslo,Norway,False
1925-06-21,Denmark,Norway,5,1,Nordic Championship,Copenhagen,Denmark,False
1925-08-23,Norway,Sweden,3,7,Nordic Championship,Oslo,Norway,False
1926-06-06,Finland,Norway,2,5,Friendly,Helsinki,Finland,False
1926-06-09,Sweden,Norway,3,2,Nordic Championship,Stockholm,Sweden,False
1926-09-19,Norway,Denmark,2,2,Nordic Championship,Oslo,Norway,False
1926-10-10,Norway,Poland,3,4,Friendly,Fredrikstad,Norway,False
1927-05-29,Norway,Denmark,0,1,Friendly,Oslo,Norway,False
1927-06-15,Norway,Finland,3,1,Friendly,Oslo,Norway,False
1927-06-26,Norway,Sweden,3,5,Nordic Championship,Oslo,Norway,False
1927-10-23,Germany,Norway,6,2,Friendly,Altona,Germany,False
1927-10-30,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False
1928-06-03,Finland,Norway,0,6,Friendly,Helsinki,Finland,False
1928-06-07,Sweden,Norway,6,1,Nordic Championship,Stockholm,Sweden,False
1928-06-17,Norway,Denmark,2,3,Nordic Championship,Oslo,Norway,False
1928-09-23,Norway,Germany,0,2,Friendly,Oslo,Norway,False
1929-05-26,Norway,Scotland,3,7,Friendly,Bergen,Norway,False
1929-06-12,Norway,Netherlands,4,4,Friendly,Oslo,Norway,False
1929-06-18,Norway,Finland,4,0,Nordic Championship,Oslo,Norway,False
1929-06-23,Denmark,Norway,2,5,Nordic Championship,Copenhagen,Denmark,False
1929-09-29,Norway,Sweden,2,1,Nordic Championship,Oslo,Norway,False
1929-11-03,Netherlands,Norway,1,4,Friendly,Amsterdam,Netherlands,False
1930-06-01,Norway,Finland,6,2,Nordic Championship,Oslo,Norway,False
1930-06-19,Norway,Switzerland,3,0,Friendly,Oslo,Norway,False
1930-07-06,Sweden,Norway,6,3,Nordic Championship,Stockholm,Sweden,False
1930-09-21,Norway,Denmark,1,0,Nordic Championship,Oslo,Norway,False
1930-11-02,Germany,Norway,1,1,Friendly,Breslau,Germany,False
1931-05-25,Denmark,Norway,3,1,Nordic Championship,Copenhagen,Denmark,False
1931-06-21,Norway,Germany,2,2,Friendly,Oslo,Norway,False
1931-09-06,Finland,Norway,4,4,Nordic Championship,Helsinki,Finland,False
1931-09-27,Norway,Sweden,2,1,Nordic Championship,Oslo,Norway,False
1932-06-05,Norway,Estonia,3,0,Friendly,Oslo,Norway,False
1932-06-17,Norway,Finland,2,1,Nordic Championship,Oslo,Norway,False
1932-07-01,Sweden,Norway,1,4,Nordic Championship,Gothenburg,Sweden,False
1932-09-25,Norway,Denmark,1,2,Nordic Championship,Oslo,Norway,False
1933-06-11,Denmark,Norway,2,2,Nordic Championship,Copenhagen,Denmark,False
1933-09-03,Finland,Norway,1,5,Nordic Championship,Helsinki,Finland,False
1933-09-24,Norway,Sweden,0,1,Nordic Championship,Oslo,Norway,False
1933-11-05,Germany,Norway,2,2,Friendly,Magdeburg,Germany,False
1934-07-01,Sweden,Norway,3,3,Nordic Championship,Stockholm,Sweden,False
1934-09-02,Norway,Finland,4,2,Nordic Championship,Oslo,Norway,False
1934-09-23,Norway,Denmark,3,1,Nordic Championship,Oslo,Norway,False
1935-06-23,Denmark,Norway,1,0,Nordic Championship,Copenhagen,Denmark,False
1935-06-27,Norway,Germany,1,1,Friendly,Oslo,Norway,False
1935-09-08,Finland,Norway,1,5,Nordic Championship,Helsinki,Finland,False
1935-09-22,Norway,Sweden,0,2,Nordic Championship,Oslo,Norway,False
1935-11-03,Switzerland,Norway,2,0,Friendly,Zürich,Switzerland,False
1936-06-18,Norway,Switzerland,1,2,Friendly,Oslo,Norway,False
1936-07-05,Sweden,Norway,2,0,Nordic Championship,Gothenburg,Sweden,False
1936-07-26,Sweden,Norway,3,4,Friendly,Stockholm,Sweden,False
1936-09-06,Norway,Finland,0,2,Nordic Championship,Oslo,Norway,False
1936-09-20,Norway,Denmark,3,3,Nordic Championship,Oslo,Norway,False
1936-11-01,Netherlands,Norway,3,3,Friendly,Amsterdam,Netherlands,False
1937-05-14,Norway,England,0,6,Friendly,Oslo,Norway,False
1937-05-27,Norway,Italy,1,3,Friendly,Oslo,Norway,False
1937-06-13,Denmark,Norway,5,1,Nordic Championship,Copenhagen,Denmark,False
1937-08-22,Norway,Basque Country,1,3,Friendly,Oslo,Norway,False
1937-09-05,Finland,Norway,0,2,Nordic Championship,Helsinki,Finland,False
