Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1966-04-03,Libya,Oman,21,0,Arab Cup,Baghdad,Iraq,True
1974-03-16,Bahrain,Oman,4,0,Gulf Cup,Kuwait City,Kuwait,True
1974-03-19,Kuwait,Oman,5,0,Gulf Cup,Kuwait City,Kuwait,False
1974-03-22,Oman,Qatar,0,4,Gulf Cup,Kuwait City,Kuwait,True
1976-03-27,Iraq,Oman,4,0,Gulf Cup,Doha,Qatar,True
1976-03-31,Kuwait,Oman,8,0,Gulf Cup,Doha,Qatar,True
1976-04-02,Bahrain,Oman,1,0,Gulf Cup,Doha,Qatar,True
1976-04-04,Oman,Saudi Arabia,1,3,Gulf Cup,Doha,Qatar,True
1976-04-07,Qatar,Oman,4,1,Gulf Cup,Doha,Qatar,False
1976-04-10,Oman,United Arab Emirates,1,1,Gulf Cup,Doha,Qatar,True
1979-03-28,Saudi Arabia,Oman,4,0,Gulf Cup,Baghdad,Iraq,True
1979-03-30,Bahrain,Oman,3,1,Gulf Cup,Baghdad,Iraq,True
1979-04-01,Oman,Qatar,0,1,Gulf Cup,Baghdad,Iraq,True
1979-04-03,Kuwait,Oman,2,0,Gulf Cup,Baghdad,Iraq,True
1979-04-06,Iraq,Oman,7,0,Gulf Cup,Baghdad,Iraq,False
1979-04-09,Oman,United Arab Emirates,0,4,Gulf Cup,Baghdad,Iraq,True
1981-02-14,Oman,Jordan,0,1,Friendly,Muscat,Oman,False
1981-02-16,Oman,Jordan,0,2,Friendly,Muscat,Oman,False
1982-02-17,Nepal,Oman,0,1,Friendly,Karachi,Pakistan,True
1982-02-19,Bangladesh,Oman,1,3,Friendly,Karachi,Pakistan,True
1982-03-22,Oman,Qatar,0,3,Gulf Cup,Abu Dhabi,United Arab Emirates,True
1982-03-25,Bahrain,Oman,4,1,Gulf Cup,Abu Dhabi,United Arab Emirates,True
1982-03-29,Kuwait,Oman,2,0,Gulf Cup,Abu Dhabi,United Arab Emirates,True
1982-03-31,Saudi Arabia,Oman,3,0,Gulf Cup,Abu Dhabi,United Arab Emirates,True
1982-04-02,United Arab Emirates,Oman,3,1,Gulf Cup,Abu Dhabi,United Arab Emirates,False
1984-03-09,Oman,Bahrain,0,1,Gulf Cup,Muscat,Oman,False
1984-03-11,Oman,Iraq,1,2,Gulf Cup,Muscat,Oman,False
1984-03-15,Oman,Saudi Arabia,1,3,Gulf Cup,Muscat,Oman,False
1984-03-18,Oman,Qatar,0,2,Gulf Cup,Muscat,Oman,False
1984-03-21,Oman,United Arab Emirates,1,1,Gulf Cup,Muscat,Oman,False
1984-03-25,Oman,Kuwait,0,0,Gulf Cup,Muscat,Oman,False
1984-10-20,Oman,Sri Lanka,1,1,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1984-10-24,United Arab Emirates,Oman,8,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1984-10-26,Saudi Arabia,Oman,6,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,False
1984-10-28,Oman,Nepal,8,0,AFC Asian Cup qualification,Jeddah,Saudi Arabia,True
1986-01-27,Oman,Tunisia,0,0,Friendly,Muscat,Oman,False
1986-03-23,Qatar,Oman,2,1,Gulf Cup,Riffa,Bahrain,True
1986-03-25,Kuwait,Oman,2,0,Gulf Cup,Riffa,Bahrain,True
1986-03-28,Saudi Arabia,Oman,3,1,Gulf Cup,Riffa,Bahrain,True
1986-03-30,Oman,United Arab Emirates,0,1,Gulf Cup,Riffa,Bahrain,True
1986-04-02,Bahrain,Oman,0,0,Gulf Cup,Riffa,Bahrain,False
1986-04-06,Oman,Iraq,2,3,Gulf Cup,Riffa,Bahrain,True
1986-08-12,Bahrain,Oman,2,3,Friendly,Manama,Bahrain,False
1986-08-14,Bahrain,Oman,2,0,Friendly,Manama,Bahrain,False
1986-08-24,Oman,Bahrain,1,0,Friendly,Muscat,Oman,False
1986-08-26,Oman,Bahrain,1,2,Friendly,Muscat,Oman,False
1986-09-21,Iraq,Oman,4,0,Asian Games,Daegu,South Korea,True
1986-09-25,Thailand,Oman,0,0,Asian Games,Daegu,South Korea,True
1986-09-27,Oman,Pakistan,3,1,Asian Games,Daegu,South Korea,True
1986-09-29,United Arab Emirates,Oman,0,0,Asian Games,Daegu,South Korea,True
1987-02-20,Thailand,Oman,2,0,King's Cup,Bangkok,Thailand,False
1988-01-18,Indonesia,Oman,3,0,King's Cup,Bangkok,Thailand,True
1988-01-20,Thailand,Oman,3,1,King's Cup,Bangkok,Thailand,False
1988-02-02,Oman,Japan,1,1,Friendly,Muscat,Oman,False
1988-03-02,Saudi Arabia,Oman,2,0,Gulf Cup,Riyadh,Saudi Arabia,False
1988-03-04,Iraq,Oman,1,1,Gulf Cup,Riyadh,Saudi Arabia,True
1988-03-07,Oman,Bahrain,0,2,Gulf Cup,Riyadh,Saudi Arabia,True
1988-03-10,Oman,Qatar,2,1,Gulf Cup,Riyadh,Saudi Arabia,True
1988-03-14,Oman,Kuwait,0,2,Gulf Cup,Riyadh,Saudi Arabia,True
1988-03-17,United Arab Emirates,Oman,1,0,Gulf Cup,Riyadh,Saudi Arabia,True
1988-12-09,Oman,Singapore,1,3,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1989-01-06,Oman,Iraq,1,1,FIFA World Cup qualification,Muscat,Oman,False
1989-01-13,Oman,Qatar,0,0,FIFA World Cup qualification,Muscat,Oman,False
1989-01-20,Jordan,Oman,2,0,FIFA World Cup qualification,Amman,Jordan,False
1989-01-27,Iraq,Oman,3,1,FIFA World Cup qualification,Baghdad,Iraq,False
1989-02-03,Qatar,Oman,3,0,FIFA World Cup qualification,Doha,Qatar,False
1989-02-10,Oman,Jordan,0,2,FIFA World Cup qualification,Muscat,Oman,False
1990-02-22,Oman,United Arab Emirates,1,1,Gulf Cup,Kuwait City,Kuwait,True
1990-02-24,Kuwait,Oman,1,1,Gulf Cup,Kuwait City,Kuwait,False
1990-03-01,Bahrain,Oman,0,0,Gulf Cup,Kuwait City,Kuwait,True
1990-03-04,Oman,Qatar,2,4,Gulf Cup,Kuwait City,Kuwait,True
1992-05-31,Qatar,Oman,4,0,AFC Asian Cup qualification,Doha,Qatar,False
1992-10-22,Kuwait,Oman,4,0,Friendly,Kuwait City,Kuwait,False
1992-11-27,Qatar,Oman,2,0,Gulf Cup,Doha,Qatar,False
1992-11-30,Kuwait,Oman,2,1,Gulf Cup,Doha,Qatar,True
1992-12-04,Oman,Saudi Arabia,0,2,Gulf Cup,Doha,Qatar,True
1992-12-07,Bahrain,Oman,3,0,Gulf Cup,Doha,Qatar,True
1992-12-09,Oman,United Arab Emirates,0,1,Gulf Cup,Doha,Qatar,True
1993-04-09,Oman,Malaysia,1,0,Friendly,Muscat,Oman,False
1993-06-23,Iran,Oman,0,0,FIFA World Cup qualification,Tehran,Iran,False
1993-06-25,Oman,Syria,0,0,FIFA World Cup qualification,Tehran,Iran,True
1993-06-27,Oman,Taiwan,2,1,FIFA World Cup qualification,Tehran,Iran,True
1993-07-02,Oman,Iran,0,1,FIFA World Cup qualification,Damascus,Syria,True
1993-07-04,Syria,Oman,2,1,FIFA World Cup qualification,Damascus,Syria,False
1993-07-07,Taiwan,Oman,1,7,FIFA World Cup qualification,Damascus,Syria,True
1994-01-30,Oman,Finland,0,2,Friendly,Muscat,Oman,False
1994-02-01,Oman,Finland,1,1,Friendly,Muscat,Oman,False
1994-02-04,Oman,Kenya,1,0,Friendly,Muscat,Oman,False
1994-02-06,Oman,Kenya,2,0,Friendly,Muscat,Oman,False
1994-04-15,Oman,Bulgaria,1,1,Friendly,Muscat,Oman,False
1994-09-10,Qatar,Oman,0,2,Friendly,Doha,Qatar,False
1994-09-14,Oman,Sudan,1,1,Friendly,Doha,Qatar,True
1994-09-16,India,Oman,1,4,Friendly,Doha,Qatar,True
1994-10-01,Kuwait,Oman,2,2,Asian Games,Miyoshi,Japan,True
1994-10-05,South Korea,Oman,2,1,Asian Games,Hiroshima,Japan,True
1994-10-09,Oman,Nepal,1,0,Asian Games,Hiroshima,Japan,True
1994-10-23,Oman,Senegal,0,1,Friendly,Muscat,Oman,False
1994-10-25,Oman,Senegal,2,1,Friendly,Muscat,Oman,False
