Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2001-07-08,Jersey,Orkney,12,0,Island Games,Douglas,Isle of Man,True
2001-07-09,Orkney,Gibraltar,0,2,Island Games,Douglas,Isle of Man,True
2001-07-12,Saare County,Orkney,2,1,Island Games,Douglas,Isle of Man,True
2001-07-13,Orkney,Falkland Islands,1,4,Island Games,Peel,Isle of Man,True
2003-06-30,Guernsey,Orkney,10,0,Island Games,Saint Sampson,Guernsey,False
2003-07-01,Orkney,Alderney,3,1,Island Games,Saint Sampson,Guernsey,True
2003-07-03,Orkney,Gibraltar,1,7,Island Games,Saint Sampson,Guernsey,True
2003-07-04,Orkney,Shetland,0,6,Island Games,Saint Sampson,Guernsey,True
2005-07-10,Guernsey,Orkney,3,0,Island Games,Shetland,Scotland,True
2005-07-11,Orkney,Greenland,1,2,Island Games,Shetland,Scotland,True
2005-07-12,Orkney,Ynys Môn,0,2,Island Games,Shetland,Scotland,True
2005-07-14,Western Isles,Orkney,5,4,Island Games,Shetland,Scotland,True
2005-07-15,Orkney,Falkland Islands,2,0,Island Games,Shetland,Scotland,True
2017-06-25,Menorca,Orkney,1,0,Island Games,Stenkyrka,Sweden,True
2017-06-26,Orkney,Alderney,3,0,Island Games,Hemse,Sweden,True
2017-06-27,Orkney,Jersey,0,3,Island Games,Väskinde,Sweden,True
2017-06-29,Orkney,Shetland,3,1,Island Games,Dalhem,Sweden,True
2019-06-16,Jersey,Orkney,5,0,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-17,Ynys Môn,Orkney,3,1,Inter Games Football Tournament,Anglesey,Wales,False
2019-06-18,Western Isles,Orkney,1,2,Inter Games Football Tournament,Anglesey,Wales,True
2019-06-20,Orkney,Alderney,1,2,Inter Games Football Tournament,Anglesey,Wales,True
2023-07-09,Orkney,Greenland,2,2,Island Games,Saint Martin,Guernsey,True
2023-07-11,Frøya,Orkney,2,3,Island Games,St. Peter Port,Guernsey,True
2023-07-13,Orkney,Isle of Man,0,1,Island Games,Saint Sampson,Guernsey,True
