Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1952-03-18,Myanmar,Pakistan,0,1,Friendly,Colombo,Ceylon,True
1952-03-23,India,Pakistan,0,0,Friendly,Colombo,Ceylon,True
1952-03-28,Sri Lanka,Pakistan,0,2,Friendly,Colombo,Ceylon,False
1953-10-28,Myanmar,Pakistan,1,1,Friendly,Yangon,Burma,False
1954-04-25,Singapore,Pakistan,2,2,Friendly,Kallang,Singapore,False
1954-05-02,Singapore,Pakistan,2,6,Asian Games,Manila,Philippines,True
1954-05-05,Myanmar,Pakistan,2,1,Asian Games,Manila,Philippines,True
1954-12-18,Sri Lanka,Pakistan,1,2,Friendly,Calcutta,India,True
1954-12-23,Myanmar,Pakistan,1,1,Friendly,Calcutta,India,True
1955-12-17,Pakistan,Myanmar,4,2,Friendly,Dhaka,Pakistan,False
1956-09-12,Singapore,Pakistan,1,1,Friendly,Kallang,Singapore,False
1958-05-14,Malaysia,Pakistan,4,2,Friendly,Kuala Lumpur,Malaya,False
1958-05-17,Singapore,Pakistan,4,4,Friendly,Kallang,Singapore,False
1958-05-25,Vietnam Republic,Pakistan,1,1,Asian Games,Tokyo,Japan,True
1958-05-27,Pakistan,Taiwan,1,3,Asian Games,Tokyo,Japan,True
1959-12-06,India,Pakistan,1,0,AFC Asian Cup qualification,Ernakulam,India,False
1959-12-10,Israel,Pakistan,2,0,AFC Asian Cup qualification,Ernakulam,India,True
1959-12-17,Pakistan,Israel,2,2,AFC Asian Cup qualification,Ernakulam,India,True
1960-08-05,Pakistan,Thailand,7,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-10,Pakistan,Japan,3,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-12,Malaysia,Pakistan,1,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1960-08-14,Indonesia,Pakistan,4,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1960-08-18,Pakistan,Vietnam Republic,2,2,Friendly,Kallang,Singapore,True
1960-08-19,Singapore,Pakistan,4,1,Friendly,Kallang,Singapore,False
1960-08-21,Indonesia,Pakistan,5,2,Friendly,Jakarta,Indonesia,False
1962-09-09,Myanmar,Pakistan,0,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-12,Japan,Pakistan,1,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-16,Malaysia,Pakistan,0,0,Merdeka Tournament,Kuala Lumpur,Malaya,False
1962-09-19,Indonesia,Pakistan,2,1,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-01-26,Pakistan,China PR,0,0,Friendly,Dhaka,Pakistan,False
1963-01-30,Pakistan,China PR,3,2,Friendly,Peshawar,Pakistan,False
1963-02-03,Pakistan,China PR,1,1,Friendly,Lahore,Pakistan,False
1963-02-06,Pakistan,China PR,0,2,Friendly,Karachi,Pakistan,False
1965-07-21,Pakistan,Turkey,1,3,Friendly,Tehran,Iran,True
1965-07-23,Iran,Pakistan,4,1,Friendly,Tehran,Iran,False
1967-11-15,India,Pakistan,1,1,AFC Asian Cup qualification,Yangon,Burma,True
1967-11-19,Myanmar,Pakistan,2,0,AFC Asian Cup qualification,Yangon,Burma,False
1967-11-28,Pakistan,Turkey,4,7,Friendly,Dhaka,Pakistan,False
1969-03-10,Iraq,Pakistan,1,2,Friendly,Tehran,Iran,True
1969-03-12,Iran,Pakistan,9,1,Friendly,Tehran,Iran,False
1969-09-10,Turkey,Pakistan,4,2,Friendly,Ankara,Turkey,False
1969-09-13,Iran,Pakistan,4,2,Friendly,Ankara,Turkey,True
1970-09-06,Iran,Pakistan,7,0,Friendly,Tehran,Iran,False
1970-09-09,Pakistan,Turkey,1,3,Friendly,Tehran,Iran,True
1973-06-10,China PR,Pakistan,7,4,Friendly,Beijing,China PR,False
1974-01-17,Pakistan,Iran,1,2,Friendly,Karachi,Pakistan,False
1974-01-18,Pakistan,Turkey,2,2,Friendly,Karachi,Pakistan,False
1974-09-03,Iran,Pakistan,7,0,Asian Games,Tehran,Iran,False
1974-09-05,Pakistan,Bahrain,5,1,Asian Games,Tehran,Iran,True
1974-09-07,Myanmar,Pakistan,5,1,Asian Games,Tehran,Iran,True
1976-07-19,Afghanistan,Pakistan,1,0,Friendly,Kabul,Afghanistan,False
1976-07-21,India,Pakistan,1,1,Friendly,Kabul,Afghanistan,True
1976-10-12,Pakistan,Afghanistan,1,0,Friendly,Karachi,Pakistan,False
1981-11-11,Thailand,Pakistan,1,0,King's Cup,Bangkok,Thailand,False
1981-11-13,Malaysia,Pakistan,2,3,King's Cup,Bangkok,Thailand,True
1981-11-17,Pakistan,Singapore,1,0,King's Cup,Bangkok,Thailand,True
1982-08-09,Malaysia,Pakistan,4,1,Friendly,Dhaka,Bangladesh,True
1984-10-11,Malaysia,Pakistan,5,0,AFC Asian Cup qualification,Calcutta,India,True
1984-10-13,South Korea,Pakistan,6,0,AFC Asian Cup qualification,Calcutta,India,True
1984-10-15,Pakistan,Yemen,4,1,AFC Asian Cup qualification,Calcutta,India,True
1984-10-17,India,Pakistan,2,0,AFC Asian Cup qualification,Calcutta,India,False
1985-04-28,Pakistan,North Korea,0,0,Friendly,Peshawar,Pakistan,False
1985-04-30,Pakistan,Nepal,1,0,Friendly,Peshawar,Pakistan,False
1985-05-02,Pakistan,Bangladesh,1,3,Friendly,Peshawar,Pakistan,False
