Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1938-02-12,Panama,Venezuela,2,1,Central American and Caribbean Games,Panama City,Panama,False
1938-02-14,Panama,Colombia,2,4,Central American and Caribbean Games,Panama City,Panama,False
1938-02-16,Panama,Costa Rica,0,11,Central American and Caribbean Games,Panama City,Panama,False
1938-02-20,Panama,Mexico,2,2,Central American and Caribbean Games,Panama City,Panama,False
1938-02-23,Panama,El Salvador,1,2,Central American and Caribbean Games,Panama City,Panama,False
1939-03-15,Haiti,Panama,1,0,Friendly,Port-au-Prince,Haiti,False
1939-03-19,Haiti,Panama,1,1,Friendly,Port-au-Prince,Haiti,False
1939-03-24,Haiti,Panama,3,0,Friendly,Port-au-Prince,Haiti,False
1939-08-06,Panama,Cuba,0,4,Friendly,Panama City,Panama,False
1941-05-08,Curaçao,Panama,3,3,CCCF Championship,San José,Costa Rica,True
1941-05-11,Costa Rica,Panama,7,0,CCCF Championship,San José,Costa Rica,False
1941-05-15,El Salvador,Panama,4,3,CCCF Championship,San José,Costa Rica,True
1941-05-18,Nicaragua,Panama,2,5,CCCF Championship,San José,Costa Rica,True
1946-02-23,Panama,Honduras,1,0,CCCF Championship,San José,Costa Rica,True
1946-02-26,Costa Rica,Panama,7,0,CCCF Championship,San José,Costa Rica,False
1946-03-07,El Salvador,Panama,4,1,CCCF Championship,San José,Costa Rica,True
1946-03-10,Panama,Nicaragua,0,2,CCCF Championship,San José,Costa Rica,True
1946-03-13,Panama,Guatemala,3,3,CCCF Championship,San José,Costa Rica,True
1946-11-05,El Salvador,Panama,2,3,Friendly,San Salvador,El Salvador,False
1946-11-10,El Salvador,Panama,3,3,Friendly,San Salvador,El Salvador,False
1946-12-09,Panama,Guatemala,4,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-13,Panama,Puerto Rico,12,1,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-16,Panama,Venezuela,2,1,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-17,Panama,Curaçao,2,2,Central American and Caribbean Games,Barranquilla,Colombia,True
1946-12-20,Colombia,Panama,2,1,Central American and Caribbean Games,Barranquilla,Colombia,False
1946-12-21,Panama,Costa Rica,2,0,Central American and Caribbean Games,Barranquilla,Colombia,True
1948-03-04,Panama,Curaçao,1,3,CCCF Championship,Guatemala City,Guatemala,True
1948-03-07,El Salvador,Panama,1,2,CCCF Championship,Guatemala City,Guatemala,True
1948-03-09,Guatemala,Panama,4,3,CCCF Championship,Guatemala City,Guatemala,False
1948-03-11,Costa Rica,Panama,3,1,CCCF Championship,Guatemala City,Guatemala,True
1948-03-14,Curaçao,Panama,2,5,CCCF Championship,Guatemala City,Guatemala,True
1948-03-16,Panama,El Salvador,2,0,CCCF Championship,Guatemala City,Guatemala,True
1948-03-21,Guatemala,Panama,4,5,CCCF Championship,Guatemala City,Guatemala,False
1949-08-03,El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,False
1949-08-04,El Salvador,Panama,2,3,Friendly,San Salvador,El Salvador,False
1951-02-27,Panama,Costa Rica,2,0,CCCF Championship,Panama City,Panama,False
1951-02-28,Panama,Nicaragua,4,0,CCCF Championship,Panama City,Panama,False
1951-03-02,Panama,Costa Rica,1,1,CCCF Championship,Panama City,Panama,False
1951-03-04,Panama,Nicaragua,6,2,CCCF Championship,Panama City,Panama,False
1951-12-08,Venezuela,Panama,4,1,Friendly,Caracas,Venezuela,False
1952-03-16,Chile,Panama,6,1,Pan American Championship,Santiago,Chile,False
1952-03-23,Panama,Peru,1,7,Pan American Championship,Santiago,Chile,True
1952-04-06,Panama,Uruguay,1,6,Pan American Championship,Santiago,Chile,True
1952-04-10,Mexico,Panama,4,2,Pan American Championship,Santiago,Chile,True
1952-04-13,Brazil,Panama,5,0,Pan American Championship,Santiago,Chile,True
1953-03-10,Costa Rica,Panama,3,0,CCCF Championship,San José,Costa Rica,False
1953-03-12,Panama,Curaçao,2,4,CCCF Championship,San José,Costa Rica,True
1953-03-14,Panama,Nicaragua,0,2,CCCF Championship,San José,Costa Rica,True
1953-03-17,Panama,Guatemala,2,2,CCCF Championship,San José,Costa Rica,True
1953-03-19,El Salvador,Panama,2,1,CCCF Championship,San José,Costa Rica,True
1953-03-21,Honduras,Panama,3,1,CCCF Championship,San José,Costa Rica,True
1956-03-08,Haiti,Panama,3,2,Friendly,Port-au-Prince,Haiti,False
1956-03-09,Panama,Venezuela,0,1,Friendly,Port-au-Prince,Haiti,True
1956-03-12,Haiti,Panama,2,1,Friendly,Port-au-Prince,Haiti,False
1956-03-14,Panama,Venezuela,2,4,Friendly,Port-au-Prince,Haiti,True
1957-08-14,Cuba,Panama,0,1,CCCF Championship,Willemstad,Curaçao,True
1957-08-21,Curaçao,Panama,3,0,CCCF Championship,Willemstad,Curaçao,False
1957-08-26,Aruba,Panama,2,2,Friendly,Oranjestad,Aruba,False
1961-03-10,Cuba,Panama,0,1,CCCF Championship,San José,Costa Rica,True
1961-03-13,Haiti,Panama,3,1,CCCF Championship,San José,Costa Rica,True
1961-03-19,Panama,Paraguay,0,0,Friendly,Panama City,Panama,False
1961-03-22,Panama,Haiti,0,3,Friendly,Panama City,Panama,False
1961-03-23,Panama,Haiti,0,2,Friendly,Panama City,Panama,False
1961-12-04,Panama,Venezuela,2,6,Friendly,Barranquilla,Colombia,True
1961-12-12,Panama,Venezuela,0,3,Friendly,Barranquilla,Colombia,True
1963-03-23,Guatemala,Panama,2,2,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-25,El Salvador,Panama,1,1,CONCACAF Championship,San Salvador,El Salvador,False
1963-03-29,Nicaragua,Panama,0,5,CONCACAF Championship,San Salvador,El Salvador,True
1963-03-31,Panama,Honduras,0,1,CONCACAF Championship,San Salvador,El Salvador,True
1966-02-08,Panama,Nicaragua,3,1,Friendly,Panama City,Panama,False
1966-02-28,Panama,Guatemala,0,1,Friendly,Panama City,Panama,False
1966-03-25,Panama,El Salvador,1,0,Friendly,Panama City,Panama,False
1967-02-09,Nicaragua,Panama,3,1,CONCACAF Championship qualification,Guatemala City,Guatemala,True
1967-02-12,Guatemala,Panama,3,1,CONCACAF Championship qualification,Guatemala City,Guatemala,False
1969-11-03,Jamaica,Panama,1,1,CONCACAF Championship qualification,Kingston,Jamaica,False
1969-11-05,Jamaica,Panama,2,1,CONCACAF Championship qualification,Kingston,Jamaica,False
1970-06-13,Honduras,Panama,1,0,Friendly,El Progreso,Honduras,False
1972-06-01,Puerto Rico,Panama,0,0,Friendly,San Juan,Puerto Rico,False
1972-12-14,Panama,Puerto Rico,5,0,Friendly,Panama City,Panama,False
1972-12-16,Panama,Puerto Rico,0,1,Friendly,Panama City,Panama,False
1973-04-23,Peru,Panama,4,0,Friendly,Lima,Peru,False
1973-12-02,Panama,Nicaragua,2,0,Friendly,Panama City,Panama,False
1974-01-25,Panama,El Salvador,1,0,Friendly,Panama City,Panama,False
1974-03-14,Puerto Rico,Panama,0,1,Friendly,San Juan,Puerto Rico,False
1975-04-04,Macau,Panama,2,1,Friendly,Macau,Macau,False
1975-06-13,Panama,Costa Rica,1,1,Friendly,Panama City,Panama,False
1975-08-01,Panama,Guatemala,2,0,Friendly,Panama City,Panama,False
1975-08-15,Panama,Haiti,2,0,Friendly,Panama City,Panama,False
1975-08-17,Panama,Haiti,1,1,Friendly,La Chorrera,Panama,False
1975-09-05,Panama,Cuba,0,1,Friendly,Panama City,Panama,False
1975-09-07,Panama,Cuba,2,2,Friendly,La Chorrera,Panama,False
1975-09-16,Panama,Cuba,2,3,Friendly,Panama City,Panama,False
1976-04-04,Panama,Costa Rica,3,2,CONCACAF Championship qualification,Panama City,Panama,False
1976-05-02,Panama,El Salvador,1,1,CONCACAF Championship qualification,Panama City,Panama,False
1976-07-11,Costa Rica,Panama,3,0,CONCACAF Championship qualification,San José,Costa Rica,False
1976-08-11,El Salvador,Panama,4,1,CONCACAF Championship qualification,San Salvador,El Salvador,False
1976-09-17,Panama,Guatemala,2,4,CONCACAF Championship qualification,Panama City,Panama,False
1976-09-26,Guatemala,Panama,7,0,CONCACAF Championship qualification,Guatemala City,Guatemala,False
1976-12-23,Panama,Cuba,0,5,Friendly,Panama City,Panama,False
1977-02-20,Panama,Paraguay,0,4,Friendly,Panama City,Panama,False
1977-06-06,Honduras,Panama,1,0,Friendly,Tegucigalpa,Honduras,False
