Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
2015-05-30,Ellan Vannin,Panjab,8,1,Niamh Challenge Cup,Douglas,Isle of Man,False
2015-05-31,Panjab,Alderney,9,1,Friendly,Douglas,Isle of Man,True
2015-12-20,Panjab,Chagos Islands,4,1,Friendly,Sutton Coldfield,England,True
2016-04-24,Panjab,Jersey,0,2,Friendly,Kidderminster,England,False
2016-05-30,Sápmi,Panjab,0,1,CONIFA World Football Cup,Gagra,Georgia,True
2016-05-31,Somaliland,Panjab,0,5,CONIFA World Football Cup,Gagra,Georgia,True
2016-06-02,Western Armenia,Panjab,2,3,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-04,Padania,Panjab,1,0,CONIFA World Football Cup,Sukhumi,Georgia,True
2016-06-05,Abkhazia,Panjab,1,1,CONIFA World Football Cup,Sukhumi,Georgia,False
2017-04-23,Jersey,Panjab,0,2,Friendly,St Helier,Jersey,False
2018-04-29,Ellan Vannin,Panjab,2,1,Friendly,Sandbach,England,True
2018-05-31,Panjab,Kabylia,8,0,CONIFA World Football Cup,Slough,England,True
2018-06-02,Panjab,Western Armenia,0,1,CONIFA World Football Cup,Slough,England,True
2018-06-03,Panjab,United Koreans in Japan,1,1,CONIFA World Football Cup,Slough,England,True
2018-06-05,Padania,Panjab,2,0,CONIFA World Football Cup,Bracknell,England,True
2018-06-07,Barawa,Panjab,0,5,CONIFA World Football Cup,Sutton,England,False
2018-06-09,Panjab,Cascadia,3,3,CONIFA World Football Cup,Rotherhithe,England,True
2018-11-18,Yorkshire,Panjab,5,4,Friendly,Ossett,England,False
2019-12-29,Chagos Islands,Panjab,0,6,Friendly,Horsham,England,True
