Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1919-05-11,Paraguay,Argentina,1,5,Friendly,Asunción,Paraguay,False
1919-05-15,Paraguay,Argentina,0,3,Friendly,Asunción,Paraguay,False
1919-05-21,Paraguay,Argentina,1,2,Friendly,Asunción,Paraguay,False
1919-05-24,Paraguay,Argentina,1,2,Friendly,Asunción,Paraguay,False
1921-04-07,Paraguay,Argentina,3,1,Friendly,Asunción,Paraguay,False
1921-04-14,Paraguay,Argentina,2,2,Friendly,Asunción,Paraguay,False
1921-10-09,Paraguay,Uruguay,2,1,Copa América,Buenos Aires,Argentina,True
1921-10-12,Brazil,Paraguay,3,0,Copa América,Buenos Aires,Argentina,True
1921-10-16,Argentina,Paraguay,3,0,Copa América,Buenos Aires,Argentina,False
1921-11-02,Uruguay,Paraguay,4,2,Friendly,Montevideo,Uruguay,False
1922-09-24,Brazil,Paraguay,1,1,Copa América,Rio de Janeiro,Brazil,False
1922-10-05,Chile,Paraguay,0,3,Copa América,Rio de Janeiro,Brazil,True
1922-10-12,Paraguay,Uruguay,1,0,Copa América,Rio de Janeiro,Brazil,True
1922-10-18,Argentina,Paraguay,2,0,Copa América,Rio de Janeiro,Brazil,True
1922-10-29,Brazil,Paraguay,3,1,Friendly,São Paulo,Brazil,False
1922-11-06,Brazil,Paraguay,3,0,Copa América,Rio de Janeiro,Brazil,False
1923-05-20,Argentina,Paraguay,0,2,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1923-05-25,Argentina,Paraguay,1,0,Copa Chevallier Boutell,Buenos Aires,Argentina,False
1923-10-29,Argentina,Paraguay,4,3,Copa América,Montevideo,Uruguay,True
1923-11-04,Uruguay,Paraguay,2,0,Copa América,Montevideo,Uruguay,False
1923-11-11,Brazil,Paraguay,0,1,Copa América,Montevideo,Uruguay,True
1923-11-22,Brazil,Paraguay,2,0,Friendly,Montevideo,Uruguay,True
1924-05-15,Paraguay,Argentina,1,3,Copa Chevallier Boutell,Asunción,Paraguay,False
1924-05-18,Paraguay,Argentina,2,1,Copa Chevallier Boutell,Asunción,Paraguay,False
1924-10-12,Argentina,Paraguay,0,0,Copa América,Montevideo,Uruguay,True
1924-10-26,Uruguay,Paraguay,3,1,Copa América,Montevideo,Uruguay,False
1924-11-01,Chile,Paraguay,1,3,Copa América,Montevideo,Uruguay,True
