Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1913-02-04,Philippines,China PR,2,1,Far Eastern Championship Games,Manila,Philippines,False
1915-05-18,China PR,Philippines,0,0,Far Eastern Championship Games,Shanghai,China PR,False
1915-05-19,China PR,Philippines,1,0,Far Eastern Championship Games,Shanghai,China PR,False
1917-05-07,Japan,Philippines,2,15,Friendly,Tokyo,Japan,False
1917-05-10,Japan,Philippines,2,15,Far Eastern Championship Games,Tokyo,Japan,False
1917-05-11,China PR,Philippines,3,0,Far Eastern Championship Games,Tokyo,Japan,True
1919-05-12,China PR,Philippines,2,0,Far Eastern Championship Games,Manila,China PR,False
1919-05-13,China PR,Philippines,1,2,Far Eastern Championship Games,Manila,China PR,False
1919-05-15,China PR,Philippines,2,1,Far Eastern Championship Games,Manila,China PR,False
1921-05-30,Japan,Philippines,0,3,Friendly,Shanghai,China PR,True
1921-05-30,Philippines,Japan,3,1,Far Eastern Championship Games,Shanghai,China PR,True
1921-05-31,China PR,Philippines,1,0,Far Eastern Championship Games,Shanghai,China PR,False
1923-05-22,China PR,Philippines,3,0,Friendly,Osaka,Japan,True
1923-05-22,China PR,Philippines,3,0,Far Eastern Championship Games,Osaka,Japan,True
1923-05-23,Japan,Philippines,1,2,Far Eastern Championship Games,Osaka,Japan,False
1925-05-18,Philippines,Japan,4,0,Far Eastern Championship Games,Manila,Philippines,False
1925-05-22,Philippines,China PR,1,5,Friendly,Manila,Philippines,False
1925-05-22,Philippines,China PR,1,5,Far Eastern Championship Games,Manila,Philippines,False
1927-08-29,Japan,Philippines,2,1,Friendly,Shanghai,China PR,True
1927-08-29,Japan,Philippines,2,1,Far Eastern Championship Games,Shanghai,China PR,True
1927-08-31,China PR,Philippines,3,1,Friendly,Shanghai,China PR,False
1927-08-31,China PR,Philippines,3,1,Far Eastern Championship Games,Shanghai,China PR,False
1930-05-25,Japan,Philippines,7,2,Far Eastern Championship Games,Tokyo,Japan,False
1930-05-27,China PR,Philippines,5,0,Friendly,Tokyo,Japan,True
1930-05-27,China PR,Philippines,5,0,Far Eastern Championship Games,Tokyo,Japan,True
1934-05-12,Philippines,China PR,0,2,Friendly,Manila,Philippines,False
1934-05-12,Philippines,China PR,0,2,Far Eastern Championship Games,Manila,Philippines,False
1934-05-15,Philippines,Japan,3,4,Far Eastern Championship Games,Manila,Philippines,False
1934-05-19,Philippines,Indonesia,3,2,Friendly,Manila,Philippines,False
1934-05-19,Philippines,Indonesia,3,2,Far Eastern Championship Games,Manila,Philippines,False
1940-06-16,Japan,Philippines,1,0,Friendly,Nishinomiya,Japan,False
1953-06-20,Singapore,Philippines,3,1,Friendly,Kallang,Singapore,False
1954-05-03,Philippines,Vietnam,2,3,Asian Games,Manila,Philippines,False
1954-05-06,Philippines,Taiwan,0,4,Asian Games,Manila,Philippines,False
1956-02-25,Philippines,South Korea,0,2,AFC Asian Cup qualification,Manila,Philippines,False
1956-04-21,South Korea,Philippines,3,0,AFC Asian Cup qualification,Seoul,South Korea,False
1956-11-10,Philippines,United States,0,4,Friendly,Manila,Philippines,False
1958-05-09,Philippines,Indonesia,1,2,Friendly,Manila,Philippines,False
1958-05-13,Philippines,Indonesia,0,3,Friendly,Manila,Philippines,False
1958-05-25,Hong Kong,Philippines,4,1,Asian Games,Tokyo,Japan,True
1958-05-26,Japan,Philippines,0,1,Asian Games,Tokyo,Japan,False
1958-05-30,Indonesia,Philippines,5,2,Asian Games,Tokyo,Japan,True
1959-03-29,Philippines,Hong Kong,0,7,AFC Asian Cup qualification,Manila,Philippines,False
1959-03-31,Philippines,Taiwan,4,7,AFC Asian Cup qualification,Manila,Philippines,False
1962-08-26,Malaysia,Philippines,15,1,Asian Games,Jakarta,Indonesia,True
1962-08-27,Indonesia,Philippines,6,0,Asian Games,Jakarta,Indonesia,False
1962-08-30,Vietnam Republic,Philippines,6,0,Asian Games,Jakarta,Indonesia,True
1962-09-12,Indonesia,Philippines,9,0,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-13,Philippines,Singapore,0,5,Merdeka Tournament,Kuala Lumpur,Malaya,True
1962-09-16,Philippines,Vietnam Republic,0,6,Merdeka Tournament,Kuala Lumpur,Malaya,True
1963-12-16,Philippines,Taiwan,0,7,Friendly,Manila,Philippines,False
1967-08-03,Japan,Philippines,2,0,AFC Asian Cup qualification,Taipei,Taiwan,True
1967-08-05,South Korea,Philippines,7,0,AFC Asian Cup qualification,Taipei,Taiwan,True
1967-08-07,Indonesia,Philippines,6,0,AFC Asian Cup qualification,Taipei,Taiwan,True
1971-08-05,India,Philippines,5,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-09,Hong Kong,Philippines,2,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-11,Indonesia,Philippines,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-13,Myanmar,Philippines,2,0,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-15,Philippines,Singapore,4,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-17,Philippines,Thailand,3,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1971-08-24,Philippines,Thailand,0,1,Friendly,Kallang,Singapore,True
1972-06-08,Philippines,Singapore,2,0,Indonesia Tournament,Jakarta,Indonesia,True
1972-06-12,Philippines,Thailand,1,0,Indonesia Tournament,Jakarta,Indonesia,True
1972-07-14,Malaysia,Philippines,1,0,Merdeka Tournament,Kuala Lumpur,Malaysia,False
1972-07-16,Cambodia,Philippines,2,2,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-07-18,Japan,Philippines,5,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-07-20,Philippines,Sri Lanka,4,1,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-07-29,Philippines,Thailand,0,4,Merdeka Tournament,Kuala Lumpur,Malaysia,True
1972-08-02,Indonesia,Philippines,3,0,Friendly,Kallang,Singapore,True
1972-08-04,Japan,Philippines,4,1,Friendly,Kallang,Singapore,True
1972-09-21,Myanmar,Philippines,4,0,Korea Cup,Seoul,South Korea,True
1972-09-23,Philippines,Singapore,0,5,Korea Cup,Seoul,South Korea,True
1972-09-27,Cambodia,Philippines,1,0,Korea Cup,Seoul,South Korea,True
1972-10-29,Philippines,Australia,0,6,Friendly,Manila,Philippines,False
1974-09-03,Japan,Philippines,4,0,Asian Games,Tehran,Iran,True
1974-09-05,Israel,Philippines,6,0,Asian Games,Tehran,Iran,True
1974-09-07,Malaysia,Philippines,11,0,Asian Games,Tehran,Iran,True
1977-11-20,Philippines,Brunei,4,1,Southeast Asian Games,Kuala Lumpur,Malaysia,True
1977-11-21,Malaysia,Philippines,5,0,Southeast Asian Games,Kuala Lumpur,Malaysia,False
1977-11-23,Philippines,Indonesia,1,1,Southeast Asian Games,Kuala Lumpur,Malaysia,True
1978-12-25,Philippines,China PR,0,3,AFC Asian Cup qualification,Manila,Philippines,False
1978-12-27,Philippines,South Korea,0,5,AFC Asian Cup qualification,Manila,Philippines,False
1981-08-14,Indonesia,Philippines,3,0,Indonesia Tournament,Jakarta,Indonesia,False
1981-12-09,Philippines,Singapore,0,4,Southeast Asian Games,Manila,Philippines,False
1981-12-11,Philippines,Indonesia,0,2,Southeast Asian Games,Manila,Philippines,False
1982-05-06,Philippines,Singapore,0,1,King's Cup,Bangkok,Thailand,True
