Date,Home_team,Away_team,home_score,away_score,Match_type,venue_city,venue_country,neutral_venue
1921-12-18,Hungary,Poland,1,0,Friendly,Budapest,Hungary,False
1922-05-14,Poland,Hungary,0,3,Friendly,Kraków,Poland,False
1922-05-28,Sweden,Poland,1,2,Friendly,Stockholm,Sweden,False
1922-09-03,Romania,Poland,1,1,Friendly,Cernăuţi,Romania,False
1922-10-01,Yugoslavia,Poland,1,3,Friendly,Zagreb,Yugoslavia,False
1923-06-03,Poland,Yugoslavia,1,2,Friendly,Kraków,Poland,False
1923-09-02,Poland,Romania,1,1,Friendly,Lwów,Poland,False
1923-09-23,Finland,Poland,5,3,Friendly,Helsinki,Finland,False
1923-09-25,Estonia,Poland,1,4,Friendly,Tallinn,Estonia,False
1923-11-01,Poland,Sweden,2,2,Friendly,Kraków,Poland,False
1924-05-18,Sweden,Poland,5,1,Friendly,Stockholm,Sweden,False
1924-05-26,Hungary,Poland,5,0,Olympic Games,Paris,France,True
1924-06-10,Poland,United States,2,3,Friendly,Warsaw,Poland,False
1924-06-29,Poland,Turkey,2,0,Friendly,Łódź,Poland,False
1924-08-10,Poland,Finland,1,0,Friendly,Warsaw,Poland,False
1924-08-31,Hungary,Poland,4,0,Friendly,Budapest,Hungary,False
1925-07-19,Poland,Hungary,0,2,Friendly,Kraków,Poland,False
1925-08-30,Finland,Poland,2,2,Friendly,Helsinki,Finland,False
1925-09-02,Estonia,Poland,0,0,Friendly,Tallinn,Estonia,False
1925-10-02,Turkey,Poland,1,2,Friendly,Istanbul,Turkey,False
1925-11-01,Poland,Sweden,2,6,Friendly,Kraków,Poland,False
1926-07-04,Poland,Estonia,2,0,Friendly,Warsaw,Poland,False
1926-08-08,Poland,Finland,7,1,Friendly,Poznań,Poland,False
1926-08-20,Hungary,Poland,4,1,Friendly,Budapest,Hungary,False
1926-09-12,Poland,Turkey,6,1,Friendly,Lwów,Poland,False
1926-10-03,Sweden,Poland,3,1,Friendly,Stockholm,Sweden,False
1926-10-10,Norway,Poland,3,4,Friendly,Fredrikstad,Norway,False
1927-06-19,Romania,Poland,3,3,Friendly,Bucharest,Romania,False
1928-06-10,Poland,United States,3,3,Friendly,Warsaw,Poland,False
1928-07-01,Poland,Sweden,2,1,Friendly,Katowice,Poland,False
1928-10-27,Czechoslovakia,Poland,3,2,Friendly,Prague,Czechoslovakia,False
1930-09-28,Sweden,Poland,0,3,Friendly,Stockholm,Sweden,False
1930-10-26,Poland,Latvia,6,0,Friendly,Warsaw,Poland,False
1931-06-14,Poland,Czechoslovakia,0,4,Friendly,Warsaw,Poland,False
1931-07-05,Latvia,Poland,0,5,Friendly,Riga,Latvia,False
1931-08-23,Poland,Romania,2,3,Friendly,Warsaw,Poland,False
1931-10-11,Belgium,Poland,2,1,Friendly,Brussels,Belgium,False
1931-10-25,Poland,Yugoslavia,6,3,Friendly,Poznań,Poland,False
1932-05-29,Yugoslavia,Poland,0,3,Friendly,Zagreb,Yugoslavia,False
1932-07-10,Poland,Sweden,2,0,Friendly,Warsaw,Poland,False
1932-10-02,Poland,Latvia,2,1,Friendly,Warsaw,Poland,False
1932-10-02,Romania,Poland,0,5,Friendly,Bucharest,Romania,False
1933-06-04,Poland,Belgium,0,1,Friendly,Warsaw,Poland,False
1933-09-10,Poland,Yugoslavia,4,3,Friendly,Warsaw,Poland,False
1933-10-04,Silesia,Poland,1,2,Friendly,Katowice,Poland,False
1933-10-15,Poland,Czechoslovakia,1,2,FIFA World Cup qualification,Warsaw,Poland,False
1933-12-03,Germany,Poland,1,0,Friendly,Berlin,Germany,False
1934-05-21,Denmark,Poland,4,2,Friendly,Copenhagen,Denmark,False
1934-05-23,Sweden,Poland,4,2,Friendly,Stockholm,Sweden,False
1934-08-26,Yugoslavia,Poland,4,1,Friendly,Belgrade,Yugoslavia,False
1934-09-09,Poland,Germany,2,5,Friendly,Warsaw,Poland,False
1934-10-14,Latvia,Poland,2,6,Friendly,Riga,Latvia,False
1934-10-14,Poland,Romania,3,3,Friendly,Lwów,Poland,False
1935-05-12,Austria,Poland,5,2,Friendly,Vienna,Austria,False
1935-08-18,Poland,Yugoslavia,2,3,Friendly,Katowice,Poland,False
1935-09-15,Germany,Poland,1,0,Friendly,Breslau,Germany,False
1935-09-15,Poland,Latvia,3,3,Friendly,Łódź,Poland,False
1935-10-06,Poland,Austria,1,0,Friendly,Warsaw,Poland,False
1935-11-03,Romania,Poland,4,1,Friendly,Bucharest,Romania,False
1936-02-16,Belgium,Poland,0,2,Friendly,Brussels,Belgium,False
